Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1510.00,1500.00,1475.00,1500.00,,-0.66,,2810198.00
2014-08-04,1531.00,1501.00,1470.00,1495.00,,-2.35,,2810198.00
2014-08-04,1495.00,1560.00,1495.00,1510.00,,1,,2810198.00
2014-08-04,1600.00,1605.00,1570.00,1570.00,,-1.88,,2810198.00
2014-08-04,1570.00,1565.00,1540.00,1565.00,,-0.32,,2810198.00
2014-08-04,1565.00,1590.00,1531.00,1531.00,,-2.17,,2810198.00
2014-08-05,1500.00,1531.00,1460.00,1460.00,,-2.67,,5695665.00
2014-08-06,1460.00,1540.00,1480.00,1525.00,,4.45,,14549683.00
2014-08-07,1525.00,1570.00,1485.00,1520.00,,-0.33,,8208509.00
2014-08-12,1520.00,1550.00,1510.00,1522.00,,0.13,,2120168.00
2014-08-13,1522.00,1520.00,1500.00,1510.00,,-0.79,,1332847.00
2014-08-14,1510.00,1530.00,1500.00,1530.00,,1.32,,2403959.00
2014-08-18,1530.00,1510.00,1470.00,1470.00,,-3.92,,329246.00
2014-08-19,1470.00,1485.00,1440.00,1440.00,,-2.04,,2960034.00
2014-08-20,1440.00,1435.00,1380.00,1380.00,,-4.17,,6657091.00
2014-08-21,1380.00,1380.00,1315.00,1330.00,,-3.62,,4987749.00
2014-08-24,1330.00,1356.00,1300.00,1300.00,,-2.26,,8532213.00
2014-08-25,1300.00,1310.00,1249.00,1249.00,,-3.92,,1932844.00
2014-08-26,1249.00,1275.00,1191.00,1200.00,,-3.92,,4935545.00
2014-08-27,1200.00,1305.00,1212.00,1300.00,,8.33,,1248371.00
2014-08-28,1300.00,1412.00,1325.00,1388.00,,6.77,,7027439.00
2014-08-31,1388.00,1388.00,1309.00,1309.00,,-5.69,,5142874.00
2014-09-01,1309.00,1300.00,1270.00,1300.00,,-0.69,,2324770.00
2014-09-03,1300.00,1305.00,1280.00,1300.00,,0,,1644898.00
2014-09-04,1300.00,1275.00,1250.00,1271.00,,-2.23,,2396537.00
2014-09-07,1271.00,1270.00,1199.00,1199.00,,-5.66,,2654247.00
2014-09-09,1199.00,1298.00,1220.00,1285.00,,7.17,,3286859.00
2014-09-10,1285.00,1352.00,1235.00,1269.00,,-1.25,,2907084.00
2014-09-11,1269.00,1362.00,1220.00,1350.00,,6.38,,7100794.00
2014-09-14,1350.00,1377.00,1324.00,1348.00,,-0.15,,4420834.00
2014-09-15,1348.00,1415.00,1331.00,1415.00,,4.97,,4264907.00
2014-09-16,1415.00,1505.00,1420.00,1505.00,,6.36,,6772002.00
2014-09-17,1505.00,1548.00,1445.00,1452.00,,-3.52,,11071584.00
2014-09-18,1452.00,1450.00,1440.00,1450.00,,-0.14,,4200479.00
2014-09-21,1395.00,1368.00,1291.00,1320.00,,-5.38,,1073831.00
2014-09-22,1320.00,1345.00,1335.00,1345.00,,1.89,,936850.00
2014-09-23,1345.00,1365.00,1320.00,1365.00,,1.49,,1394960.00
2014-09-24,1365.00,1399.00,1338.00,1372.00,,0.51,,1538320.00
2014-09-28,1372.00,1430.00,1345.00,1430.00,,4.23,,2158157.00
2014-09-29,1430.00,1430.00,1380.00,1430.00,,0,,2255109.00
2014-09-30,1430.00,1487.00,1430.00,1431.00,,0.07,,3035021.00
2014-10-08,1431.00,1430.00,1405.00,1405.00,,-1.82,,823075.00
2014-10-09,1405.00,1415.00,1400.00,1400.00,,-0.36,,440930.00
2014-10-12,1400.00,1428.00,1390.00,1400.00,,0,,1065625.00
2014-10-13,1400.00,1380.00,1375.00,1380.00,,-1.43,,59260.00
2014-10-14,1380.00,1398.00,1380.00,1391.00,,0.8,,453273.00
2014-10-15,1391.00,1414.00,1385.00,1414.00,,1.65,,1143725.00
2014-10-16,1414.00,1405.00,1368.00,1380.00,,-2.4,,793977.00
2014-10-19,1380.00,1400.00,1380.00,1380.00,,0,,208760.00
2014-10-20,1380.00,1430.00,1380.00,1430.00,,3.62,,1712436.00
2014-10-21,1430.00,1458.00,1405.00,1440.00,,0.7,,5589577.00
2014-10-22,1440.00,1486.00,1395.00,1486.00,,3.19,,9510275.00
2014-10-26,1486.00,1457.00,1401.00,1401.00,,-5.72,,216836.00
2014-10-27,1401.00,1400.00,1350.00,1383.00,,-1.28,,2399140.00
2014-10-28,1383.00,1385.00,1370.00,1385.00,,0.14,,2474571.00
2014-10-30,1385.00,1463.00,1362.00,1463.00,,5.63,,4447821.00
2014-11-02,1463.00,1434.00,1355.00,1370.00,,-6.36,,3228542.00
2014-11-03,1370.00,1370.00,1356.00,1359.00,,-0.8,,2817136.00
2014-11-04,1359.00,1361.00,1336.00,1348.00,,-0.81,,1336038.00
2014-11-05,1348.00,1374.00,1325.00,1350.00,,0.15,,977747.00
2014-11-06,1350.00,1365.00,1341.00,1346.00,,-0.3,,544134.00
2014-11-09,1346.00,1320.00,1250.00,1285.00,,-4.53,,6092116.00
2014-11-10,1285.00,1260.00,1162.00,1191.00,,-7.32,,7199867.00
2014-11-11,1191.00,1200.00,1140.00,1200.00,,0.76,,5237477.00
2014-11-12,1200.00,1224.00,1190.00,1219.00,,1.58,,520228.00
2014-11-13,1219.00,1244.00,1170.00,1188.00,,-2.54,,8228072.00
2014-11-16,1188.00,1200.00,1165.00,1189.00,,0.08,,3591569.00
2014-11-17,1189.00,1185.00,1143.00,1160.00,,-2.44,,2627570.00
2014-11-18,1160.00,1145.00,1094.00,1137.00,,-1.98,,1295933.00
2014-11-19,1137.00,1200.00,1135.00,1200.00,,5.54,,879364.00
2014-11-20,1200.00,1190.00,1156.00,1180.00,,-1.67,,498780.00
2014-11-24,1230.00,1278.00,1190.00,1275.00,,3.66,,1512961.00
2014-11-24,1180.00,1272.00,1200.00,1230.00,,4.24,,1512961.00
2014-11-25,1275.00,1250.00,1177.00,1214.00,,-4.78,,2760031.00
2014-11-30,1214.00,1190.00,1180.00,1190.00,,-1.98,,198820.00
2014-12-01,1190.00,1190.00,1178.00,1189.00,,-0.08,,3506945.00
2014-12-02,1189.00,1200.00,1166.00,1191.00,,0.17,,1060700.00
2014-12-03,1191.00,1229.00,1186.00,1229.00,,3.19,,907543.00
2014-12-04,1229.00,1231.00,1200.00,1208.00,,-1.71,,5303649.00
2014-12-07,1208.00,1215.00,1180.00,1185.00,,-1.9,,5716652.00
2014-12-08,1185.00,1175.00,1147.00,1147.00,,-3.21,,140083.00
2014-12-09,1147.00,1150.00,1140.00,1150.00,,0.26,,330350.00
2014-12-10,1150.00,1127.00,1127.00,1127.00,,-2,,21413.00
2014-12-11,1127.00,1150.00,1140.00,1150.00,,2.04,,172891.00
2014-12-14,1150.00,1210.00,1150.00,1210.00,,5.22,,78946.00
2014-12-16,1210.00,1249.00,1225.00,1249.00,,3.22,,186846.00
2014-12-17,1249.00,1255.00,1206.00,1230.00,,-1.52,,684641.00
2014-12-18,1230.00,1254.00,1235.00,1254.00,,1.95,,89148.00
2014-12-21,1254.00,1255.00,1216.00,1225.00,,-2.31,,393349.00
2014-12-22,1225.00,1225.00,1225.00,1225.00,,0,,115150.00
2014-12-23,1225.00,1220.00,1210.00,1210.00,,-1.22,,46170.00
2014-12-24,1210.00,1218.00,1190.00,1210.00,,0,,970852.00
2014-12-28,1210.00,1270.00,1225.00,1245.00,,2.89,,2022920.00
2014-12-29,1245.00,1260.00,1210.00,1260.00,,1.2,,1952281.00
2014-12-31,1260.00,1289.00,1245.00,1289.00,,2.3,,1223651.00
2015-01-01,1289.00,1320.00,1299.00,1300.00,,0.85,,2035927.00
2015-01-04,1300.00,1350.00,1325.00,1350.00,,3.85,,341937.00
2015-01-05,1350.00,1360.00,1326.00,1330.00,,-1.48,,2613071.00
2015-01-06,1330.00,1305.00,1301.00,1301.00,,-2.18,,87339.00
2015-01-07,1301.00,1360.00,1301.00,1345.00,,3.38,,2372115.00
2015-01-08,1345.00,1397.00,1319.00,1379.00,,2.53,,2855145.00
2015-01-11,1379.00,1395.00,1361.00,1375.00,,-0.29,,736787.00
2015-01-12,1375.00,1400.00,1375.00,1400.00,,1.82,,858863.00
2015-01-13,1400.00,1420.00,1395.00,1400.00,,0,,1054428.00
2015-01-14,1400.00,1421.00,1421.00,1421.00,,1.5,,21315.00
2015-01-18,1421.00,1440.00,1400.00,1400.00,,-1.48,,1783588.00
2015-01-19,1400.00,1435.00,1420.00,1430.00,,2.14,,776006.00
2015-01-20,1430.00,1405.00,1374.00,1395.00,,-2.45,,2161818.00
2015-01-25,1395.00,1385.00,1368.00,1375.00,,-1.43,,596807.00
2015-01-26,1375.00,1430.00,1380.00,1385.00,,0.73,,776388.00
2015-01-27,1385.00,1412.00,1400.00,1412.00,,1.95,,1684472.00
2015-01-28,1412.00,1415.00,1401.00,1415.00,,0.21,,922189.00
2015-01-29,1415.00,1450.00,1430.00,1440.00,,1.77,,446895.00
2015-02-01,1440.00,1470.00,1440.00,1470.00,,2.08,,3065477.00
2015-02-03,1470.00,1475.00,1446.00,1446.00,,-1.63,,51161.00
2015-02-04,1446.00,1447.00,1410.00,1435.00,,-0.76,,2726547.00
2015-02-05,1435.00,1430.00,1407.00,1410.00,,-1.74,,458104.00
2015-02-08,1410.00,1460.00,1415.00,1460.00,,3.55,,2144565.00
2015-02-09,1460.00,1500.00,1470.00,1495.00,,2.4,,1920861.00
2015-02-10,1495.00,1520.00,1466.00,1500.00,,0.33,,3651419.00
2015-02-11,1500.00,1560.00,1520.00,1545.00,,3,,6079069.00
2015-02-12,1545.00,1585.00,1560.00,1575.00,,1.94,,6787762.00
2015-02-15,1575.00,1600.00,1570.00,1590.00,,0.95,,445091.00
2015-02-16,1590.00,1656.00,1601.00,1656.00,,4.15,,5810023.00
2015-02-18,1656.00,1683.00,1590.00,1590.00,,-3.98,,6919584.00
2015-02-22,1590.00,1560.00,1529.00,1531.00,,-3.71,,3015631.00
2015-02-23,1531.00,1570.00,1470.00,1570.00,,2.55,,7315212.00
2015-02-24,1570.00,1585.00,1545.00,1550.00,,-1.27,,1722094.00
2015-02-25,1550.00,1600.00,1540.00,1560.00,,0.65,,2107831.00
2015-03-01,1555.00,1580.00,1550.00,1556.00,,0.06,,2291742.00
2015-03-02,1556.00,1591.00,1550.00,1580.00,,1.54,,2061946.00
2015-03-03,1580.00,1570.00,1552.00,1570.00,,-0.63,,417478.00
2015-03-04,1570.00,1580.00,1561.00,1574.00,,0.25,,3741457.00
2015-03-09,1574.00,1585.00,1560.00,1575.00,,0.06,,3264079.00
2015-03-10,1575.00,1584.00,1560.00,1560.00,,-0.95,,489301.00
2015-03-11,1560.00,1557.00,1550.00,1557.00,,-0.19,,843484.00
2015-03-12,1557.00,1575.00,1545.00,1545.00,,-0.77,,2727086.00
2015-03-15,1545.00,1515.00,1500.00,1505.00,,-2.59,,254319.00
2015-03-16,1505.00,1524.00,1482.00,1524.00,,1.26,,2129743.00
2015-03-17,1524.00,1535.00,1494.00,1515.00,,-0.59,,3172609.00
2015-03-18,1515.00,1538.00,1525.00,1538.00,,1.52,,1796868.00
2015-03-19,1538.00,1540.00,1521.00,1522.00,,-1.04,,5247696.00
2015-03-22,1522.00,1520.00,1500.00,1500.00,,-1.45,,1229080.00
2015-03-23,1500.00,1540.00,1490.00,1510.00,,0.67,,281595.00
2015-03-24,1510.00,1505.00,1490.00,1500.00,,-0.66,,449360.00
2015-03-25,1500.00,1495.00,1470.00,1490.00,,-0.67,,1213525.00
2015-03-26,1490.00,1498.00,1470.00,1476.00,,-0.94,,2591383.00
2015-03-29,1476.00,1485.00,1470.00,1471.00,,-0.34,,807884.00
2015-03-30,1471.00,1465.00,1453.00,1453.00,,-1.22,,466080.00
2015-03-31,1453.00,1509.00,1479.00,1480.00,,1.86,,568303.00
2015-04-01,1480.00,1460.00,1460.00,1460.00,,-1.35,,146000.00
2015-04-02,1460.00,1490.00,1476.00,1482.00,,1.51,,554107.00
2015-04-06,1485.00,1485.00,1456.00,1485.00,,0,,58727.00
2015-04-07,1485.00,1499.00,1465.00,1485.00,,0,,216773.00
2015-04-08,1485.00,1500.00,1480.00,1480.00,,-0.34,,1353081.00
2015-04-09,1480.00,1515.00,1473.00,1515.00,,2.36,,376111.00
2015-04-12,1515.00,1490.00,1490.00,1490.00,,-1.65,,1387190.00
2015-04-13,1490.00,1505.00,1488.00,1495.00,,0.34,,1523150.00
2015-04-15,1495.00,1522.00,1485.00,1486.00,,-0.6,,788251.00
2015-04-16,1486.00,1486.00,1457.00,1486.00,,0,,348966.00
2015-04-19,1486.00,1457.00,1455.00,1455.00,,-2.09,,346420.00
2015-04-20,1455.00,1465.00,1445.00,1460.00,,0.34,,1028403.00
2015-04-21,1460.00,1466.00,1456.00,1466.00,,0.41,,313296.00
2015-04-23,1460.00,1455.00,1442.00,1445.00,,-1.03,,541445.00
2015-05-25,1445.00,1417.00,1335.00,1335.00,,-7.61,,83370.00
