Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1750.00,1770.00,1735.00,1735.00,,-0.86,,87450.00
2014-08-04,1749.00,1790.00,1725.00,1725.00,,-1.37,,87450.00
2014-08-04,1725.00,1750.00,1750.00,1750.00,,1.45,,87450.00
2014-08-04,1750.00,1750.00,1745.00,1749.00,,-0.06,,87450.00
2014-08-05,1735.00,1730.00,1730.00,1730.00,,-0.29,,17300.00
2014-08-06,1730.00,1750.00,1750.00,1750.00,,1.16,,91000.00
2014-08-07,1750.00,1785.00,1740.00,1780.00,,1.71,,802860.00
2014-08-12,1780.00,1746.00,1746.00,1746.00,,-1.91,,153648.00
2014-08-14,1746.00,1780.00,1750.00,1780.00,,1.95,,49300.00
2014-08-19,1780.00,1750.00,1750.00,1750.00,,-1.69,,17500.00
2014-08-21,1750.00,1715.00,1715.00,1715.00,,-2,,185220.00
2014-08-24,1715.00,1720.00,1690.00,1690.00,,-1.46,,588745.00
2014-08-27,1690.00,1715.00,1715.00,1715.00,,1.48,,68600.00
2014-08-28,1715.00,1749.00,1715.00,1715.00,,0,,63795.00
2014-08-31,1715.00,1700.00,1640.00,1640.00,,-4.37,,385720.00
2014-09-01,1640.00,1650.00,1650.00,1650.00,,0.61,,330000.00
2014-09-03,1650.00,1617.00,1585.00,1585.00,,-3.94,,202159.00
2014-09-04,1585.00,1554.00,1464.00,1475.00,,-6.94,,1227097.00
2014-09-07,1475.00,1474.00,1446.00,1474.00,,-0.07,,649991.00
2014-09-09,1474.00,1589.00,1445.00,1589.00,,7.8,,998176.00
2014-09-10,1589.00,1747.00,1620.00,1747.00,,9.94,,136630.00
2014-09-11,1747.00,1921.00,1781.00,1921.00,,9.96,,4890621.00
2014-09-14,1921.00,2113.00,1959.00,2113.00,,9.99,,3523644.00
2014-09-15,2113.00,2310.00,2135.00,2220.00,,5.06,,3634249.00
2014-09-16,2220.00,2305.00,2220.00,2240.00,,0.9,,4303210.00
2014-09-17,2240.00,2250.00,2200.00,2200.00,,-1.79,,792920.00
2014-09-21,2200.00,2185.00,2185.00,2185.00,,-0.68,,218500.00
2014-09-22,2185.00,2200.00,2185.00,2186.00,,0.05,,442030.00
2014-09-24,2186.00,2143.00,2101.00,2101.00,,-3.89,,256440.00
2014-09-28,2101.00,2101.00,2100.00,2101.00,,0,,46212.00
2014-09-29,2101.00,2101.00,2101.00,2101.00,,0,,323554.00
2014-10-08,2101.00,2120.00,2120.00,2120.00,,0.9,,21200.00
2014-10-09,2120.00,2120.00,2120.00,2120.00,,0,,413400.00
2014-10-12,2120.00,2100.00,2020.00,2060.00,,-2.83,,248080.00
2014-10-13,2060.00,2035.00,2000.00,2000.00,,-2.91,,344733.00
2014-10-15,2000.00,2040.00,2020.00,2040.00,,2,,556580.00
2014-10-16,2040.00,2035.00,2035.00,2035.00,,-0.25,,20350.00
2014-10-20,2035.00,2238.00,2075.00,2238.00,,9.98,,2963152.00
2014-10-21,2238.00,2375.00,2238.00,2370.00,,5.9,,3356781.00
2014-10-22,1860.00,1860.00,1860.00,1860.00,,0,,81840.00
2014-10-27,1860.00,1897.00,1897.00,1897.00,,1.99,,75880.00
2014-11-02,1897.00,1905.00,1905.00,1905.00,,0.42,,57150.00
2014-11-03,1905.00,1901.00,1901.00,1901.00,,-0.21,,95050.00
2014-11-12,1901.00,1901.00,1901.00,1901.00,,0,,26614.00
2014-11-13,1901.00,1910.00,1888.00,1900.00,,-0.05,,270700.00
2014-11-17,1900.00,1938.00,1938.00,1938.00,,2,,19380.00
2014-11-18,1938.00,1900.00,1900.00,1900.00,,-1.96,,45600.00
2014-11-24,1900.00,1890.00,1890.00,1890.00,,-0.53,,56700.00
2014-12-09,1890.00,1853.00,1816.00,1816.00,,-3.92,,546129.00
2014-12-16,1816.00,1852.00,1852.00,1852.00,,1.98,,24076.00
2014-12-17,1852.00,1926.00,1889.00,1926.00,,4,,38150.00
2014-12-18,1926.00,1950.00,1950.00,1950.00,,1.25,,175500.00
2014-12-21,1950.00,1950.00,1911.00,1911.00,,-2,,706000.00
2014-12-24,1911.00,1925.00,1911.00,1925.00,,0.73,,211610.00
2014-12-28,1925.00,1935.00,1900.00,1920.00,,-0.26,,634500.00
2014-12-29,1920.00,1920.00,1920.00,1920.00,,0,,792960.00
2015-01-04,1920.00,2076.00,1958.00,2045.00,,6.51,,544683.00
2015-01-05,2045.00,2130.00,2085.00,2130.00,,4.16,,545271.00
2015-01-07,2130.00,2200.00,2172.00,2200.00,,3.29,,43720.00
2015-01-08,2200.00,2300.00,2244.00,2300.00,,4.55,,511536.00
2015-01-11,2300.00,2398.00,2339.00,2397.00,,4.22,,797376.00
2015-01-12,2397.00,2350.00,2350.00,2350.00,,-1.96,,25850.00
2015-01-13,2350.00,2350.00,2350.00,2350.00,,0,,145700.00
2015-01-14,2350.00,2304.00,2304.00,2304.00,,-1.96,,101376.00
2015-01-18,2304.00,2397.00,2350.00,2390.00,,3.73,,492790.00
2015-01-19,2390.00,2437.00,2390.00,2400.00,,0.42,,710444.00
2015-01-20,2400.00,2440.00,2352.00,2440.00,,1.67,,393260.00
2015-01-25,2440.00,2438.00,2345.00,2400.00,,-1.64,,1036863.00
2015-01-26,2400.00,2360.00,2360.00,2360.00,,-1.67,,212400.00
2015-01-27,2360.00,2410.00,2390.00,2410.00,,2.12,,349840.00
2015-01-28,2410.00,2362.00,2362.00,2362.00,,-1.99,,245648.00
2015-01-29,2362.00,2400.00,2399.00,2400.00,,1.61,,369590.00
2015-02-01,2400.00,2390.00,2390.00,2390.00,,-0.42,,59750.00
2015-02-02,2390.00,2420.00,2400.00,2400.00,,0.42,,105880.00
2015-02-04,2400.00,2358.00,2358.00,2358.00,,-1.75,,110826.00
2015-02-05,2358.00,2435.00,2400.00,2435.00,,3.27,,762549.00
2015-02-08,2435.00,2405.00,2387.00,2400.00,,-1.44,,583205.00
2015-02-09,2400.00,2400.00,2400.00,2400.00,,0,,504000.00
2015-02-10,2400.00,2447.00,2400.00,2400.00,,0,,1740411.00
2015-02-11,2400.00,2496.00,2440.00,2496.00,,4,,697544.00
2015-02-12,2496.00,2590.00,2540.00,2540.00,,1.76,,1786220.00
2015-02-15,2540.00,2550.00,2500.00,2550.00,,0.39,,349200.00
2015-02-16,2550.00,2590.00,2562.00,2590.00,,1.57,,600874.00
2015-02-18,2590.00,2540.00,2500.00,2500.00,,-3.47,,981700.00
2015-02-23,2500.00,2545.00,2530.00,2530.00,,1.2,,266110.00
2015-02-24,2530.00,2550.00,2500.00,2520.00,,-0.4,,819570.00
2015-02-25,2520.00,2540.00,2520.00,2540.00,,0.79,,96320.00
2015-03-01,2570.00,2600.00,2600.00,2600.00,,1.17,,52000.00
2015-03-03,2600.00,2640.00,2635.00,2638.00,,1.46,,495900.00
2015-03-04,2638.00,2586.00,2586.00,2586.00,,-1.97,,67236.00
2015-03-09,2586.00,2620.00,2600.00,2620.00,,1.31,,797520.00
2015-03-11,2620.00,2620.00,2620.00,2620.00,,0,,524000.00
2015-03-12,2620.00,2640.00,2625.00,2640.00,,0.76,,184140.00
2015-03-16,2640.00,2650.00,2650.00,2650.00,,0.38,,331250.00
2015-03-17,2650.00,2670.00,2617.00,2617.00,,-1.25,,76900.00
2015-03-19,2617.00,2660.00,2660.00,2660.00,,1.64,,133000.00
