Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-01-21,505.00,505.00,505.00,505.00,,0,,510050.00
2019-01-27,505.00,515.00,505.00,515.00,,1.98,,5150.00
2019-01-28,515.00,540.00,515.00,540.00,,4.85,,5400.00
2019-01-29,540.00,567.00,540.00,567.00,,5,,5670.00
2019-01-30,567.00,606.00,567.00,606.00,,6.88,,12010.00
2019-01-31,606.00,648.00,606.00,648.00,,6.93,,12840.00
2019-02-05,680.00,712.00,648.00,712.00,,9.88,,141830.00
2019-02-06,747.00,783.00,712.00,783.00,,9.97,,484810.00
2019-02-07,822.00,861.00,768.00,852.00,,8.81,,17344080.00
2019-02-10,854.00,854.00,808.00,809.00,,-5.05,,5933592.00
2019-02-11,800.00,824.00,787.00,806.00,,-0.37,,2693460.00
2019-02-12,810.00,812.00,802.00,804.00,,-0.25,,1121267.00
2019-02-13,800.00,804.00,795.00,800.00,,-0.5,,1844080.00
2019-02-14,800.00,800.00,780.00,790.00,,-1.25,,1948530.00
2019-02-17,804.00,805.00,781.00,783.00,,-0.89,,1386650.00
2019-02-18,781.00,783.00,773.00,780.00,,-0.38,,1133090.00
2019-02-19,780.00,832.00,770.00,832.00,,6.67,,793440.00
2019-02-20,816.00,832.00,780.00,788.00,,-5.29,,636320.00
2019-02-21,784.00,791.00,776.00,778.00,,-1.27,,1526299.00
2019-02-24,764.00,786.00,759.00,786.00,,1.03,,2398240.00
2019-02-25,799.00,799.00,769.00,784.00,,-0.25,,696230.00
2019-02-26,785.00,786.00,771.00,772.00,,-1.53,,761770.00
2019-02-27,772.00,798.00,765.00,775.00,,0.39,,997390.00
2019-03-03,765.00,778.00,765.00,771.00,,-0.52,,401520.00
2019-03-05,780.00,780.00,765.00,770.00,,-0.13,,623110.00
2019-03-06,784.00,784.00,757.00,768.00,,-0.26,,1554045.00
2019-03-07,780.00,783.00,761.00,777.00,,1.17,,624620.00
2019-03-10,765.00,777.00,760.00,761.00,,-2.06,,114510.00
2019-03-11,770.00,776.00,761.00,765.00,,0.53,,329510.00
2019-03-12,760.00,770.00,757.00,763.00,,-0.26,,783670.00
2019-03-13,765.00,767.00,755.00,758.00,,-0.92,,371710.00
2019-03-14,758.00,765.00,751.00,764.00,,0.79,,860872.00
2019-03-17,775.00,775.00,745.00,750.00,,-1.32,,837695.00
2019-03-18,740.00,754.00,740.00,741.00,,-1.2,,1305085.00
2019-03-19,741.00,741.00,727.00,731.00,,-1.35,,527980.00
2019-03-21,723.00,731.00,716.00,717.00,,-1.92,,461360.00
2019-03-24,717.00,740.00,700.00,740.00,,3.21,,1120390.00
2019-03-26,703.00,710.00,695.00,702.00,,-2.09,,577240.00
2019-03-28,700.00,708.00,699.00,700.00,,-0.28,,715140.00
2019-03-31,700.00,700.00,680.00,682.00,,-2.57,,407090.00
2019-04-01,682.00,695.00,677.00,685.00,,0.44,,377940.00
2019-04-02,675.00,700.00,675.00,685.00,,0,,149850.00
2019-04-03,687.00,695.00,676.00,680.00,,-0.73,,218240.00
2019-04-04,680.00,680.00,670.00,670.00,,-1.47,,1228240.00
2019-04-07,683.00,696.00,636.00,636.00,,-5.07,,113090.00
2019-04-09,651.00,665.00,648.00,648.00,,-1.97,,357960.00
2019-04-10,639.00,660.00,639.00,660.00,,1.85,,122600.00
2019-04-11,660.00,670.00,648.00,650.00,,-1.52,,381360.00
2019-04-15,637.00,657.00,637.00,638.00,,-1.85,,295620.00
2019-04-16,650.00,683.00,621.00,676.00,,5.96,,648300.00
2019-04-18,659.00,659.00,639.00,655.00,,0.46,,588540.00
2019-04-21,646.00,650.00,637.00,650.00,,-0.76,,103280.00
2019-04-22,650.00,673.00,650.00,651.00,,0.15,,125730.00
2019-04-23,646.00,650.00,635.00,640.00,,-1.69,,486170.00
2019-04-24,628.00,684.00,628.00,684.00,,6.87,,91800.00
2019-04-25,693.00,693.00,693.00,693.00,,1.32,,6930.00
2019-04-28,693.00,693.00,640.00,677.00,,-2.31,,973370.00
2019-04-29,675.00,675.00,640.00,660.00,,-2.51,,282360.00
2019-04-30,668.00,668.00,635.00,643.00,,-2.58,,130320.00
2019-05-02,631.00,646.00,630.00,633.00,,-1.56,,190760.00
2019-05-05,630.00,639.00,625.00,628.00,,-0.79,,471850.00
2019-05-06,628.00,630.00,617.00,620.00,,-1.27,,137120.00
2019-05-07,610.00,624.00,608.00,608.00,,-1.94,,532920.00
2019-05-08,596.00,615.00,596.00,606.00,,-0.33,,243340.00
2019-05-09,610.00,627.00,596.00,600.00,,-0.99,,546470.00
2019-05-12,600.00,611.00,589.00,590.00,,-1.67,,866090.00
2019-05-13,601.00,613.00,600.00,610.00,,3.39,,229410.00
2019-05-14,612.00,612.00,571.00,592.00,,-2.95,,833370.00
2019-05-15,586.00,592.00,575.00,575.00,,-2.87,,385080.00
2019-05-16,569.00,578.00,566.00,575.00,,0,,154200.00
2019-05-19,580.00,589.00,570.00,570.00,,-0.87,,243110.00
2019-05-20,570.00,570.00,545.00,547.00,,-4.04,,510910.00
2019-05-21,550.00,581.00,550.00,581.00,,6.22,,451150.00
2019-05-22,570.00,570.00,560.00,570.00,,-1.89,,176320.00
2019-05-23,560.00,569.00,560.00,562.00,,-1.4,,672580.00
2019-05-26,553.00,564.00,553.00,560.00,,-0.36,,235400.00
2019-05-27,552.00,576.00,552.00,567.00,,1.25,,424446.00
2019-05-28,570.00,589.00,564.00,589.00,,3.88,,329730.00
2019-05-29,590.00,617.00,590.00,617.00,,4.75,,833885.00
2019-05-30,629.00,629.00,595.00,601.00,,-2.59,,727040.00
2019-06-02,591.00,595.00,590.00,591.00,,-1.66,,237030.00
2019-06-03,580.00,584.00,578.00,580.00,,-1.86,,580120.00
2019-06-04,569.00,570.00,566.00,570.00,,-1.72,,73810.00
2019-06-06,559.00,570.00,550.00,570.00,,0,,560110.00
2019-06-10,788.00,790.00,788.00,790.00,,-1.74,,415506.00
2019-06-11,565.00,565.00,556.00,565.00,,-0.35,,257450.00
2019-06-12,556.00,560.00,556.00,559.00,,-1.06,,122790.00
2019-06-13,550.00,550.00,542.00,548.00,,-1.97,,105686.00
2019-06-16,550.00,561.00,521.00,531.00,,-3.1,,289070.00
2019-06-17,523.00,535.00,522.00,523.00,,-1.51,,269985.00
2019-06-18,523.00,524.00,514.00,514.00,,-1.72,,274456.00
