Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-03-11,0.00,307.00,307.00,307.00,,-2.01,,3070.00
2018-04-05,313.00,313.00,313.00,313.00,,1.95,,3130.00
2018-04-08,319.00,325.00,319.00,325.00,,3.83,,6440.00
2018-04-09,331.00,337.00,331.00,337.00,,3.69,,6680.00
2018-04-10,343.00,349.00,343.00,349.00,,3.56,,6920.00
2018-04-11,355.00,362.00,355.00,362.00,,3.72,,7170.00
2018-04-12,369.00,376.00,369.00,376.00,,3.87,,7450.00
2018-04-15,376.00,390.00,383.00,390.00,,3.72,,7730.00
2018-04-23,397.00,412.00,397.00,412.00,,5.64,,12130.00
2018-05-06,432.00,432.00,432.00,440.00,,4.85,,8720.00
2018-05-09,432.00,448.00,440.00,448.00,,3.7,,8880.00
2018-05-10,448.00,474.00,456.00,474.00,,5.8,,18780.00
2018-05-14,0.00,0.00,0.00,483.00,,0,,9660.00
2018-05-20,497.00,521.00,497.00,521.00,,9.92,,25610.00
2018-05-21,531.00,531.00,531.00,531.00,,1.92,,5310.00
2018-05-24,531.00,557.00,557.00,557.00,,4.9,,5570.00
2018-06-10,568.00,601.00,568.00,601.00,,7.9,,23380.00
2018-06-13,613.00,613.00,613.00,613.00,,2,,6130.00
2018-06-17,625.00,649.00,625.00,649.00,,5.87,,19110.00
2018-06-27,661.00,661.00,661.00,661.00,,1.85,,6610.00
2018-06-28,674.00,674.00,674.00,674.00,,1.97,,6740.00
2018-07-03,687.00,687.00,687.00,687.00,,1.93,,6870.00
2018-07-05,700.00,700.00,700.00,700.00,,1.89,,7000.00
2018-07-08,714.00,714.00,714.00,714.00,,2,,7140.00
2018-07-12,749.00,763.00,749.00,763.00,,6.86,,15120.00
2018-07-15,801.00,817.00,801.00,817.00,,7.08,,16180.00
2018-07-22,833.00,833.00,833.00,833.00,,1.96,,8330.00
2018-07-25,874.00,916.00,874.00,916.00,,9.96,,62110.00
2018-07-26,934.00,934.00,934.00,934.00,,1.97,,9340.00
2018-08-06,980.00,1027.00,980.00,1027.00,,9.96,,71050.00
2018-08-07,1078.00,1129.00,1078.00,1129.00,,9.93,,122780.00
2018-08-08,1185.00,1241.00,1185.00,1241.00,,9.92,,445780.00
2018-08-09,1303.00,1365.00,1140.00,1143.00,,-7.9,,9953165.00
2018-08-12,1121.00,1121.00,1029.00,1029.00,,-9.97,,85770.00
2018-08-13,1009.00,1009.00,927.00,927.00,,-9.91,,113400.00
2018-08-14,909.00,927.00,835.00,910.00,,-1.83,,1988720.00
2018-08-15,892.00,909.00,875.00,903.00,,-0.77,,965330.00
2018-08-16,905.00,925.00,890.00,896.00,,-0.78,,1208250.00
2018-08-19,880.00,880.00,864.00,864.00,,-3.57,,494560.00
2018-08-20,850.00,850.00,815.00,823.00,,-4.75,,620610.00
2018-08-21,815.00,817.00,791.00,812.00,,-1.34,,348680.00
2018-08-23,820.00,820.00,792.00,792.00,,-1.49,,192020.00
2018-08-26,779.00,794.00,777.00,790.00,,-0.25,,524060.00
2018-08-28,780.00,788.00,769.00,788.00,,-0.25,,855156.00
2018-08-29,773.00,800.00,772.00,800.00,,1.52,,708380.00
2018-08-30,800.00,820.00,800.00,811.00,,0.75,,279750.00
2018-09-02,815.00,815.00,784.00,802.00,,-0.5,,385848.00
2018-09-03,818.00,845.00,802.00,820.00,,2.24,,781220.00
2018-09-04,836.00,836.00,805.00,810.00,,-1.22,,81770.00
2018-09-05,815.00,839.00,814.00,814.00,,0.49,,679150.00
2018-09-06,820.00,850.00,820.00,822.00,,0.98,,1287930.00
2018-09-09,807.00,822.00,807.00,810.00,,-1.46,,105470.00
2018-09-10,810.00,888.00,810.00,888.00,,9.63,,1451305.00
2018-09-11,902.00,920.00,882.00,882.00,,1.24,,1431720.00
2018-09-12,915.00,915.00,883.00,905.00,,0.67,,503530.00
2018-09-13,887.00,905.00,887.00,890.00,,-1.66,,71540.00
2018-09-16,890.00,900.00,873.00,900.00,,1.12,,177660.00
2018-09-17,883.00,883.00,882.00,883.00,,-2,,35310.00
2018-09-18,899.00,899.00,866.00,875.00,,-0.79,,189000.00
2018-09-20,875.00,875.00,861.00,865.00,,-1.14,,69390.00
2018-09-23,863.00,888.00,855.00,872.00,,0.81,,280340.00
2018-09-25,889.00,889.00,888.00,889.00,,1.95,,35550.00
2018-09-26,872.00,872.00,855.00,861.00,,-3.15,,60490.00
2018-09-27,861.00,879.00,860.00,860.00,,-0.12,,151700.00
2018-09-30,852.00,852.00,824.00,840.00,,-2.09,,167850.00
2018-10-01,858.00,858.00,827.00,827.00,,-1.78,,134560.00
2018-10-02,827.00,839.00,817.00,817.00,,-1.21,,90650.00
2018-10-03,802.00,830.00,802.00,816.00,,-0.12,,138070.00
2018-10-04,801.00,836.00,801.00,821.00,,0.61,,820210.00
2018-10-07,837.00,837.00,806.00,837.00,,1.95,,724550.00
2018-10-08,821.00,837.00,808.00,820.00,,-2.03,,246050.00
2018-10-09,805.00,814.00,802.00,803.00,,-2.2,,168890.00
2018-10-10,800.00,801.00,791.00,801.00,,-0.12,,103750.00
2018-10-11,800.00,810.00,790.00,810.00,,1.12,,151700.00
2018-10-14,801.00,826.00,801.00,810.00,,-0.37,,267480.00
2018-10-15,795.00,803.00,795.00,803.00,,-0.5,,56110.00
2018-10-29,803.00,803.00,762.00,763.00,,-4.98,,116980.00
2018-10-30,752.00,767.00,752.00,755.00,,-1.05,,120770.00
2018-10-31,741.00,745.00,724.00,729.00,,-3.44,,595373.00
2018-11-01,729.00,755.00,729.00,755.00,,3.57,,787962.00
2018-11-04,740.00,748.00,734.00,735.00,,-2.65,,66620.00
2018-11-05,735.00,763.00,735.00,751.00,,2.18,,137533.00
2018-11-15,743.00,757.00,729.00,757.00,,1.88,,111380.00
2018-11-18,742.00,750.00,699.00,699.00,,-5.8,,109180.00
2018-11-19,699.00,700.00,688.00,691.00,,-1.14,,55410.00
2018-11-20,691.00,691.00,685.00,690.00,,-0.14,,75860.00
2018-11-21,690.00,703.00,682.00,686.00,,-0.58,,55460.00
2018-11-22,686.00,690.00,665.00,677.00,,-1.31,,87450.00
2018-11-25,677.00,677.00,645.00,650.00,,-3.99,,59000.00
2018-11-26,650.00,650.00,637.00,637.00,,-2,,63930.00
2018-11-27,637.00,637.00,630.00,631.00,,-0.94,,393550.00
2018-11-28,631.00,640.00,631.00,633.00,,0.32,,57210.00
2018-11-29,633.00,640.00,621.00,630.00,,-0.47,,162910.00
2018-12-02,630.00,630.00,618.00,630.00,,0,,402420.00
2018-12-03,630.00,651.00,626.00,626.00,,-0.63,,142310.00
2018-12-04,626.00,626.00,596.00,596.00,,-4.79,,60850.00
2018-12-06,562.00,562.00,541.00,551.00,,-1.96,,38470.00
2018-12-09,551.00,573.00,551.00,573.00,,3.99,,102740.00
2018-12-10,573.00,575.00,573.00,575.00,,0.35,,17250.00
2018-12-11,575.00,585.00,575.00,585.00,,1.74,,81100.00
2018-12-12,585.00,585.00,580.00,580.00,,-0.85,,23200.00
2018-12-13,580.00,590.00,580.00,590.00,,1.72,,5900.00
2018-12-16,590.00,612.00,588.00,612.00,,3.73,,41870.00
2018-12-17,612.00,660.00,600.00,660.00,,7.84,,83630.00
2018-12-18,660.00,681.00,655.00,670.00,,1.52,,285910.00
2018-12-19,670.00,670.00,657.00,661.00,,-1.34,,33030.00
2018-12-20,661.00,661.00,648.00,648.00,,-1.97,,189830.00
2018-12-23,648.00,680.00,630.00,680.00,,4.94,,132700.00
2018-12-24,680.00,680.00,670.00,678.00,,-0.29,,135300.00
2018-12-26,678.00,690.00,656.00,665.00,,-1.92,,176060.00
2018-12-30,665.00,665.00,652.00,655.00,,-1.5,,319590.00
2018-12-31,655.00,660.00,655.00,660.00,,0.76,,32980.00
2019-01-01,660.00,660.00,640.00,650.00,,-1.52,,84520.00
2019-01-02,650.00,650.00,637.00,637.00,,-2,,6370.00
2019-01-03,637.00,637.00,620.00,620.00,,-2.67,,155400.00
2019-01-06,620.00,632.00,620.00,620.00,,0,,68320.00
2019-01-08,605.00,620.00,605.00,616.00,,1.82,,49410.00
2019-01-09,616.00,628.00,610.00,628.00,,1.95,,30880.00
2019-01-10,628.00,665.00,628.00,665.00,,5.89,,77530.00
2019-01-13,665.00,665.00,630.00,630.00,,-5.26,,44770.00
2019-01-15,642.00,665.00,632.00,665.00,,3.58,,117670.00
2019-01-16,665.00,679.00,665.00,666.00,,0.15,,248090.00
2019-01-17,666.00,666.00,640.00,643.00,,-3.45,,221710.00
2019-01-20,643.00,643.00,631.00,635.00,,-1.24,,44420.00
2019-01-21,635.00,653.00,630.00,640.00,,0.79,,153860.00
2019-01-23,651.00,651.00,617.00,647.00,,-0.61,,37960.00
2019-01-24,647.00,658.00,635.00,641.00,,-0.93,,77100.00
2019-01-27,641.00,641.00,635.00,635.00,,-0.94,,101790.00
2019-01-28,635.00,698.00,635.00,698.00,,9.92,,494550.00
2019-01-29,698.00,750.00,698.00,730.00,,4.58,,1276995.00
2019-01-30,730.00,730.00,709.00,712.00,,-2.47,,314990.00
2019-01-31,712.00,744.00,705.00,744.00,,4.49,,691495.00
2019-02-03,731.00,750.00,721.00,730.00,,-1.88,,329470.00
2019-02-04,716.00,730.00,704.00,709.00,,-2.88,,134570.00
2019-02-05,700.00,719.00,700.00,706.00,,-0.42,,366700.00
2019-02-06,705.00,708.00,705.00,708.00,,0.28,,84810.00
2019-02-07,713.00,715.00,701.00,715.00,,0.99,,339490.00
2019-02-10,701.00,715.00,675.00,680.00,,-4.9,,358650.00
2019-02-11,670.00,680.00,667.00,680.00,,0,,121610.00
2019-02-12,693.00,699.00,680.00,681.00,,0.15,,184930.00
2019-02-13,690.00,694.00,681.00,694.00,,1.91,,13840.00
2019-02-14,681.00,694.00,665.00,681.00,,-1.87,,114960.00
2019-02-17,685.00,698.00,646.00,650.00,,-4.55,,46950.00
2019-02-18,637.00,650.00,628.00,640.00,,-1.54,,70040.00
2019-02-19,640.00,650.00,640.00,641.00,,0.16,,58100.00
2019-02-20,641.00,641.00,630.00,635.00,,-0.94,,25360.00
2019-02-21,624.00,642.00,623.00,642.00,,1.1,,94740.00
2019-02-24,632.00,642.00,603.00,603.00,,-6.07,,131230.00
2019-02-25,600.00,603.00,590.00,603.00,,0,,101660.00
2019-02-26,591.00,603.00,584.00,584.00,,-3.15,,41180.00
2019-02-27,575.00,590.00,575.00,590.00,,1.03,,23260.00
2019-03-03,600.00,590.00,590.00,590.00,,0,,6000.00
2019-03-05,600.00,615.00,600.00,606.00,,1,,168934.00
2019-03-06,600.00,622.00,600.00,610.00,,0.66,,54840.00
2019-03-07,615.00,639.00,610.00,639.00,,4.75,,74890.00
2019-03-10,640.00,640.00,639.00,640.00,,0.16,,6400.00
2019-03-11,631.00,640.00,613.00,618.00,,-3.44,,132150.00
2019-03-12,630.00,679.00,618.00,679.00,,9.87,,45930.00
2019-03-13,692.00,705.00,668.00,675.00,,-0.59,,442459.00
2019-03-14,662.00,662.00,662.00,662.00,,-1.93,,39720.00
2019-03-17,649.00,661.00,649.00,656.00,,-0.91,,111300.00
2019-03-18,650.00,650.00,637.00,649.00,,-0.92,,25860.00
2019-03-19,650.00,660.00,650.00,660.00,,1.69,,181950.00
2019-03-21,655.00,657.00,655.00,655.00,,-0.76,,473000.00
2019-03-25,645.00,648.00,645.00,645.00,,-1.53,,19380.00
2019-03-26,634.00,634.00,600.00,612.00,,-5.12,,73960.00
2019-03-28,612.00,620.00,601.00,608.00,,-0.33,,67120.00
2019-03-28,612.00,610.00,600.00,610.00,,-0.33,,67120.00
2019-03-31,600.00,617.00,600.00,604.00,,-0.66,,48560.00
2019-04-01,601.00,618.00,600.00,612.00,,1.32,,97200.00
2019-04-02,624.00,636.00,612.00,636.00,,3.92,,143780.00
2019-04-03,625.00,625.00,615.00,615.00,,-3.3,,18550.00
2019-04-07,615.00,627.00,609.00,609.00,,-0.98,,55650.00
2019-04-08,609.00,610.00,600.00,600.00,,-1.48,,51440.00
2019-04-09,600.00,605.00,589.00,594.00,,-1,,246650.00
2019-04-10,585.00,590.00,584.00,590.00,,-0.67,,46930.00
2019-04-11,599.00,599.00,580.00,590.00,,0,,70540.00
2019-04-15,579.00,590.00,579.00,580.00,,-1.69,,81560.00
2019-04-16,570.00,586.00,570.00,586.00,,1.03,,104610.00
2019-04-17,586.00,597.00,586.00,587.00,,0.17,,29540.00
2019-04-18,576.00,576.00,570.00,570.00,,-2.9,,45960.00
2019-04-21,571.00,571.00,570.00,570.00,,0,,22820.00
2019-04-22,570.00,582.00,570.00,573.00,,0.53,,51750.00
2019-04-24,562.00,562.00,551.00,552.00,,-3.66,,172920.00
2019-04-25,545.00,545.00,540.00,540.00,,-2.17,,118850.00
2019-04-28,530.00,545.00,530.00,540.00,,0,,97620.00
2019-04-29,530.00,530.00,520.00,520.00,,-3.7,,26300.00
2019-04-30,516.00,520.00,516.00,519.00,,-0.19,,41390.00
2019-05-02,525.00,525.00,515.00,516.00,,-0.58,,25960.00
2019-05-05,510.00,520.00,500.00,501.00,,-2.91,,106880.00
2019-05-06,505.00,510.00,500.00,500.00,,-0.2,,55280.00
2019-05-07,500.00,500.00,483.00,483.00,,-3.4,,87240.00
2019-05-08,480.00,480.00,465.00,480.00,,-0.62,,189500.00
2019-05-09,480.00,480.00,480.00,480.00,,0,,4800.00
2019-05-12,488.00,489.00,475.00,475.00,,-1.04,,115610.00
2019-05-13,470.00,485.00,470.00,485.00,,2.11,,38070.00
2019-05-14,485.00,485.00,467.00,467.00,,-3.71,,19130.00
2019-05-15,458.00,465.00,458.00,461.00,,-1.28,,83020.00
2019-05-16,456.00,465.00,455.00,465.00,,0.87,,524950.00
2019-05-19,456.00,462.00,456.00,462.00,,-0.65,,16080.00
2019-05-20,456.00,504.00,456.00,504.00,,9.09,,96470.00
2019-05-21,505.00,550.00,505.00,550.00,,9.13,,280210.00
2019-05-22,561.00,572.00,550.00,550.00,,0,,392450.00
2019-05-26,540.00,545.00,530.00,530.00,,-3.64,,134740.00
2019-05-29,520.00,520.00,520.00,520.00,,-1.89,,5200.00
2019-05-30,510.00,510.00,500.00,500.00,,-3.85,,270680.00
2019-06-02,475.00,481.00,475.00,480.00,,-4,,23920.00
2019-06-03,471.00,471.00,467.00,467.00,,-2.71,,9380.00
2019-06-04,458.00,458.00,458.00,458.00,,-1.93,,9160.00
2019-06-06,458.00,458.00,451.00,451.00,,-1.53,,18180.00
2019-06-11,430.00,430.00,421.00,422.00,,-2.99,,53035.00
2019-06-12,416.00,416.00,415.00,415.00,,-1.66,,37360.00
2019-06-13,410.00,418.00,410.00,418.00,,0.72,,8280.00
2019-06-16,426.00,434.00,426.00,434.00,,3.83,,12860.00
2019-06-17,426.00,426.00,404.00,415.00,,-4.38,,92450.00
2019-06-18,423.00,431.00,423.00,423.00,,1.93,,17000.00
2019-06-19,424.00,424.00,413.00,413.00,,-2.36,,37720.00
2019-06-20,405.00,410.00,405.00,410.00,,-0.73,,24450.00
2019-06-23,402.00,402.00,400.00,400.00,,-2.44,,16030.00
2019-06-24,400.00,400.00,400.00,400.00,,0,,12000.00
2019-06-25,395.00,400.00,395.00,400.00,,0,,11950.00
2019-06-26,400.00,413.00,400.00,413.00,,3.25,,32330.00
2019-06-27,420.00,420.00,406.00,412.00,,-0.24,,20600.00
