Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-06-17,276.00,281.00,276.00,281.00,,0,,5570.00
2019-06-24,295.00,295.00,295.00,295.00,,4.98,,2950.00
2019-06-26,309.00,309.00,309.00,309.00,,4.75,,3090.00
2019-06-30,324.00,339.00,324.00,339.00,,9.71,,23460.00
2019-07-01,355.00,355.00,355.00,355.00,,4.72,,3550.00
2019-07-03,372.00,379.00,372.00,379.00,,6.76,,7510.00
2019-07-04,397.00,416.00,397.00,416.00,,9.76,,20450.00
2019-07-07,436.00,457.00,436.00,457.00,,9.86,,1847973.00
2019-07-08,479.00,490.00,450.00,465.00,,1.75,,4508220.00
2019-07-09,464.00,479.00,461.00,478.00,,2.8,,1462510.00
2019-07-10,470.00,475.00,464.00,465.00,,-2.72,,575690.00
2019-07-11,459.00,469.00,459.00,466.00,,0.22,,839360.00
2019-07-14,466.00,470.00,462.00,465.00,,-0.21,,651340.00
2019-07-15,470.00,475.00,465.00,472.00,,1.51,,400070.00
2019-07-16,472.00,480.00,465.00,471.00,,-0.21,,258580.00
2019-07-17,464.00,479.00,464.00,475.00,,0.85,,364360.00
2019-07-18,475.00,484.00,473.00,473.00,,-0.42,,171140.00
2019-07-21,465.00,499.00,465.00,499.00,,5.5,,803538.00
2019-07-22,493.00,520.00,484.00,493.00,,-1.2,,440810.00
2019-07-23,517.00,517.00,481.00,494.00,,0.2,,654710.00
2019-07-24,487.00,519.00,487.00,519.00,,5.06,,1764600.00
2019-07-25,510.00,531.00,494.00,516.00,,-0.58,,4497410.00
2019-07-28,523.00,523.00,497.00,503.00,,-2.52,,607850.00
2019-07-29,510.00,550.00,510.00,550.00,,9.34,,1454200.00
2019-07-30,561.00,597.00,544.00,597.00,,8.55,,1290213.00
2019-07-31,597.00,656.00,590.00,656.00,,9.88,,2059485.00
2019-08-01,669.00,721.00,664.00,721.00,,9.91,,2618540.00
2019-08-04,757.00,793.00,756.00,793.00,,9.99,,1369470.00
2019-08-05,808.00,872.00,780.00,825.00,,4.04,,8880384.00
2019-08-06,815.00,815.00,743.00,749.00,,-9.21,,2958205.00
2019-08-07,735.00,810.00,690.00,805.00,,7.48,,1585625.00
2019-08-08,789.00,793.00,750.00,793.00,,-1.49,,408670.00
2019-08-11,808.00,872.00,808.00,837.00,,5.55,,3241805.00
2019-08-12,825.00,848.00,817.00,829.00,,-0.96,,876010.00
2019-08-13,815.00,844.00,814.00,824.00,,-0.6,,680625.00
2019-08-14,808.00,824.00,808.00,824.00,,0,,866340.00
