Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-03-27,391.00,430.10,391.00,430.10,,0,,521679.50
2023-03-28,438.70,473.10,438.70,473.10,,10,,529026.00
2023-03-29,480.00,520.40,480.00,520.40,,10,,1299954.00
2023-03-30,530.80,572.40,530.80,572.40,,9.99,,3403512.00
2023-04-02,572.40,629.60,579.00,585.00,,2.2,,23284501.00
2023-04-03,575.00,576.00,550.20,560.10,,-4.26,,14664131.20
2023-04-04,549.00,611.00,548.90,577.00,,3.02,,5087702.00
2023-04-05,572.00,601.50,570.00,598.90,,3.8,,4956748.80
2023-04-06,590.10,599.00,583.00,586.90,,-2,,3096594.00
2023-04-09,578.00,580.00,560.00,560.00,,-4.58,,6703907.00
2023-04-10,560.00,577.00,560.00,570.00,,1.79,,2077840.00
2023-04-11,560.20,580.00,560.20,579.90,,1.74,,1708036.00
2023-04-12,570.10,599.00,570.10,588.00,,1.4,,2721195.00
2023-04-13,588.00,588.50,570.10,570.10,,-3.04,,3351953.30
2023-04-16,570.10,587.50,569.90,574.00,,0.68,,2883801.50
2023-04-17,563.10,580.00,563.10,575.00,,0.17,,4897826.00
2023-04-18,585.00,586.50,560.00,569.80,,-0.9,,3780847.00
2023-04-19,568.00,570.90,560.00,563.00,,-1.19,,1034255.00
2023-04-20,552.10,571.00,552.10,569.90,,1.23,,4718324.90
2023-04-23,559.10,568.90,550.10,568.90,,-0.18,,4354383.00
2023-04-24,557.60,566.00,550.20,560.10,,-1.55,,1422976.20
2023-04-25,552.00,569.80,542.30,569.80,,1.73,,2480087.80
2023-04-26,578.50,578.50,555.00,560.10,,-1.7,,3701788.00
2023-04-27,549.20,563.00,549.20,563.00,,0.52,,1636027.00
2023-04-30,555.00,558.00,545.20,545.20,,-3.16,,2133924.10
2023-05-02,540.10,548.30,540.10,548.30,,0.57,,441643.00
2023-05-03,538.00,545.00,538.00,538.40,,-1.81,,361421.00
2023-05-04,528.10,549.00,528.10,549.00,,1.97,,642776.00
2023-05-07,538.10,550.00,510.00,550.00,,0.18,,1188207.00
2023-05-08,539.00,539.50,520.00,539.50,,-1.91,,821616.00
2023-05-09,545.00,545.00,530.00,533.30,,-1.15,,866484.00
2023-05-10,532.00,550.00,527.00,550.00,,3.13,,2250743.00
2023-05-11,539.00,554.00,530.20,554.00,,0.73,,1743926.00
2023-05-14,554.00,559.80,536.00,545.00,,-1.62,,3714603.00
2023-05-15,535.00,540.60,527.10,540.60,,-0.81,,487389.00
2023-05-16,532.00,540.00,530.00,540.00,,-0.11,,550319.00
2023-05-17,535.00,548.00,535.00,548.00,,1.48,,2782146.00
2023-05-18,537.10,554.90,537.10,552.00,,0.73,,1479033.00
2023-05-21,542.00,560.00,541.00,550.00,,-0.36,,3182639.00
2023-05-22,541.00,547.00,538.10,543.30,,-1.22,,680872.00
2023-05-23,540.10,561.20,540.10,558.10,,2.72,,2374431.00
2023-05-24,547.00,564.80,547.00,557.00,,-0.2,,1394123.00
2023-05-28,550.00,558.90,547.30,552.00,,-0.9,,1921125.30
2023-05-30,542.00,550.00,528.00,529.00,,-4.17,,2843099.00
2023-05-31,529.00,530.00,495.40,510.00,,-3.59,,2633778.00
2023-06-01,501.20,514.80,500.00,511.00,,0.2,,1826366.50
2023-06-04,521.20,530.00,511.00,529.50,,3.62,,1731137.50
2023-06-05,530.00,530.00,510.30,519.90,,-1.81,,2060582.60
2023-06-06,511.00,529.30,511.00,529.30,,1.81,,1849433.00
2023-06-07,534.90,540.00,523.10,527.10,,-0.42,,3827760.50
2023-06-08,530.20,550.00,530.00,549.00,,4.15,,2908535.00
2023-06-11,538.10,566.00,538.10,566.00,,3.1,,3246545.00
2023-06-12,577.00,577.00,545.00,558.00,,-1.41,,2773800.50
2023-06-13,546.90,574.00,546.90,565.90,,1.42,,2810774.10
2023-06-14,577.00,577.00,555.00,568.00,,0.37,,3627220.00
2023-06-15,579.00,579.00,553.60,560.10,,-1.39,,2668447.60
2023-06-18,569.00,574.00,555.70,568.00,,1.41,,931232.00
2023-06-19,579.30,579.30,559.00,565.00,,-0.53,,1984807.00
2023-06-20,553.90,601.00,553.90,567.10,,0.37,,4917946.00
2023-06-21,567.10,575.00,555.00,557.00,,-1.78,,2832672.50
2023-06-22,550.10,570.00,550.10,568.00,,1.97,,904634.00
2023-06-25,556.80,568.00,552.10,568.00,,0,,2022870.00
2023-06-26,579.00,579.00,552.10,562.00,,-1.06,,1672751.00
2023-06-27,555.00,572.00,555.00,560.00,,-0.36,,3068225.00
2023-06-28,555.00,559.90,550.00,556.00,,-0.71,,2414333.00
2023-07-02,545.10,566.00,545.10,558.90,,0.52,,4115901.90
2023-07-03,547.90,552.00,540.00,550.90,,-1.43,,1593612.00
2023-07-04,541.00,553.00,541.00,553.00,,0.38,,1923021.30
2023-07-05,542.00,546.80,535.60,546.80,,-1.12,,1580043.00
2023-07-06,536.00,541.00,515.60,541.00,,-1.06,,1401792.00
2023-07-09,530.20,550.80,520.10,550.80,,1.81,,1018656.00
2023-07-10,540.00,558.50,530.10,530.80,,-3.63,,412914.00
2023-07-11,530.00,541.40,520.10,530.00,,-0.15,,1536862.00
2023-07-12,520.50,560.00,520.50,549.00,,3.58,,2169061.60
2023-07-13,550.00,561.00,540.00,549.00,,0,,3237594.50
2023-07-16,545.00,564.80,540.00,564.80,,2.88,,2632309.80
2023-07-17,554.00,570.00,550.00,570.00,,0.92,,867739.00
2023-07-18,579.50,579.50,562.00,577.00,,1.23,,1590751.00
2023-07-19,576.00,605.00,570.90,590.00,,2.25,,2733910.90
2023-07-20,599.90,599.90,582.00,585.20,,-0.81,,1132988.50
2023-07-23,578.00,596.00,578.00,595.00,,1.67,,1200316.00
2023-07-24,584.00,600.00,580.50,584.00,,-1.85,,737077.00
2023-07-25,574.00,594.00,574.00,582.00,,-0.34,,1103417.00
2023-07-26,582.00,589.00,571.20,582.90,,0.15,,1786331.70
2023-07-27,571.70,599.00,570.00,599.00,,2.76,,14523744.80
2023-07-30,599.00,631.00,599.00,617.30,,3.06,,8668888.00
2023-07-31,629.50,649.00,609.00,614.00,,-0.53,,10970628.00
2023-08-01,625.00,625.00,602.00,602.00,,-1.95,,3065009.00
2023-08-02,602.00,605.00,593.00,599.90,,-0.35,,1359493.00
2023-08-03,590.30,629.00,590.30,629.00,,4.85,,6395247.00
2023-08-06,629.00,629.00,593.90,594.00,,-5.56,,2432054.00
2023-08-07,587.10,612.00,587.10,612.00,,3.03,,3713014.80
2023-08-08,612.00,624.00,590.30,600.00,,-1.96,,4084340.60
2023-08-09,588.00,619.90,580.30,614.90,,2.48,,2648280.00
2023-08-10,612.00,622.00,596.10,608.20,,-1.09,,2510133.50
2023-08-13,620.30,620.30,598.50,615.00,,1.12,,1769389.00
2023-08-14,627.00,627.00,600.00,600.00,,-2.44,,2159572.00
2023-08-15,612.00,612.00,588.10,597.80,,-0.37,,842322.00
2023-08-16,609.00,609.00,579.00,607.00,,1.54,,2758703.00
2023-08-17,594.90,595.00,583.20,583.30,,-3.9,,2115419.10
2023-08-20,578.00,604.80,578.00,590.00,,1.15,,1267496.80
2023-08-21,579.00,590.00,570.10,588.70,,-0.22,,1484516.90
2023-08-22,588.70,595.00,580.00,595.00,,1.07,,615094.00
2023-08-23,585.00,609.00,585.00,608.00,,2.18,,1134749.40
2023-08-24,608.00,608.00,578.00,585.00,,-3.78,,879856.00
2023-08-27,573.30,575.00,560.00,575.00,,-1.71,,2100287.00
2023-08-28,565.60,577.00,555.00,571.00,,-0.7,,1220393.00
2023-08-29,560.00,570.00,549.10,570.00,,-0.18,,545804.00
2023-08-30,560.10,571.30,560.10,570.00,,0,,249251.00
2023-09-03,559.00,559.00,540.00,551.90,,-3.18,,262392.00
2023-09-04,562.00,565.00,541.20,565.00,,2.37,,292379.60
2023-09-05,553.70,560.00,542.70,560.00,,-0.88,,224841.00
2023-09-07,548.80,557.00,535.50,545.00,,-2.68,,834522.00
2023-09-10,536.00,547.80,535.50,547.80,,0.51,,248233.00
2023-09-11,540.00,595.00,540.00,563.00,,2.77,,1560485.00
2023-09-12,574.00,584.00,551.90,570.00,,1.24,,326178.00
2023-09-13,581.00,599.00,558.60,596.70,,4.68,,502121.00
2023-09-17,585.00,587.50,556.00,567.00,,-4.98,,962148.00
2023-09-18,556.00,599.00,555.70,583.00,,2.82,,312681.00
2023-09-19,572.00,593.00,562.00,588.00,,0.86,,448109.00
2023-09-21,599.00,619.50,587.10,617.00,,4.93,,3809328.00
2023-09-24,605.00,620.00,590.00,591.00,,-4.21,,1210027.00
2023-09-25,581.30,602.00,580.10,601.00,,1.69,,2244476.00
2023-09-26,613.00,632.00,601.00,616.00,,2.5,,11517434.10
2023-09-27,603.70,603.70,568.50,579.90,,-5.86,,2742394.00
2023-10-01,568.40,591.00,547.00,591.00,,1.91,,4991485.40
2023-10-02,579.20,579.20,551.00,574.00,,-2.88,,1924406.20
2023-10-03,578.00,578.00,549.00,560.00,,-2.44,,1147961.50
2023-10-04,560.00,578.00,550.10,563.00,,0.54,,1580344.00
2023-10-05,567.00,573.00,551.80,552.00,,-1.95,,2965376.00
2023-10-08,545.10,563.90,545.10,557.90,,1.07,,1447995.70
2023-10-09,547.00,566.00,540.10,566.00,,1.45,,1170551.00
2023-10-10,555.00,555.00,538.60,549.90,,-2.84,,1355613.40
2023-10-11,539.30,551.00,530.00,544.00,,-1.07,,2145403.70
2023-10-12,535.00,536.00,502.10,520.00,,-4.41,,5863477.50
2023-10-16,509.70,541.00,486.30,541.00,,4.04,,2225425.00
2023-10-17,551.80,551.80,503.10,506.10,,-6.45,,878624.00
2023-10-18,516.00,526.00,511.00,513.10,,1.38,,442901.00
2023-10-19,507.10,530.00,507.10,529.00,,3.1,,770710.00
2023-10-29,518.50,520.00,492.00,515.00,,-2.65,,167648.00
2023-10-30,507.00,515.00,505.00,515.00,,0,,299787.00
2023-10-31,505.20,514.90,504.70,511.00,,-0.78,,591354.00
2023-11-01,520.00,521.00,501.00,511.00,,0,,156769.00
2023-11-02,502.10,513.00,500.00,503.00,,-1.57,,837124.50
2023-11-05,493.00,504.60,493.00,504.00,,0.2,,482609.00
2023-11-06,512.00,513.00,503.00,512.00,,1.59,,673124.00
2023-11-07,512.00,521.10,510.10,511.30,,-0.14,,908435.00
2023-11-08,508.20,521.00,508.20,518.00,,1.31,,621958.00
2023-11-09,510.00,514.90,505.00,510.00,,-1.54,,954519.00
2023-11-20,515.00,520.20,498.00,509.90,,-0.02,,290659.50
2023-11-21,505.20,505.20,485.00,485.00,,-4.88,,1299850.90
2023-11-22,485.00,510.00,485.00,510.00,,5.15,,1784636.40
2023-11-23,517.00,525.00,499.80,524.90,,2.92,,860895.00
2023-11-26,515.10,540.00,515.00,540.00,,2.88,,602142.00
2023-11-27,529.30,539.00,525.00,538.00,,-0.37,,606707.60
2023-11-28,535.00,535.50,514.00,528.80,,-1.71,,736112.00
2023-11-29,521.20,539.00,521.20,539.00,,1.93,,221339.40
2023-11-30,528.30,530.00,516.20,516.20,,-4.23,,1115841.00
2023-12-03,511.10,511.10,500.00,500.00,,-3.14,,890540.00
2023-12-04,500.00,515.00,500.00,509.00,,1.8,,494241.50
2023-12-05,500.10,506.80,495.00,506.80,,-0.43,,834771.20
2023-12-06,496.70,505.00,492.00,505.00,,-0.36,,252734.00
2023-12-07,496.00,513.00,496.00,513.00,,1.58,,429090.00
2023-12-10,513.00,544.00,513.00,544.00,,6.04,,34738.00
2023-12-11,553.00,553.00,523.40,535.00,,-1.65,,1234287.00
2023-12-12,525.00,547.00,525.00,547.00,,2.24,,2477068.50
2023-12-13,548.00,552.80,511.00,519.60,,-5.01,,3796210.40
2023-12-14,512.00,545.00,512.00,535.00,,2.96,,1454890.00
2023-12-17,534.90,578.90,520.00,578.90,,8.21,,5367868.60
2023-12-18,575.00,590.40,552.00,569.00,,-1.71,,9708008.00
