Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-03-05,299.00,328.90,299.00,328.90,,0,,2182579.00
2023-03-07,335.40,361.70,335.40,361.70,,9.97,,5365374.10
2023-03-09,368.90,391.00,355.00,381.00,,5.34,,25676086.00
2023-03-12,381.00,382.00,363.10,364.20,,-4.41,,23500715.00
2023-03-13,364.00,364.00,345.00,354.00,,-2.8,,10586706.30
2023-03-14,349.00,389.40,349.00,387.00,,9.32,,17056519.10
2023-03-15,379.30,388.10,375.70,387.20,,0.05,,12963109.00
2023-03-16,379.50,406.80,379.50,401.00,,3.56,,18444246.00
2023-03-19,403.00,406.50,389.00,399.00,,-0.5,,12580589.40
2023-03-20,395.00,405.20,392.10,401.00,,0.5,,10381215.50
2023-03-22,409.00,425.40,403.00,403.10,,0.52,,16162128.10
2023-03-23,411.00,411.00,391.00,391.50,,-2.88,,9877271.80
2023-03-26,399.30,400.00,384.00,390.00,,-0.38,,8542755.40
2023-03-27,397.00,397.00,377.00,392.20,,0.56,,6634436.50
2023-03-28,400.00,403.00,387.10,392.00,,-0.05,,10350080.10
2023-03-29,399.00,399.00,383.30,394.80,,0.71,,11189829.00
2023-03-30,394.90,398.00,387.30,395.00,,0.05,,6628409.00
2023-04-02,395.00,395.00,379.90,385.00,,-2.53,,7856366.50
2023-04-03,377.30,383.00,370.00,374.10,,-2.83,,5878455.00
2023-04-04,367.00,398.00,367.00,380.00,,1.58,,5414360.50
2023-04-05,375.00,383.00,370.20,380.00,,0,,4641569.50
2023-04-06,372.70,383.00,372.70,380.00,,0,,3011055.00
2023-04-09,372.50,374.00,367.30,372.00,,-2.11,,3146816.20
2023-04-10,365.00,374.00,365.00,374.00,,0.54,,3326056.80
2023-04-11,368.00,389.00,368.00,381.50,,2.01,,2216027.50
2023-04-12,380.00,407.00,378.00,399.00,,4.59,,7407534.00
2023-04-13,391.20,420.00,385.10,390.00,,-2.26,,9305570.70
2023-04-16,383.00,399.00,375.40,385.10,,-1.26,,2720439.50
2023-04-17,377.50,385.00,376.10,382.00,,-0.8,,3379066.00
2023-04-18,375.00,386.90,375.00,386.90,,1.28,,2657510.00
2023-04-19,379.20,418.00,373.00,399.90,,3.36,,2482013.50
2023-04-20,395.00,408.00,390.00,395.00,,-1.23,,7648136.00
2023-04-23,402.00,410.90,383.30,385.40,,-2.43,,2619474.00
2023-04-24,380.00,392.00,380.00,386.00,,0.16,,2154540.00
2023-04-25,378.30,397.00,378.30,390.10,,1.06,,3163363.00
2023-04-26,383.60,398.10,383.20,383.20,,-1.77,,2841236.60
2023-04-27,381.00,398.90,381.00,398.90,,4.1,,5446926.20
2023-04-30,391.00,397.50,386.70,390.90,,-2.01,,2018109.00
2023-05-02,383.50,386.00,380.00,385.00,,-1.51,,1913806.50
2023-05-03,385.00,385.00,373.30,381.00,,-1.04,,2413616.00
2023-05-04,373.40,390.00,373.00,390.00,,2.36,,2644994.00
2023-05-07,383.00,390.00,377.00,382.00,,-2.05,,1181378.00
2023-05-08,375.10,385.00,375.10,382.90,,0.24,,3651980.90
2023-05-09,375.50,403.90,375.50,385.00,,0.55,,4158285.00
2023-05-10,390.00,390.00,380.00,389.00,,1.04,,3555708.30
2023-05-11,381.30,390.00,374.00,386.90,,-0.54,,766996.00
2023-05-14,394.00,394.00,368.10,380.00,,-1.78,,1518297.00
2023-05-15,372.40,382.00,366.30,378.00,,-0.53,,1114420.00
2023-05-16,378.00,384.00,368.00,381.00,,0.79,,3055620.70
2023-05-17,373.60,388.60,373.60,383.00,,0.52,,4739750.20
2023-05-18,390.00,398.80,375.10,398.80,,4.13,,5368332.80
2023-05-21,390.90,412.00,386.00,410.00,,2.81,,8161810.70
2023-05-22,410.00,415.00,388.10,400.90,,-2.22,,5387855.00
2023-05-23,400.90,423.00,387.10,420.00,,4.76,,7325888.00
2023-05-24,428.00,428.00,400.60,405.70,,-3.4,,5152052.00
2023-05-28,408.00,422.00,397.00,409.00,,0.81,,13052302.30
2023-05-30,400.90,425.00,386.40,416.50,,1.83,,8031724.80
2023-05-31,422.00,422.00,386.30,393.00,,-5.64,,8627857.10
2023-06-01,385.30,399.80,381.00,395.00,,0.51,,6890807.00
2023-06-04,400.00,424.00,393.00,415.00,,5.06,,9454986.10
2023-06-05,420.00,420.00,408.10,414.00,,-0.24,,12331903.00
2023-06-06,405.80,432.40,401.50,432.40,,4.44,,11582965.40
2023-06-07,433.00,462.00,425.40,444.00,,2.68,,10826973.30
2023-06-08,449.00,463.00,427.10,453.90,,2.23,,6761640.10
2023-06-11,460.00,469.00,445.00,460.00,,1.34,,15805678.00
2023-06-12,450.80,460.00,436.00,442.70,,-3.76,,13360702.80
2023-06-13,435.00,469.40,426.30,442.00,,-0.16,,13071001.50
2023-06-14,435.00,461.00,435.00,445.00,,0.68,,20261281.50
2023-06-15,450.00,460.90,441.00,460.00,,3.37,,16322515.00
2023-06-18,460.00,506.00,450.90,506.00,,10,,13398678.00
2023-06-19,495.90,495.90,466.80,483.00,,-4.55,,9667709.30
2023-06-20,490.00,490.00,455.00,463.00,,-4.14,,8433072.50
2023-06-21,454.00,470.00,441.00,445.00,,-3.89,,9084403.00
2023-06-22,440.00,470.00,435.00,454.60,,2.16,,11791433.30
2023-06-25,463.60,472.80,428.00,472.80,,4,,15724635.30
2023-06-26,463.40,463.40,434.00,440.00,,-6.94,,13266804.70
2023-06-27,440.00,445.00,430.40,435.00,,-1.14,,12307035.20
2023-06-28,440.00,461.50,420.00,420.00,,-3.45,,8579151.00
2023-07-02,415.00,428.40,415.00,419.00,,-0.24,,6049034.20
2023-07-03,427.30,427.30,400.10,423.00,,0.95,,6596106.60
2023-07-04,423.00,429.00,408.90,426.00,,0.71,,2632913.80
2023-07-05,417.50,417.50,403.60,406.90,,-4.48,,4355424.00
2023-07-06,399.00,418.00,399.00,418.00,,2.73,,3436490.40
2023-07-09,425.90,425.90,392.60,414.00,,-0.96,,4496162.00
2023-07-10,405.80,420.90,393.00,393.00,,-5.07,,4970996.90
2023-07-11,385.20,397.00,385.20,390.50,,-0.64,,3687290.50
2023-07-12,384.00,426.50,384.00,409.00,,4.74,,1877898.90
2023-07-13,409.00,433.90,399.00,399.00,,-2.44,,2504473.00
2023-07-16,392.00,422.00,377.50,422.00,,5.76,,2426995.50
2023-07-17,413.60,413.60,390.00,412.00,,-2.37,,2006679.00
2023-07-18,403.80,419.00,395.80,411.00,,-0.24,,3647647.30
2023-07-19,415.50,417.00,392.70,397.00,,-3.41,,3720670.00
2023-07-20,390.10,406.10,390.00,404.80,,1.96,,2018788.50
2023-07-23,408.00,428.00,396.00,415.00,,2.52,,2878404.50
2023-07-24,423.30,423.30,398.00,402.10,,-3.11,,2265366.10
2023-07-25,394.20,402.00,391.00,395.10,,-1.74,,1149514.00
2023-07-26,389.00,398.00,389.00,393.50,,-0.4,,1110964.90
2023-07-27,386.00,393.00,386.00,386.10,,-1.88,,1843447.00
2023-07-30,386.20,393.00,379.30,382.00,,-1.06,,1976332.00
2023-07-31,389.60,405.90,367.80,380.50,,-0.39,,1150660.40
2023-08-01,380.50,398.00,375.00,398.00,,4.6,,1222260.90
2023-08-02,390.10,390.10,374.70,381.90,,-4.05,,1090135.00
2023-08-03,375.00,404.00,372.10,372.10,,-2.57,,1641251.00
2023-08-06,366.00,385.00,352.00,385.00,,3.47,,2559660.00
2023-08-07,377.30,385.00,348.20,375.40,,-2.49,,1174952.00
2023-08-08,367.90,367.90,355.00,359.00,,-4.37,,1066765.00
2023-08-09,352.10,394.00,348.00,394.00,,9.75,,2441782.80
2023-08-10,390.00,390.00,360.50,371.00,,-5.84,,1453991.90
2023-08-13,365.00,393.20,358.10,363.10,,-2.13,,1599450.00
2023-08-14,363.00,370.00,353.00,359.90,,-0.88,,1288668.00
2023-08-15,353.00,354.00,350.00,351.00,,-2.47,,871005.00
2023-08-16,345.00,372.00,340.20,347.00,,-1.14,,2174351.00
2023-08-17,340.30,368.10,333.70,360.80,,3.98,,2662462.00
2023-08-20,353.60,353.60,334.00,340.00,,-5.76,,1084081.00
2023-08-21,334.00,353.00,330.20,353.00,,3.82,,1095391.00
2023-08-22,346.00,358.50,330.20,358.50,,1.56,,1226812.50
2023-08-23,357.50,360.00,345.00,358.00,,-0.14,,2964498.00
2023-08-24,351.00,366.00,343.30,345.00,,-3.63,,2985464.50
2023-08-27,338.20,345.10,335.00,335.10,,-2.87,,902293.60
2023-08-28,330.00,337.10,328.00,334.00,,-0.33,,775176.50
2023-08-29,340.50,354.20,328.00,332.00,,-0.6,,859873.00
2023-08-30,338.60,345.00,331.50,332.10,,0.03,,735956.00
2023-09-03,338.70,352.30,319.20,321.00,,-3.34,,1047393.00
2023-09-04,321.00,333.00,317.00,328.00,,2.18,,1403331.00
2023-09-05,321.50,333.90,316.00,333.00,,1.52,,391384.00
2023-09-07,327.00,337.00,316.50,337.00,,1.2,,1274618.70
2023-09-10,330.30,331.00,311.50,326.10,,-3.23,,584771.00
2023-09-11,332.60,336.60,318.00,336.60,,3.22,,1305454.00
2023-09-12,329.90,330.00,310.30,312.30,,-7.22,,1421569.00
2023-09-13,318.50,337.80,310.00,324.00,,3.75,,2628741.50
2023-09-17,318.00,326.40,311.80,326.40,,0.74,,1009968.90
2023-09-18,332.00,332.00,319.90,328.00,,0.49,,956891.00
2023-09-19,334.50,341.70,318.00,340.00,,3.66,,1770080.00
2023-09-21,340.00,374.00,340.00,360.00,,5.88,,4790735.90
2023-09-24,353.00,360.00,345.10,345.10,,-4.14,,1668429.80
2023-09-25,338.40,373.00,338.40,358.00,,3.74,,3708391.50
2023-09-26,359.00,376.00,353.00,370.00,,3.35,,1957994.00
2023-09-27,362.60,367.20,353.30,364.00,,-1.62,,1619380.00
2023-10-01,369.00,369.00,345.10,346.00,,-4.95,,967713.80
2023-10-02,339.50,354.70,335.00,344.50,,-0.43,,1263891.00
2023-10-03,338.00,347.00,338.00,340.30,,-1.22,,1203086.00
2023-10-04,335.20,355.00,335.20,350.00,,2.85,,1920578.00
2023-10-05,343.00,362.10,336.20,355.10,,1.46,,3228760.20
2023-10-08,348.00,362.20,342.10,357.00,,0.54,,2623725.00
2023-10-09,357.00,362.90,345.50,353.00,,-1.12,,2447615.70
2023-10-10,360.00,366.00,347.00,356.00,,0.85,,1846354.60
2023-10-11,363.00,369.00,344.20,344.20,,-3.31,,1773096.00
2023-10-12,351.00,365.00,335.00,355.00,,3.14,,3643168.00
2023-10-16,361.90,361.90,331.50,341.60,,-3.77,,1567062.00
2023-10-17,334.80,352.00,331.60,343.90,,0.67,,1390953.00
2023-10-18,349.90,350.00,336.20,350.00,,1.77,,1505372.90
2023-10-19,356.00,356.00,333.00,338.00,,-3.43,,944215.00
2023-10-29,331.50,365.70,328.70,342.00,,1.18,,3046322.20
2023-10-30,335.20,360.00,322.10,360.00,,5.26,,1755388.00
2023-10-31,352.80,352.80,327.80,345.00,,-4.17,,599643.00
2023-11-01,338.10,338.10,325.00,338.00,,-2.03,,1649498.00
2023-11-02,331.30,340.00,316.30,322.00,,-4.73,,2091037.90
2023-11-05,316.10,327.50,310.30,327.50,,1.71,,1525374.20
2023-11-06,321.00,327.00,318.00,326.90,,-0.18,,1248022.00
2023-11-07,320.40,346.00,320.00,322.00,,-1.5,,775461.00
2023-11-08,328.00,328.90,315.60,319.60,,-0.75,,381795.00
2023-11-09,313.60,330.00,311.20,330.00,,3.25,,3066781.00
2023-11-20,326.00,332.00,320.30,330.00,,0,,2446485.70
2023-11-21,323.40,326.00,318.20,322.00,,-2.42,,1593503.00
2023-11-22,316.00,349.90,316.00,344.50,,6.99,,2365686.00
2023-11-23,350.00,350.00,330.00,339.00,,-1.6,,2871862.00
2023-11-26,340.00,353.90,333.00,353.90,,4.4,,4488158.00
2023-11-27,360.00,375.00,342.20,345.10,,-2.49,,2423782.00
2023-11-28,340.00,347.70,335.20,341.00,,-1.19,,1256138.00
2023-11-29,341.00,350.00,336.00,337.20,,-1.11,,1193853.00
2023-11-30,331.10,350.70,328.10,330.00,,-2.14,,2424243.50
2023-12-03,325.00,348.00,324.10,335.00,,1.52,,431172.00
2023-12-04,328.40,339.00,328.40,337.00,,0.6,,973061.00
2023-12-05,332.00,338.10,330.00,330.00,,-2.08,,627372.00
2023-12-06,324.10,336.00,324.10,330.10,,0.03,,710194.00
2023-12-07,325.40,337.00,325.30,337.00,,2.09,,601529.00
2023-12-10,343.70,364.60,343.70,364.00,,8.01,,21378.00
2023-12-11,371.20,371.20,343.00,352.00,,-3.3,,4375613.60
2023-12-12,345.00,387.20,345.00,370.00,,5.11,,3430113.60
2023-12-13,374.00,377.40,365.00,375.00,,1.35,,3965698.00
2023-12-14,368.00,400.00,361.10,388.00,,3.47,,2297479.50
2023-12-17,381.20,424.00,381.00,424.00,,9.28,,11621433.20
2023-12-18,415.60,439.60,392.50,405.90,,-4.27,,9891767.30
2023-12-19,400.00,408.00,388.50,405.90,,0,,4263427.50
2023-12-20,413.90,425.00,400.10,424.00,,4.46,,41814690.20
2023-12-21,432.00,466.00,425.00,449.50,,6.01,,46162853.70
2023-12-24,441.00,470.00,432.20,449.50,,0,,29435373.40
2023-12-27,451.00,458.30,426.00,430.00,,-4.34,,16039225.00
2023-12-28,428.00,435.00,416.60,427.00,,-0.7,,10068740.50
2024-01-01,428.00,445.20,421.40,421.40,,-1.31,,13338318.00
2024-01-02,421.00,436.00,415.00,421.50,,0.02,,16082685.40
2024-01-03,415.00,438.00,414.10,438.00,,3.91,,7008425.00
2024-01-04,440.00,460.00,424.70,445.00,,1.6,,22853356.00
2024-01-07,453.00,459.00,441.20,442.10,,-0.65,,16332687.40
2024-01-08,442.10,469.20,442.00,466.90,,5.61,,14748223.60
2024-01-09,469.00,474.80,442.10,442.20,,-5.29,,23240257.30
2024-01-10,450.50,478.00,438.00,445.00,,0.63,,13201309.30
2024-01-11,450.00,465.00,437.80,460.00,,3.37,,11066961.50
2024-01-14,469.20,480.00,463.00,475.00,,3.26,,32872516.20
2024-01-16,484.50,486.00,466.00,468.10,,-1.45,,24563215.90
2024-01-17,465.00,465.00,450.00,450.00,,-3.87,,13778446.30
2024-01-18,450.00,464.00,441.10,460.00,,2.22,,15490309.30
2024-01-21,460.00,485.00,451.00,459.10,,-0.2,,13868521.00
2024-01-22,450.10,466.00,444.00,448.00,,-2.42,,7550626.00
2024-01-23,440.00,457.00,440.00,445.00,,-0.67,,6563860.00
2024-01-24,438.00,461.90,435.20,436.00,,-2.02,,4725000.10
2024-01-25,427.30,440.70,427.30,439.00,,0.69,,3037547.60
2024-01-28,438.00,450.00,427.30,450.00,,2.51,,5740613.10
2024-01-29,442.00,453.00,441.00,449.50,,-0.11,,5211484.20
2024-01-30,441.30,477.00,441.30,473.00,,5.23,,35721521.90
2024-01-31,466.60,489.80,466.60,474.00,,0.21,,35087441.60
2024-02-01,474.00,480.00,456.60,467.00,,-1.48,,14732752.00
2024-02-04,476.00,485.80,450.80,459.00,,-1.71,,18132761.40
2024-02-05,455.00,459.00,447.00,459.00,,0,,6376809.50
2024-02-06,450.10,456.00,445.10,456.00,,-0.65,,7000726.00
2024-02-07,446.90,468.00,446.90,467.00,,2.41,,6947879.50
2024-02-08,467.00,488.00,457.70,479.00,,2.57,,35260350.40
2024-02-11,485.00,494.30,476.00,483.00,,0.84,,41029493.50
2024-02-12,473.70,508.00,473.70,500.90,,3.71,,50915195.60
2024-02-13,490.90,540.00,490.90,519.80,,3.77,,78775704.60
2024-02-14,530.00,540.60,510.00,525.00,,1,,40414629.80
2024-02-15,525.00,534.00,509.00,512.00,,-2.48,,18118673.30
2024-02-18,522.20,522.20,491.60,493.00,,-3.71,,21339139.50
2024-02-20,502.00,502.00,477.00,486.70,,-1.28,,12281536.00
2024-02-21,496.40,500.00,485.40,494.50,,1.6,,10520016.90
2024-02-22,504.30,504.30,471.20,478.90,,-3.15,,16583131.70
2024-02-25,488.40,492.00,459.00,468.00,,-2.28,,12861951.50
2024-02-26,477.30,495.00,458.80,471.40,,0.73,,9042120.40
2024-02-27,462.00,488.00,462.00,470.00,,-0.3,,5889604.00
2024-02-28,462.00,479.40,456.70,471.00,,0.21,,8169444.10
2024-02-29,462.00,499.00,445.00,457.90,,-2.78,,7846011.50
2024-03-03,457.90,457.90,436.00,446.00,,-2.6,,8446597.90
2024-03-04,453.00,480.00,453.00,480.00,,7.62,,2220181.50
2024-03-05,485.00,485.00,445.20,445.20,,-7.25,,15988616.80
2024-03-06,454.00,463.00,430.00,447.00,,0.4,,19837343.70
2024-03-07,454.00,460.00,442.10,449.00,,0.45,,9992860.60
2024-03-10,457.90,467.00,443.00,448.00,,-0.22,,10096048.00
2024-03-12,450.00,461.00,448.10,455.00,,1.56,,15982398.00
2024-03-13,459.00,484.50,452.10,478.00,,5.05,,30446310.70
2024-03-14,486.80,490.00,474.00,478.90,,0.19,,21917339.50
2024-03-17,470.00,478.00,452.00,464.00,,-3.11,,12217362.90
2024-03-18,468.00,468.00,448.00,457.80,,-1.34,,17515899.10
2024-03-19,465.90,468.00,446.90,455.60,,-0.48,,15904029.00
2024-03-20,446.50,464.00,445.00,452.00,,-0.79,,9984618.50
2024-03-21,443.00,457.00,434.00,436.60,,-3.41,,18060315.90
2024-03-25,430.00,444.00,425.00,441.70,,1.17,,11569506.30
2024-03-26,441.10,457.00,434.00,454.00,,2.78,,11307955.20
2024-03-27,450.00,458.00,441.20,445.00,,-1.98,,5557423.30
2024-03-28,453.00,453.00,438.00,446.00,,0.22,,8192990.50
2024-03-31,438.10,460.00,438.10,454.00,,1.79,,17000120.50
2024-04-01,450.00,459.90,443.20,445.00,,-1.98,,7749586.50
2024-04-02,445.00,449.00,439.00,442.00,,-0.67,,4922619.00
2024-04-03,449.90,449.90,436.10,438.00,,-0.9,,2532115.00
2024-04-04,432.10,439.90,432.10,433.10,,-1.12,,4820252.50
2024-04-07,426.00,445.00,426.00,445.00,,2.75,,6671655.10
2024-04-09,440.20,450.00,440.20,442.00,,-0.67,,6826185.80
2024-04-10,450.00,450.80,437.00,442.00,,0,,10670717.60
2024-04-14,435.10,451.00,435.10,448.00,,1.36,,7851002.00
2024-04-15,439.30,446.00,436.50,438.60,,-2.1,,6457484.40
2024-04-16,433.10,439.90,433.10,439.90,,0.3,,3855722.50
2024-04-18,435.00,435.00,427.10,430.00,,-2.25,,2987272.00
2024-04-21,425.00,445.00,425.00,441.60,,2.7,,3928469.00
2024-04-22,448.90,448.90,430.00,438.50,,-0.7,,4164773.00
2024-04-24,443.70,443.70,427.00,440.00,,0.34,,1358938.90
2024-04-25,440.00,440.00,424.50,430.00,,-2.27,,1911809.50
2024-04-28,426.00,434.50,426.00,434.50,,1.05,,3093659.00
2024-04-29,426.00,435.00,426.00,430.00,,-1.04,,2089308.00
2024-04-30,438.00,444.00,425.00,439.80,,2.28,,7718432.20
2024-05-02,439.00,445.00,431.10,436.90,,-0.66,,9583380.00
2024-05-05,445.60,445.60,434.00,435.10,,-0.41,,10101704.60
2024-05-06,435.00,440.00,429.50,431.00,,-0.94,,4299284.00
2024-05-07,429.50,439.50,429.50,431.60,,0.14,,3746893.90
