Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-08-18,1067.00,1162.70,1067.00,1162.70,,10,,6175193.80
2024-08-21,1185.90,1278.90,1090.00,1099.00,,-5.48,,168408173.50
2024-08-22,1120.00,1120.00,1064.00,1078.00,,-1.91,,39950977.70
2024-08-25,1056.50,1115.00,1025.00,1040.00,,-3.53,,28754854.90
2024-08-27,1024.10,1060.00,998.00,999.90,,-3.86,,20877894.50
2024-08-28,1019.80,1020.00,965.00,965.00,,-3.49,,13336151.80
2024-08-29,956.50,1003.00,945.70,967.00,,0.21,,11770441.50
2024-09-01,986.30,988.00,926.40,926.40,,-4.2,,11640812.10
2024-09-02,926.40,954.50,916.00,954.50,,3.03,,13987096.90
2024-09-03,956.00,1049.00,955.00,1020.00,,6.86,,20173175.90
2024-09-04,1012.00,1072.00,983.00,990.00,,-2.94,,21727368.30
2024-09-05,973.00,1023.00,968.00,992.00,,0.2,,13928195.10
2024-09-08,1011.80,1073.00,1000.00,1009.00,,1.71,,22967470.00
2024-09-09,1029.00,1029.00,980.00,989.00,,-1.98,,8814866.70
2024-09-10,1004.00,1004.00,967.00,967.30,,-2.19,,6230517.70
2024-09-11,967.30,980.00,958.00,975.00,,0.8,,9963993.40
2024-09-12,971.00,986.00,957.10,980.00,,0.51,,9180184.30
2024-09-15,985.00,993.00,951.00,958.00,,-2.24,,6508706.60
2024-09-16,941.00,955.00,922.00,923.00,,-3.65,,7567854.50
2024-09-18,941.00,941.00,905.00,911.10,,-1.29,,6116071.30
2024-09-22,929.00,929.30,897.10,905.00,,-0.67,,4740978.50
2024-09-23,895.00,905.00,882.00,882.50,,-2.49,,4533806.00
2024-09-24,890.00,890.00,852.00,855.00,,-3.12,,6067317.60
2024-09-25,850.00,870.00,842.00,865.00,,1.17,,7012375.40
2024-09-26,865.00,868.00,848.00,848.00,,-1.97,,5095342.80
2024-09-29,864.70,870.00,826.00,852.00,,0.47,,3821529.10
2024-09-30,835.00,871.00,835.00,871.00,,2.23,,2292602.40
2024-10-01,875.00,900.00,871.00,900.00,,3.33,,5536223.70
2024-10-02,902.00,915.00,880.00,888.90,,-1.23,,4477508.90
2024-10-06,875.50,936.00,855.10,920.00,,3.5,,4357092.00
2024-10-07,938.00,970.00,920.30,940.90,,2.27,,7812507.80
2024-10-08,923.00,938.00,900.00,900.00,,-4.35,,3656217.40
2024-10-09,918.00,930.00,882.10,924.00,,2.67,,4722342.60
2024-10-15,910.00,930.00,910.00,928.00,,0.43,,1067099.00
2024-10-16,925.10,997.00,925.00,949.00,,2.26,,4323193.10
2024-10-17,931.00,984.90,931.00,948.00,,-0.11,,7804185.60
2024-10-20,929.10,945.00,910.60,921.10,,-2.84,,4269169.60
2024-10-21,923.00,935.00,896.00,900.00,,-2.29,,3694434.20
2024-10-22,890.00,928.20,890.00,911.00,,1.22,,3986650.60
2024-10-23,929.20,929.20,902.30,910.00,,-0.11,,3087879.20
2024-10-24,928.20,928.20,895.10,899.00,,-1.21,,5028378.40
2024-10-27,900.00,912.00,887.10,912.00,,1.45,,4880770.30
2024-10-28,928.00,928.00,901.60,904.50,,-0.82,,945716.60
2024-10-29,920.00,932.00,907.00,917.00,,1.38,,4039549.70
2024-10-30,917.00,936.00,917.00,923.00,,0.65,,3640640.90
2024-11-05,934.90,935.00,916.40,929.00,,0.65,,1279498.50
2024-11-06,929.00,942.00,921.10,925.00,,-0.43,,1729224.60
2024-11-10,925.00,948.70,918.00,945.00,,2.16,,5061785.30
2024-11-11,926.10,1006.00,926.10,969.00,,2.54,,21521204.60
2024-11-12,975.00,988.50,955.00,955.50,,-1.39,,4299402.90
