Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-10-29,350.00,350.00,315.00,315.00,,0,,2048915.30
2023-10-30,308.70,308.70,283.50,283.50,,-10,,3279301.50
2023-10-31,277.90,277.90,255.20,255.20,,-9.98,,6411443.80
2023-11-01,250.10,250.10,230.00,234.80,,-7.99,,146002225.10
2023-11-02,230.20,244.00,230.20,244.00,,3.92,,44968907.90
2023-11-05,244.00,244.00,230.00,237.00,,-2.87,,28198394.60
2023-11-06,232.30,255.00,232.30,244.10,,3,,56203116.80
2023-11-07,248.40,260.00,244.00,257.00,,5.28,,59283991.50
2023-11-08,258.00,275.40,252.20,273.00,,6.23,,56141984.00
2023-11-09,273.00,273.00,258.90,259.00,,-5.13,,77086673.40
2023-11-20,253.90,268.00,253.90,263.90,,1.89,,58878560.70
2023-11-21,259.00,265.60,255.50,260.50,,-1.29,,43925924.40
2023-11-22,260.00,285.00,257.40,283.00,,8.64,,107603983.00
2023-11-23,279.00,294.20,274.00,287.90,,1.73,,95800169.40
2023-11-26,287.90,299.00,280.00,293.30,,1.88,,116667260.00
2023-11-27,290.00,298.00,285.10,288.00,,-1.81,,77763585.50
2023-11-28,288.00,306.00,285.10,301.20,,4.58,,84998864.10
2023-11-29,301.20,312.10,295.10,295.50,,-1.89,,77686776.70
2023-11-30,295.00,302.50,291.10,293.00,,-0.85,,80049401.80
2023-12-03,297.00,300.00,288.00,295.00,,0.68,,69529270.30
2023-12-04,293.00,304.50,290.30,300.20,,1.76,,74631723.40
2023-12-05,302.00,305.00,292.50,293.50,,-2.23,,54168743.40
2023-12-06,287.70,296.10,287.70,291.00,,-0.85,,31206829.70
2023-12-07,288.10,304.00,288.10,297.00,,2.06,,92761368.70
2023-12-10,302.90,320.00,302.90,318.00,,7.07,,35809952.80
2023-12-11,320.00,339.90,310.00,328.00,,3.14,,251560607.40
2023-12-12,328.00,360.80,328.00,360.80,,10,,151029184.80
2023-12-13,368.00,381.90,353.00,359.00,,-0.5,,146793156.30
2023-12-14,359.00,373.30,347.00,361.80,,0.78,,160478431.00
2023-12-17,354.60,386.00,348.00,383.00,,5.86,,166556737.20
2023-12-18,390.60,407.00,377.20,394.00,,2.87,,202846214.40
2023-12-19,390.00,433.40,390.00,433.40,,10,,167142755.40
2023-12-20,440.00,476.70,440.00,476.70,,9.99,,201524391.80
2023-12-21,486.20,493.10,451.40,461.00,,-3.29,,254769524.00
2023-12-24,470.20,479.00,430.00,433.00,,-6.07,,281945700.00
2023-12-27,435.00,450.00,399.00,415.10,,-4.13,,196664793.10
2023-12-28,415.10,455.90,409.00,454.10,,9.4,,143837365.40
2024-01-01,463.10,470.00,443.00,456.00,,0.42,,201223136.00
2024-01-02,456.00,458.00,437.10,439.00,,-3.73,,128937605.60
2024-01-03,439.00,482.90,438.00,482.90,,10,,266391416.30
2024-01-04,492.00,529.50,490.00,508.00,,5.2,,334515645.50
2024-01-07,518.10,518.10,496.00,498.80,,-1.81,,280056404.10
2024-01-08,496.10,519.00,496.00,506.00,,1.44,,218482880.80
2024-01-09,507.00,516.30,490.10,493.00,,-2.57,,214945893.90
2024-01-10,502.00,530.00,496.00,527.00,,6.9,,327891613.30
2024-01-11,527.30,540.00,523.00,527.00,,-0.06,,168020994.90
2024-01-14,527.00,545.00,522.30,539.00,,2.28,,240312256.20
2024-01-16,545.00,575.00,536.00,554.00,,2.78,,283155802.40
2024-01-17,555.00,565.00,529.20,532.00,,-3.97,,298210092.90
2024-01-18,521.40,521.40,485.00,506.80,,-4.74,,301880434.30
2024-01-21,507.00,507.70,480.00,482.00,,-4.89,,198866544.00
2024-01-22,473.00,493.00,465.00,466.00,,-3.32,,133081404.70
2024-01-23,457.00,494.70,457.00,485.00,,4.08,,106750634.60
2024-01-24,478.00,498.00,469.10,469.20,,-3.26,,82686673.50
2024-01-25,460.00,480.00,460.00,468.90,,-0.06,,69614000.30
2024-01-28,468.00,498.00,461.00,483.00,,3.01,,77756230.50
2024-01-29,483.00,494.00,479.10,480.00,,-0.62,,83984367.60
2024-01-30,480.00,494.00,475.10,483.10,,0.65,,92816592.00
2024-01-31,485.00,489.50,467.80,472.00,,-2.3,,67562957.40
2024-02-01,472.00,473.00,460.80,462.50,,-2.01,,76207892.00
2024-02-04,462.00,467.90,453.60,456.00,,-1.41,,70405416.10
2024-02-05,460.00,466.00,455.90,458.00,,0.44,,46174001.90
2024-02-06,458.00,474.30,457.00,472.30,,3.12,,54185771.40
2024-02-07,472.30,485.00,471.00,478.00,,1.21,,58665097.10
2024-02-08,478.00,482.50,471.40,475.00,,-0.63,,48122928.90
2024-02-11,467.20,482.00,464.00,465.00,,-2.11,,63006503.20
2024-02-12,455.70,465.00,448.90,456.50,,-1.83,,102711728.90
2024-02-13,456.50,460.00,438.60,440.20,,-3.57,,119295585.00
2024-02-14,436.00,449.50,434.00,442.00,,0.41,,51045499.50
2024-02-15,442.00,455.00,436.70,442.00,,0,,56708663.50
2024-02-18,440.00,442.00,427.00,427.10,,-3.37,,58002260.50
2024-02-20,420.00,437.50,420.00,430.20,,0.73,,45520700.50
2024-02-21,430.00,438.00,424.00,424.10,,-1.42,,28097972.00
2024-02-22,432.50,432.90,416.50,418.50,,-1.32,,49673348.10
2024-02-25,422.00,424.80,407.00,408.00,,-2.51,,45160457.20
2024-02-26,408.00,440.00,406.10,438.00,,7.35,,97180229.60
2024-02-27,446.70,463.00,439.00,451.50,,3.08,,141962690.70
2024-02-28,450.00,469.00,444.10,458.50,,1.55,,126965554.30
2024-02-29,458.00,465.50,440.00,440.00,,-4.03,,111310346.10
2024-03-03,435.10,460.00,435.10,452.00,,2.73,,132049540.40
2024-03-04,461.00,493.00,461.00,490.00,,8.41,,45033239.90
2024-03-05,490.00,508.00,470.60,493.80,,0.78,,419122735.40
2024-03-06,500.00,519.50,491.00,514.00,,4.09,,333778807.00
2024-03-07,520.00,524.20,504.00,506.00,,-1.56,,134142448.10
2024-03-10,509.00,519.00,502.00,507.40,,0.28,,181392713.10
2024-03-12,517.50,532.00,511.00,526.90,,3.84,,240962323.90
