Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-11-25,296.30,320.50,296.30,320.50,,8.17,,17539.10
2021-11-28,326.90,346.80,326.90,346.80,,8.21,,23677.20
2021-11-29,346.80,381.40,346.80,381.40,,9.98,,24651.70
2021-11-30,389.00,419.50,389.00,419.50,,9.99,,28476.00
2021-12-01,427.80,461.40,427.80,461.40,,9.99,,72941.20
2021-12-02,470.60,507.50,470.60,507.50,,9.99,,354345.00
2021-12-05,517.00,558.20,471.00,500.00,,-1.48,,17873241.70
2021-12-06,510.00,510.00,455.00,500.00,,0,,5089838.00
2021-12-07,510.00,519.00,471.60,475.00,,-5,,3065806.00
2021-12-08,467.00,467.00,427.50,441.00,,-7.16,,3584326.00
2021-12-09,432.30,440.00,418.50,425.00,,-3.63,,2286022.40
2021-12-12,415.00,415.00,393.00,393.00,,-7.53,,2210806.00
2021-12-13,386.00,386.00,354.00,367.00,,-6.62,,947056.00
2021-12-14,369.00,403.70,369.00,403.70,,10,,1036305.00
2021-12-15,411.70,444.00,406.80,444.00,,9.98,,4164791.00
2021-12-16,452.80,478.00,413.00,433.20,,-2.43,,1838720.00
2021-12-20,431.00,433.00,403.00,426.80,,-1.48,,1362389.00
2021-12-21,420.00,434.00,416.00,425.00,,-0.42,,1231881.00
2021-12-22,425.00,458.00,425.00,458.00,,7.76,,1290767.00
2021-12-23,448.90,483.90,432.00,436.00,,-4.8,,1358852.00
2021-12-26,428.00,469.20,425.00,469.20,,7.61,,3143846.00
2021-12-27,460.00,500.00,437.00,497.00,,5.92,,2754088.60
2021-12-28,488.00,488.00,452.00,467.00,,-6.04,,805222.00
2021-12-29,457.70,457.70,442.00,457.00,,-2.14,,996022.80
2022-01-02,448.00,456.00,436.10,450.00,,-1.53,,2475728.00
2022-01-03,444.00,452.80,431.20,444.00,,-1.33,,1171428.00
2022-01-04,440.00,450.00,438.10,440.00,,-0.9,,1238350.00
2022-01-05,433.00,461.00,433.00,449.00,,2.05,,2746149.00
2022-01-06,441.00,460.00,433.20,460.00,,2.45,,1934114.00
2022-01-09,460.10,478.00,459.00,477.00,,3.7,,2989245.50
2022-01-10,478.00,487.50,460.60,482.50,,1.15,,2630780.00
2022-01-11,483.00,494.00,473.00,490.00,,1.55,,2044088.00
2022-01-12,490.00,529.00,481.30,516.00,,5.31,,7664193.00
2022-01-13,522.90,530.00,506.00,526.00,,1.94,,3462993.00
2022-01-16,526.00,560.00,526.00,554.00,,5.32,,6725697.50
2022-01-17,545.00,593.00,545.00,593.00,,7.04,,9566105.50
2022-01-18,590.00,649.30,584.00,649.30,,9.49,,10873677.80
2022-01-19,640.00,714.00,615.00,714.00,,9.96,,11071333.50
2022-01-20,700.00,745.00,672.30,732.00,,2.52,,14017860.00
2022-01-23,735.00,735.00,670.00,683.00,,-6.69,,20919563.10
2022-01-24,669.40,669.40,625.00,636.00,,-6.88,,9651623.20
2022-01-25,624.00,661.60,613.00,661.60,,4.03,,4212254.00
2022-01-26,648.40,663.00,632.30,663.00,,0.21,,4243178.20
2022-01-27,649.80,703.00,640.00,660.00,,-0.45,,6941802.80
2022-01-30,673.20,694.00,661.00,693.00,,5,,5616889.70
2022-01-31,690.00,690.00,670.00,679.00,,-2.02,,2111231.00
2022-02-01,679.00,684.00,665.50,679.00,,0,,3904036.50
2022-02-03,669.00,692.00,669.00,676.00,,-0.44,,7921640.00
2022-02-06,663.00,682.00,655.10,678.90,,0.43,,3717191.30
2022-02-07,665.40,689.90,652.20,670.00,,-1.31,,3790817.80
2022-02-08,670.00,694.00,644.10,655.00,,-2.24,,3356765.00
2022-02-09,642.10,655.00,631.00,637.10,,-2.73,,1592647.00
2022-02-10,635.00,687.00,613.00,630.00,,-1.11,,2286474.10
2022-02-13,617.40,618.00,586.10,586.10,,-6.97,,2169353.00
2022-02-14,586.10,606.00,581.00,586.10,,0,,1353585.80
2022-02-15,575.00,624.00,575.00,617.00,,5.27,,1223550.00
2022-02-16,611.00,633.40,586.90,630.00,,2.11,,1901853.00
2022-02-17,617.40,672.00,601.00,656.00,,4.13,,9906199.00
2022-02-20,642.90,707.90,618.40,699.00,,6.55,,22398382.50
2022-02-21,705.00,757.00,672.30,728.00,,4.15,,17022644.80
2022-02-22,713.50,792.00,713.50,790.00,,8.52,,15907197.60
2022-02-23,774.20,845.50,759.00,844.00,,6.84,,14294637.80
2022-02-24,827.20,827.20,781.00,819.90,,-2.86,,14293150.80
2022-02-27,803.60,819.70,783.00,790.00,,-3.65,,16597878.00
2022-02-28,790.00,790.00,711.00,711.00,,-10,,19896541.60
2022-03-02,696.80,725.00,656.00,670.00,,-5.77,,7950074.30
2022-03-06,656.60,709.50,656.60,700.00,,4.48,,18150112.50
