Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-06-04,236.00,236.00,231.40,233.80,,-0.93,,3949706.70
2024-06-05,230.40,234.00,229.00,231.90,,-0.81,,5911171.70
2024-06-06,229.00,231.90,227.80,230.00,,-0.82,,2682465.60
2024-06-09,230.00,244.00,228.70,242.00,,5.22,,12744126.40
2024-06-10,238.00,247.00,238.00,243.50,,0.62,,21038311.20
2024-06-11,240.00,256.70,240.00,251.00,,3.08,,31995435.20
2024-06-12,255.90,258.00,247.00,249.90,,-0.44,,30826041.50
2024-06-13,254.00,254.00,245.50,252.00,,0.84,,19820618.50
2024-06-16,256.00,259.90,250.00,252.00,,0,,24868792.20
2024-06-18,247.00,253.00,244.00,247.00,,-1.98,,11749912.00
2024-06-19,244.00,255.00,244.00,250.00,,1.21,,13249863.40
2024-06-20,245.00,269.00,245.00,258.90,,3.56,,12331816.60
2024-06-23,253.80,268.00,240.00,249.60,,-3.59,,18747265.80
2024-06-24,245.00,254.50,242.10,245.00,,-1.84,,8600422.30
2024-06-25,243.00,247.80,241.50,242.00,,-1.22,,7100545.70
2024-06-26,246.60,246.60,237.40,237.40,,-1.9,,7594779.00
2024-06-27,232.80,242.30,232.80,238.50,,0.46,,5452125.80
2024-06-30,235.00,241.00,230.50,235.00,,-1.47,,9550653.20
2024-07-01,237.60,238.00,232.00,234.00,,-0.43,,4710421.20
2024-07-02,238.60,256.80,238.00,240.00,,2.56,,9959184.50
2024-07-03,238.00,242.70,235.00,241.00,,0.42,,4830502.10
2024-07-04,244.90,245.80,235.20,237.00,,-1.66,,16195054.00
2024-07-07,241.00,241.90,236.00,239.00,,0.84,,9579130.20
2024-07-08,242.00,242.00,236.10,236.50,,-1.05,,3146294.00
2024-07-09,239.30,242.00,235.00,240.00,,1.48,,9012861.00
2024-07-10,239.10,245.00,239.00,241.00,,0.42,,17537901.00
2024-07-11,244.70,253.90,241.10,253.90,,5.35,,21104640.60
2024-07-14,258.00,264.00,250.00,259.00,,2.01,,14841405.40
2024-07-15,264.10,264.10,252.50,254.90,,-1.58,,18795565.60
2024-07-16,259.90,274.90,252.00,273.00,,7.1,,62939407.50
2024-07-17,273.00,285.00,272.00,279.00,,2.2,,68997029.50
2024-07-18,280.00,284.90,271.00,274.00,,-1.79,,46347858.90
2024-07-21,274.00,294.00,270.00,285.00,,4.01,,62282053.20
2024-07-22,285.00,299.50,284.00,297.90,,4.53,,86270907.90
2024-07-23,300.00,310.00,294.00,310.00,,4.06,,90875971.70
2024-07-24,316.20,316.20,294.00,299.10,,-3.52,,56036499.70
2024-07-25,295.00,303.00,288.20,295.30,,-1.27,,48627963.46
2024-07-28,300.00,313.00,291.00,298.90,,1.22,,52160163.30
2024-07-29,300.00,312.00,294.10,307.00,,2.71,,98912780.30
2024-07-30,307.00,334.00,304.00,332.00,,8.14,,103977118.70
2024-07-31,336.00,364.10,336.00,343.00,,3.31,,106150849.80
2024-08-01,340.50,345.00,323.00,324.40,,-5.42,,110246453.50
2024-08-05,324.00,340.00,318.00,334.00,,2.96,,94307012.70
2024-08-06,330.00,346.80,305.10,308.00,,-7.78,,97101621.00
2024-08-07,310.00,329.80,309.00,328.00,,6.49,,50265092.20
2024-08-08,334.30,336.50,320.00,321.00,,-2.13,,66731250.90
2024-08-11,327.40,343.60,327.00,339.80,,5.86,,93458280.30
2024-08-12,346.50,358.00,338.10,358.00,,5.36,,116030324.10
2024-08-13,365.00,365.10,340.00,350.00,,-2.23,,75533242.00
2024-08-14,357.00,359.80,338.00,356.10,,1.74,,74871627.10
2024-08-15,363.00,389.00,355.00,373.00,,4.75,,174643732.20
2024-08-18,375.00,380.00,343.10,354.00,,-5.09,,109360917.30
2024-08-21,360.90,368.00,350.00,358.00,,1.13,,65373660.90
2024-08-22,363.90,365.00,350.00,364.00,,1.68,,58974658.60
2024-08-25,365.00,365.00,344.00,346.00,,-4.95,,58339833.10
2024-08-27,340.10,349.00,320.00,323.00,,-6.65,,59144281.20
2024-08-28,329.00,338.70,318.60,323.00,,0,,89020484.20
2024-08-29,329.40,330.00,316.70,320.00,,-0.93,,47008350.00
2024-09-01,326.00,326.00,309.00,313.00,,-2.19,,40138686.20
2024-09-02,315.00,332.00,309.00,330.00,,5.43,,41731142.00
2024-09-03,335.00,338.50,322.50,332.00,,0.61,,56994631.60
2024-09-04,330.00,334.90,315.10,320.00,,-3.61,,53455675.30
2024-09-05,313.70,321.00,310.00,316.00,,-1.25,,26334054.00
2024-09-08,322.00,322.30,310.00,313.00,,-0.95,,25586565.30
2024-09-09,308.50,313.00,302.10,305.00,,-2.56,,23405749.20
2024-09-10,310.00,316.00,298.10,299.00,,-1.97,,21408410.00
2024-09-11,296.00,312.00,291.10,293.00,,-2.01,,15372283.00
2024-09-12,293.00,310.00,291.00,307.00,,4.78,,21189082.70
2024-09-15,309.00,313.50,296.00,300.00,,-2.28,,39538713.70
2024-09-16,294.00,300.00,291.00,293.00,,-2.33,,15624806.90
2024-09-18,298.80,298.80,289.00,291.30,,-0.58,,15980875.30
2024-09-22,297.10,300.00,288.00,292.00,,0.24,,5592038.00
2024-09-23,290.00,290.00,280.00,280.70,,-3.87,,15915510.60
2024-09-24,280.00,285.00,260.00,262.10,,-6.63,,16542497.70
2024-09-25,267.30,282.50,260.00,282.50,,7.78,,23578544.00
2024-09-26,282.00,286.50,266.60,270.00,,-4.42,,16933148.40
2024-09-29,269.00,273.00,262.00,265.00,,-1.85,,9946938.00
2024-09-30,266.10,275.00,266.00,274.90,,3.74,,11057056.10
2024-10-01,279.90,298.00,275.00,297.00,,8.04,,32168813.40
2024-10-02,292.00,301.00,285.40,295.00,,-0.67,,28552746.70
2024-10-06,295.00,319.00,289.30,319.00,,8.14,,27529697.80
2024-10-07,319.00,323.90,313.00,313.00,,-1.88,,27887510.80
2024-10-08,309.00,313.20,303.00,303.10,,-3.16,,20796522.20
2024-10-09,304.00,309.00,301.00,305.00,,0.63,,20467734.40
2024-10-15,311.10,316.20,304.50,306.20,,0.39,,3791901.20
2024-10-16,312.30,315.00,310.70,311.10,,1.6,,9550462.30
2024-10-17,315.00,319.00,307.00,310.00,,-0.35,,25538270.00
2024-10-20,305.00,317.10,304.00,308.90,,-0.35,,53345765.46
2024-10-21,304.00,310.90,298.00,299.90,,-2.91,,20097453.40
2024-10-22,296.00,309.00,295.00,305.00,,1.7,,9121644.30
2024-10-23,310.00,311.00,302.00,310.00,,1.64,,23707029.70
2024-10-24,310.00,310.00,304.00,310.00,,0,,14719024.00
2024-10-27,310.00,310.90,306.50,310.00,,0,,18633353.10
2024-10-28,307.00,317.00,307.00,315.80,,1.87,,41415088.50
2024-10-29,316.50,322.00,315.20,317.90,,0.66,,55816464.50
2024-10-30,324.20,326.00,314.00,319.00,,0.35,,29878116.50
2024-11-05,320.00,324.00,316.00,318.00,,-0.31,,25378537.60
2024-11-06,324.30,335.00,317.00,334.00,,5.03,,99700711.90
2024-11-10,340.60,344.00,334.00,340.00,,1.8,,57707495.20
2024-11-11,335.00,343.00,322.60,328.10,,-3.5,,98975291.00
2024-11-12,327.20,333.70,323.00,325.00,,-0.94,,25744677.40
2024-11-13,325.10,328.50,321.00,325.00,,0,,18704314.30
2024-11-14,325.00,338.00,322.00,334.00,,2.77,,51965422.70
2024-11-17,340.00,347.00,329.00,329.00,,-1.5,,51775911.20
2024-11-19,330.00,330.00,314.10,316.00,,-3.95,,43217652.50
2024-11-20,319.80,322.50,316.00,318.90,,0.92,,22201994.80
2024-11-21,324.00,325.00,312.90,312.90,,-1.88,,21979821.90
2024-11-24,316.00,317.00,307.70,308.00,,-1.57,,14056066.40
2024-11-25,314.00,314.00,308.10,309.10,,0.36,,15621005.00
2024-11-26,315.00,321.00,310.20,318.30,,2.98,,16847819.20
2024-11-27,324.60,328.50,319.00,327.90,,3.02,,20813244.50
2024-11-28,334.40,334.40,320.00,322.70,,-1.59,,17139771.70
2024-12-01,323.00,324.30,308.00,319.90,,-0.87,,23114618.20
2024-12-02,324.90,331.00,320.00,320.00,,0.03,,28501229.60
2024-12-03,326.00,329.10,320.00,323.00,,0.94,,20848445.00
2024-12-04,327.90,340.00,320.00,332.50,,2.94,,83322000.20
2024-12-05,338.00,338.00,323.40,326.00,,-1.95,,58256835.00
2024-12-08,329.80,331.00,318.00,323.00,,-0.92,,29486951.40
2024-12-09,329.40,329.40,323.00,325.40,,0.74,,19694961.60
2024-12-10,321.00,328.90,321.00,323.20,,-0.68,,14371939.10
2024-12-11,317.10,337.10,317.10,334.10,,3.37,,52760441.30
2024-12-12,337.00,343.20,332.00,334.90,,0.24,,58861029.30
2024-12-16,330.00,332.50,323.10,324.40,,-3.14,,30734425.50
2024-12-17,320.00,330.60,309.00,324.00,,-0.12,,19101787.60
2024-12-18,320.10,327.70,320.10,323.50,,-0.15,,17763164.40
2024-12-19,329.90,329.90,317.00,317.10,,-1.98,,28098933.80
2024-12-22,311.00,329.00,311.00,317.00,,-0.03,,16436347.50
2024-12-23,323.00,329.00,318.50,325.90,,2.81,,15813224.70
2024-12-24,332.40,334.00,325.80,334.00,,2.49,,34025121.40
2024-12-26,334.00,334.00,327.00,330.00,,-1.2,,24927391.40
2024-12-29,335.00,335.00,320.30,322.90,,-2.15,,15581364.70
2024-12-31,319.00,321.00,311.60,316.00,,-2.14,,15172310.40
2025-01-01,320.10,323.00,317.50,319.10,,0.98,,6840165.90
