Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-10-17,194.80,214.20,194.80,214.20,,0,,202785.00
2022-10-19,218.40,235.60,218.40,235.60,,9.99,,972922.80
2022-10-20,240.30,259.10,240.30,259.10,,9.97,,1085641.40
2022-10-23,264.20,285.00,264.20,285.00,,10,,406202.00
2022-10-31,290.70,313.50,290.70,313.50,,10,,2904644.50
2022-11-01,319.70,326.00,284.20,312.00,,-0.48,,7741304.10
2022-11-02,318.20,324.00,301.00,314.90,,0.93,,2744784.00
2022-11-03,313.00,314.00,302.00,310.00,,-1.56,,857149.00
2022-11-06,303.80,316.00,300.00,314.90,,1.58,,1081365.00
2022-11-07,309.00,320.50,307.30,310.80,,-1.3,,1183644.00
2022-11-08,304.70,310.00,301.30,310.00,,-0.26,,1269395.80
2022-11-09,304.10,307.50,296.10,305.00,,-1.61,,709359.00
2022-11-10,299.00,305.00,296.00,302.90,,-0.69,,813470.00
2022-11-13,296.90,305.00,291.10,299.90,,-0.99,,14875.00
2022-11-14,294.00,306.50,290.30,300.10,,0.07,,2940.00
2022-11-15,300.00,312.10,290.20,306.10,,2,,109486.00
2022-11-16,312.20,316.20,300.90,316.20,,3.3,,1665368.00
2022-11-17,322.00,347.80,316.00,347.80,,9.99,,2544983.00
2022-11-22,354.70,382.50,341.00,361.00,,3.8,,4528371.10
2022-11-23,362.00,365.00,347.60,365.00,,1.11,,3522782.40
2022-11-24,365.00,375.30,357.00,375.30,,2.82,,1197333.00
2022-11-27,367.80,376.00,362.00,376.00,,0.19,,1400369.50
2022-11-28,381.00,381.00,362.60,363.00,,-3.46,,1067119.00
2022-11-29,356.00,370.00,356.00,367.00,,1.1,,480632.00
2022-11-30,360.00,364.00,355.00,364.00,,-0.82,,678428.00
2022-12-01,364.00,371.20,355.00,355.00,,-2.47,,1442469.00
2022-12-04,350.00,378.70,350.00,353.00,,-0.56,,2030483.00
2022-12-05,347.10,365.00,347.10,364.00,,3.12,,923079.50
2022-12-06,360.00,362.00,354.00,356.00,,-2.2,,481712.00
2022-12-07,350.60,359.10,350.60,359.00,,0.84,,1079125.00
2022-12-11,351.90,362.00,346.00,350.00,,-2.51,,951752.00
2022-12-12,343.00,357.00,343.00,352.00,,0.57,,557031.00
2022-12-13,345.10,352.00,345.10,350.00,,-0.57,,271766.00
2022-12-14,345.00,362.00,345.00,358.00,,2.29,,934690.00
2022-12-15,358.00,361.00,344.30,350.00,,-2.23,,1323703.50
2022-12-18,343.10,350.00,335.00,349.00,,-0.29,,790657.50
2022-12-19,342.10,347.00,335.30,347.00,,-0.57,,584011.00
2022-12-20,340.10,350.00,336.00,349.90,,0.84,,469070.00
2022-12-21,353.90,353.90,335.00,339.90,,-2.86,,848726.00
2022-12-22,333.60,373.80,333.60,358.00,,5.33,,1055405.50
2022-12-26,350.90,365.00,346.00,364.00,,1.68,,1092960.00
2022-12-27,370.00,371.20,350.20,365.00,,0.27,,3545705.80
2022-12-28,365.00,365.00,350.00,359.00,,-1.64,,1090746.00
2022-12-29,352.00,373.00,345.00,372.00,,3.62,,1842340.50
2023-01-01,371.00,390.00,360.00,369.00,,-0.81,,2895679.00
2023-01-02,361.70,383.50,360.00,375.00,,1.63,,799948.00
2023-01-03,382.50,385.00,366.10,378.00,,0.8,,4487503.20
