Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-04-04,638.00,638.00,573.90,573.90,,-8.03,,28692878.10
2023-04-05,573.90,573.90,551.00,559.00,,-2.6,,12904339.10
2023-04-06,559.00,568.90,550.90,566.00,,1.25,,8287706.20
2023-04-09,554.80,555.00,546.00,550.00,,-2.83,,25349241.20
2023-04-10,560.00,561.00,542.00,542.00,,-1.45,,4007605.00
2023-04-11,542.00,549.90,534.00,548.00,,1.11,,11039179.40
2023-04-12,555.00,575.00,555.00,575.00,,4.93,,24616557.00
2023-04-13,585.00,587.00,560.00,569.00,,-1.04,,6938361.60
2023-04-16,577.50,577.50,550.10,557.00,,-2.11,,10864569.70
2023-04-17,552.40,558.00,552.10,553.00,,-0.72,,5461587.80
2023-04-18,554.00,561.90,550.10,558.80,,1.05,,8715550.90
2023-04-19,560.00,571.00,555.00,571.00,,2.18,,8264714.50
2023-04-20,577.90,585.00,571.00,579.00,,1.4,,16622133.40
2023-04-23,570.00,579.00,570.00,572.10,,-1.19,,2952696.10
2023-04-24,570.00,577.00,563.00,576.00,,0.68,,2536954.50
2023-04-25,576.00,606.00,566.80,602.00,,4.51,,20744455.50
2023-04-26,612.90,612.90,590.00,590.00,,-1.99,,11964524.30
2023-04-27,587.30,613.80,578.50,594.00,,0.68,,6528905.60
2023-04-30,585.00,594.00,575.00,594.00,,0,,7274570.50
2023-05-02,582.20,585.00,575.10,580.00,,-2.36,,1248798.50
2023-05-03,580.00,580.00,568.50,570.00,,-1.72,,6244039.40
2023-05-04,570.10,579.00,565.00,573.00,,0.53,,3070595.50
2023-05-07,565.10,571.00,565.10,568.50,,-0.79,,2405555.10
2023-05-08,568.00,570.00,562.20,569.00,,0.09,,7751230.10
2023-05-09,558.10,580.30,558.10,569.00,,0,,1898378.30
2023-05-10,579.90,579.90,564.00,577.80,,1.55,,7925370.60
2023-05-11,589.00,589.00,568.00,575.00,,-0.48,,8116471.60
2023-05-14,586.00,586.00,564.00,567.60,,-1.29,,3419723.60
2023-05-15,570.00,570.00,561.00,563.00,,-0.81,,7573062.70
2023-05-16,563.00,570.00,552.10,569.00,,1.07,,4157414.40
2023-05-17,569.00,604.00,565.00,603.90,,6.13,,8662478.20
2023-05-18,614.00,615.00,587.00,603.10,,-0.13,,8275036.50
2023-05-21,602.00,614.90,597.00,614.00,,1.81,,16054464.30
2023-05-22,619.00,630.00,598.00,622.00,,1.3,,10631609.30
2023-05-23,633.00,644.00,621.50,644.00,,3.54,,13893611.00
2023-05-24,644.00,669.00,637.00,668.00,,3.73,,24766300.60
2023-05-28,668.00,672.00,641.00,653.00,,-2.25,,15647931.80
2023-05-30,640.00,643.00,621.00,622.90,,-4.61,,20929434.80
2023-05-31,610.50,634.00,598.30,606.00,,-2.71,,13560400.20
2023-06-01,609.00,620.00,597.20,614.90,,1.47,,14778108.70
2023-06-04,627.00,649.90,625.00,647.00,,5.22,,11390427.70
2023-06-05,647.00,649.00,635.30,637.00,,-1.55,,27447702.10
2023-06-06,635.10,688.00,635.10,687.00,,7.85,,40853219.30
2023-06-07,674.00,705.00,673.20,680.40,,-0.96,,26737648.40
2023-06-08,684.00,730.00,678.00,715.00,,5.09,,96313509.70
2023-06-11,728.00,728.00,708.00,723.00,,1.12,,34131158.70
2023-06-12,729.00,758.30,703.00,758.00,,4.84,,50483048.80
2023-06-13,743.00,805.00,729.00,760.00,,0.26,,55767926.70
2023-06-14,760.00,769.90,742.90,767.00,,0.92,,60661816.90
2023-06-15,751.70,775.00,751.70,773.50,,0.85,,34977322.00
2023-06-18,775.00,805.00,768.00,804.50,,4.01,,58879794.50
2023-06-19,800.00,801.00,766.00,766.00,,-4.79,,30233299.50
2023-06-20,781.30,781.30,744.00,744.00,,-2.87,,25598782.40
2023-06-21,740.00,780.00,720.00,745.10,,0.15,,26780247.00
2023-06-22,733.00,774.80,733.00,765.00,,2.67,,30155090.70
2023-06-25,775.00,809.90,775.00,799.80,,4.55,,75150333.90
