Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-05-21,399.70,414.00,399.70,404.80,,3.3,,17758873.50
2023-05-22,397.00,412.50,396.90,412.00,,1.78,,8149873.20
2023-05-23,404.00,431.90,404.00,430.00,,4.37,,10516708.20
2023-05-24,430.00,438.60,422.00,432.00,,0.47,,11251072.00
2023-05-28,432.00,440.00,415.00,415.00,,-3.94,,13100101.60
2023-05-30,415.00,415.90,402.00,402.10,,-3.11,,10673452.20
2023-05-31,400.00,410.00,389.00,390.10,,-2.98,,6208803.90
2023-06-01,390.10,404.90,390.00,397.70,,1.95,,6962964.90
2023-06-04,395.00,421.90,395.00,414.00,,4.1,,8316558.10
2023-06-05,410.00,423.40,407.80,423.40,,1.93,,14457402.40
2023-06-06,415.00,438.00,410.10,433.00,,2.27,,15936414.20
2023-06-07,433.00,445.00,427.00,435.00,,0.46,,17845098.10
2023-06-08,435.00,472.00,430.00,451.00,,3.68,,37174569.40
2023-06-11,460.00,496.00,453.00,483.00,,7.1,,47230785.80
2023-06-12,485.00,492.00,476.50,485.00,,0.41,,22283832.10
2023-06-13,475.30,511.80,475.10,495.00,,2.06,,44062062.00
2023-06-14,494.00,512.00,488.00,500.00,,1.01,,52930954.60
2023-06-15,490.00,532.60,490.00,529.00,,5.8,,41778901.00
2023-06-18,529.00,560.60,527.00,560.00,,5.86,,61371848.40
2023-06-19,571.20,571.20,534.30,551.00,,-1.61,,66143138.20
2023-06-20,550.00,560.00,530.00,531.00,,-3.63,,31557547.50
2023-06-21,520.50,549.00,520.50,535.00,,0.75,,33276175.80
2023-06-22,540.00,555.00,530.00,550.00,,2.8,,53314221.30
2023-06-25,555.00,598.20,555.00,598.20,,8.76,,100027792.10
2023-06-26,610.10,619.90,581.00,581.10,,-2.86,,58069152.00
2023-06-27,581.00,603.00,570.00,575.00,,-1.05,,42408989.90
2023-06-28,575.00,602.00,566.00,588.00,,2.26,,62075721.00
2023-07-02,588.00,608.00,577.10,590.00,,0.34,,77055214.70
2023-07-03,578.30,598.00,574.00,579.00,,-1.86,,37228443.70
2023-07-04,580.00,585.00,563.00,575.90,,-0.54,,27023641.50
2023-07-05,565.00,580.00,548.00,554.00,,-3.8,,35416677.70
2023-07-06,550.00,560.00,538.00,547.90,,-1.1,,26024080.60
2023-07-09,540.00,568.00,540.00,568.00,,3.67,,28344593.60
2023-07-10,568.00,584.00,560.00,570.00,,0.35,,26942050.80
2023-07-11,560.00,570.50,558.00,570.00,,0,,15926283.90
2023-07-12,560.10,570.00,560.10,567.90,,-0.37,,22618074.50
2023-07-13,568.00,578.00,552.30,552.50,,-2.71,,22310289.20
2023-07-16,548.00,563.00,548.00,556.00,,0.63,,11697834.80
2023-07-17,550.00,575.00,548.00,570.20,,2.55,,20135864.80
