Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-11-20,204.00,208.00,208.00,208.00,,1.96,,137904.00
2015-03-02,212.00,224.00,216.00,224.00,,5.66,,49160.00
2015-03-04,235.00,235.00,235.00,235.00,,4.91,,333700.00
2015-04-23,214.00,210.00,210.00,210.00,,-1.87,,4468590.00
2015-05-25,220.00,220.00,220.00,220.00,,4.76,,1199220.00
2015-07-22,224.00,224.00,224.00,224.00,,1.82,,3259872.00
2015-09-03,228.00,228.00,228.00,228.00,,1.79,,833112.00
2015-09-29,232.00,236.00,232.00,236.00,,3.51,,1000736.00
2016-06-28,205.00,215.00,215.00,215.00,,4.88,,96750.00
2016-11-21,219.00,223.00,219.00,223.00,,3.72,,266445.00
2016-12-21,227.00,231.00,227.00,231.00,,3.59,,8507.00
2017-01-19,235.00,239.00,235.00,239.00,,3.46,,26485.00
2017-04-03,256.00,261.00,256.00,261.00,,3.98,,41710.00
2017-04-25,266.00,276.00,266.00,276.00,,5.75,,153622.00
2017-05-11,281.00,286.00,281.00,286.00,,3.62,,90898.00
2017-07-25,242.00,246.00,242.00,246.00,,3.36,,368714.00
2017-11-06,246.00,255.00,250.00,255.00,,3.66,,374290.00
2017-11-15,0.00,0.00,0.00,260.00,,0,,260.00
2017-11-26,255.00,265.00,260.00,265.00,,3.92,,11345.00
2017-12-13,0.00,0.00,0.00,270.00,,0,,27000.00
2018-02-04,270.00,280.00,270.00,280.00,,5.66,,19675.00
2018-02-12,285.00,308.00,285.00,308.00,,10,,538562.00
2018-05-27,250.00,250.00,250.00,250.00,,1.63,,2500.00
2018-07-16,255.00,260.00,255.00,260.00,,4,,497330.00
2018-08-06,265.00,270.00,265.00,270.00,,3.85,,54215.00
2018-08-09,275.00,280.00,275.00,280.00,,3.7,,497790.00
2018-08-12,285.00,290.00,285.00,290.00,,3.57,,55050.00
2018-08-21,304.00,304.00,304.00,304.00,,4.83,,3040.00
2018-09-06,319.00,319.00,319.00,319.00,,4.93,,3190.00
