Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-11,391.70,407.40,391.70,407.40,,4.01,,11986.00
2025-11-12,413.40,421.60,413.40,421.60,,3.49,,8350.00
2025-11-13,419.90,438.60,419.90,438.60,,4.03,,12885.00
2025-11-17,433.20,465.30,433.20,465.30,,6.09,,26684.00
2025-11-18,474.60,484.00,474.60,484.00,,4.02,,9586.00
2025-11-19,477.70,523.60,477.70,523.60,,8.18,,25117.00
2025-11-23,534.00,566.50,534.00,566.50,,8.19,,22005.00
2025-11-24,577.80,623.10,577.80,623.10,,9.99,,35820.00
2025-11-25,611.00,674.40,611.00,674.40,,8.23,,38537.00
2025-11-26,661.30,741.80,661.30,741.80,,9.99,,49695.00
2025-11-27,727.60,815.90,727.60,815.90,,9.99,,62209.00
2025-11-30,809.30,897.40,809.30,897.40,,9.99,,139903.00
2025-12-01,896.20,987.10,896.20,987.10,,10,,124693.00
2025-12-02,986.90,1085.80,986.90,1085.80,,10,,73071.00
2025-12-03,1083.20,1194.30,1083.20,1194.30,,9.99,,128021.00
2025-12-07,1194.10,1313.70,1194.10,1313.70,,10,,244857.00
2025-12-08,1313.60,1445.00,1313.60,1445.00,,9.99,,212853.00
2025-12-09,1444.90,1589.50,1444.90,1589.50,,10,,218240.00
2025-12-10,1621.20,1748.40,1621.20,1748.40,,10,,224173.00
2025-12-11,1723.70,1923.20,1723.70,1923.20,,10,,589523.00
2025-12-14,1961.60,2115.50,1961.60,2115.50,,10,,969358.00
2025-12-15,2157.80,2327.00,2157.80,2327.00,,10,,1043003.00
2025-12-16,2373.50,2559.70,2373.50,2559.70,,10,,1608046.00
2025-12-17,2610.80,2815.60,2610.80,2815.60,,10,,1599873.00
2025-12-18,2815.60,3097.10,2815.60,3097.10,,10,,18605237.00
2025-12-21,3159.00,3400.00,2860.20,2900.00,,-6.36,,130528728.10
2025-12-22,2900.00,2900.00,2740.00,2740.10,,-5.51,,62919296.00
2025-12-23,2690.00,3014.10,2690.00,2882.00,,5.18,,21926680.00
2025-12-24,2890.00,2890.00,2806.80,2828.90,,-1.84,,12516175.00
2025-12-28,2801.00,2828.90,2770.10,2781.00,,-1.69,,21292940.50
2025-12-29,2833.00,2833.00,2730.00,2750.00,,-1.11,,16114071.00
2025-12-31,2750.00,2800.00,2745.30,2764.00,,0.51,,16476770.10
2026-01-01,2750.00,2830.00,2742.30,2770.00,,0.22,,15369013.10
2026-01-04,2750.00,2933.80,2736.00,2879.00,,3.94,,26763312.50
2026-01-05,2879.10,3139.00,2840.10,3088.90,,7.29,,34294877.30
2026-01-06,3088.90,3195.00,2961.00,2999.00,,-2.91,,24270547.90
2026-01-07,2942.00,3000.00,2870.00,2894.00,,-3.5,,21062485.40
2026-01-08,2894.00,2929.50,2866.10,2886.00,,-0.28,,15987185.50
2026-01-12,2886.00,2930.00,2851.00,2885.00,,-0.03,,13594514.90
2026-01-13,2871.00,2920.00,2871.00,2890.00,,0.17,,14540429.10
2026-01-14,2926.00,2927.90,2846.00,2846.00,,-1.52,,13957759.00
2026-01-18,2900.00,2965.00,2867.00,2930.00,,2.95,,20161270.90
2026-01-20,2988.60,3039.80,2968.00,3005.00,,2.56,,20092493.20
2026-01-21,3005.00,3030.00,2945.10,2972.00,,-1.1,,15703402.00
2026-01-22,2945.00,3000.00,2935.40,3000.00,,0.94,,13414396.40
2026-01-25,3000.00,3299.90,3000.00,3270.10,,9,,28686968.70
2026-01-26,3300.00,3300.00,3160.00,3180.00,,-2.76,,29359732.00
2026-01-27,3240.00,3240.00,3032.00,3032.00,,-4.65,,29268077.00
2026-01-28,3031.50,3089.00,3000.00,3070.00,,1.25,,16702818.00
2026-01-29,3095.00,3110.00,3000.00,3031.00,,-1.27,,18314198.20
2026-02-01,2972.00,3010.00,2950.00,2960.00,,-2.34,,11848991.50
2026-02-02,2960.00,3050.00,2926.00,2999.00,,1.32,,12179942.00
2026-02-03,2952.00,3050.00,2952.00,2990.00,,-0.3,,8226298.20
2026-02-04,2988.00,3002.00,2960.00,2960.00,,-1,,8998933.90
2026-02-05,2950.00,2994.90,2950.00,2987.00,,0.91,,10845190.40
2026-02-08,2980.00,3020.00,2943.00,2943.00,,-1.47,,8050699.30
2026-02-09,2885.20,2940.00,2880.00,2905.00,,-1.29,,9718674.20
