Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1735.00,1750.00,1690.00,1690.00,,-2.59,,5679286.00
2014-08-04,1730.00,1735.00,1696.00,1735.00,,0.29,,5679286.00
2014-08-04,1830.00,1835.00,1820.00,1820.00,,-0.55,,5679286.00
2014-08-04,1820.00,1784.00,1784.00,1784.00,,-1.98,,5679286.00
2014-08-04,1784.00,1784.00,1730.00,1730.00,,-3.03,,5679286.00
2014-08-05,1690.00,1730.00,1700.00,1700.00,,0.59,,4092119.00
2014-08-06,1700.00,1870.00,1734.00,1870.00,,10,,34151613.00
2014-08-07,1870.00,1940.00,1895.00,1940.00,,3.74,,15519661.00
2014-08-12,1940.00,1930.00,1855.00,1895.00,,-2.32,,3567794.00
2014-08-13,1895.00,1896.00,1870.00,1895.00,,0,,3110512.00
2014-08-14,1895.00,1948.00,1910.00,1930.00,,1.85,,2556285.00
2014-08-18,1930.00,1900.00,1770.00,1810.00,,-6.22,,8259831.00
2014-08-19,1810.00,1846.00,1775.00,1810.00,,0,,8274240.00
2014-08-20,1810.00,1807.00,1760.00,1760.00,,-2.76,,1493815.00
2014-08-21,1760.00,1774.00,1720.00,1774.00,,0.8,,2855565.00
2014-08-24,1774.00,1770.00,1740.00,1740.00,,-1.92,,632420.00
2014-08-25,1740.00,1706.00,1617.00,1620.00,,-6.9,,1963845.00
2014-08-26,1620.00,1640.00,1600.00,1608.00,,-0.74,,3804230.00
2014-08-27,1608.00,1747.00,1640.00,1747.00,,8.64,,3784498.00
2014-08-28,1747.00,1831.00,1779.00,1780.00,,1.89,,5032540.00
2014-08-31,1780.00,1770.00,1740.00,1750.00,,-1.69,,1908958.00
2014-09-01,1750.00,1715.00,1680.00,1680.00,,-4,,2234846.00
2014-09-03,1680.00,1670.00,1662.00,1662.00,,-1.07,,867740.00
2014-09-04,1662.00,1660.00,1600.00,1620.00,,-2.53,,3006760.00
2014-09-07,1620.00,1590.00,1549.00,1549.00,,-4.38,,993870.00
2014-09-09,1549.00,1601.00,1540.00,1570.00,,1.36,,7890347.00
2014-09-10,1570.00,1668.00,1601.00,1640.00,,4.46,,4194987.00
2014-09-11,1640.00,1672.00,1640.00,1672.00,,1.95,,2086540.00
2014-09-14,1672.00,1734.00,1680.00,1730.00,,3.47,,4771182.00
2014-09-15,1730.00,1872.00,1730.00,1860.00,,7.51,,5108385.00
2014-09-16,1860.00,1960.00,1885.00,1909.00,,2.63,,5177106.00
2014-09-17,1909.00,1920.00,1878.00,1879.00,,-1.57,,1600682.00
2014-09-21,1836.00,1834.00,1770.00,1834.00,,-0.11,,929129.00
2014-09-23,1834.00,1798.00,1730.00,1750.00,,-4.58,,899971.00
2014-09-24,1750.00,1750.00,1720.00,1720.00,,-1.71,,1082090.00
2014-09-28,1720.00,1725.00,1700.00,1700.00,,-1.16,,334450.00
2014-09-29,1700.00,1765.00,1734.00,1765.00,,3.82,,1103845.00
2014-09-30,1765.00,1830.00,1800.00,1802.00,,2.1,,2167888.00
2014-10-08,1802.00,1785.00,1750.00,1785.00,,-0.94,,3856650.00
2014-10-13,1785.00,1755.00,1740.00,1740.00,,-2.52,,2893615.00
2014-10-14,1740.00,1750.00,1730.00,1750.00,,0.57,,985700.00
2014-10-15,1750.00,1780.00,1745.00,1780.00,,1.71,,5600892.00
2014-10-16,1780.00,1816.00,1800.00,1810.00,,1.69,,1513775.00
2014-10-19,1810.00,1810.00,1809.00,1810.00,,0,,872194.00
2014-10-20,1810.00,1849.00,1810.00,1849.00,,2.15,,4495690.00
2014-10-21,1849.00,1917.00,1856.00,1917.00,,3.68,,3285622.00
2014-10-22,1917.00,1954.00,1885.00,1945.00,,1.46,,3283845.00
2014-10-26,1945.00,1915.00,1910.00,1915.00,,-1.54,,692232.00
2014-10-27,1915.00,1920.00,1915.00,1920.00,,0.26,,958534.00
2014-10-30,1920.00,1900.00,1900.00,1900.00,,-1.04,,190000.00
2014-11-02,1900.00,1900.00,1850.00,1870.00,,-1.58,,1394538.00
2014-11-03,1870.00,1835.00,1767.00,1800.00,,-3.74,,2562035.00
2014-11-04,1800.00,1764.00,1764.00,1764.00,,-2,,176400.00
2014-11-05,1764.00,1800.00,1750.00,1785.00,,1.19,,3348110.00
2014-11-06,1785.00,1785.00,1755.00,1780.00,,-0.28,,676935.00
2014-11-09,1780.00,1750.00,1725.00,1725.00,,-3.09,,556300.00
2014-11-10,1725.00,1700.00,1691.00,1700.00,,-1.45,,296600.00
2014-11-11,1700.00,1725.00,1670.00,1725.00,,1.47,,1653940.00
2014-11-12,1725.00,1829.00,1759.00,1790.00,,3.77,,11064061.00
2014-11-13,1790.00,1800.00,1766.00,1780.00,,-0.56,,2827834.00
2014-11-16,1780.00,1808.00,1790.00,1808.00,,1.57,,3622137.00
2014-11-17,1808.00,1840.00,1800.00,1800.00,,-0.44,,537700.00
2014-11-18,1800.00,1813.00,1710.00,1780.00,,-1.11,,619178.00
2014-11-19,1780.00,1785.00,1755.00,1785.00,,0.28,,812970.00
2014-11-20,1785.00,1810.00,1780.00,1790.00,,0.28,,2352827.00
2014-11-24,1790.00,1861.00,1780.00,1797.00,,0.39,,5511709.00
2014-11-24,1790.00,1820.00,1775.00,1790.00,,0,,5511709.00
2014-11-25,1797.00,1814.00,1753.00,1805.00,,0.45,,12903484.00
2014-11-30,1805.00,1810.00,1800.00,1800.00,,-0.28,,3407450.00
2014-12-01,1800.00,1790.00,1725.00,1751.00,,-2.72,,3835525.00
2014-12-02,1751.00,1780.00,1755.00,1780.00,,1.66,,295000.00
2014-12-03,1780.00,1810.00,1740.00,1740.00,,-2.25,,3988360.00
2014-12-04,1740.00,1770.00,1722.00,1770.00,,1.72,,1329944.00
2014-12-07,1770.00,1805.00,1785.00,1785.00,,0.85,,184315.00
2014-12-08,1785.00,1750.00,1721.00,1730.00,,-3.08,,3113610.00
2014-12-09,1730.00,1740.00,1730.00,1730.00,,0,,692650.00
2014-12-10,1730.00,1770.00,1740.00,1770.00,,2.31,,461750.00
2014-12-11,1770.00,1770.00,1750.00,1750.00,,-1.13,,683080.00
2014-12-14,1750.00,1820.00,1785.00,1820.00,,4,,2706830.00
2014-12-15,1820.00,1856.00,1800.00,1800.00,,-1.1,,1591527.00
2014-12-16,1800.00,1810.00,1770.00,1805.00,,0.28,,2746475.00
2014-12-17,1805.00,1855.00,1795.00,1840.00,,1.94,,6145193.00
2014-12-18,1840.00,1869.00,1840.00,1856.00,,0.87,,4275853.00
2014-12-21,1856.00,1860.00,1800.00,1835.00,,-1.13,,5824540.00
2014-12-22,1835.00,1860.00,1820.00,1860.00,,1.36,,10854027.00
2014-12-23,1860.00,1875.00,1810.00,1851.00,,-0.48,,11907275.00
2014-12-24,1263.00,1365.00,1287.00,1365.00,,8.08,,1116474.00
2014-12-28,1365.00,1475.00,1392.00,1475.00,,8.06,,1528294.00
2014-12-29,1475.00,1500.00,1445.00,1446.00,,-1.97,,393260.00
2015-01-01,1446.00,1465.00,1450.00,1465.00,,1.31,,733098.00
2015-01-04,1465.00,1515.00,1494.00,1515.00,,3.41,,1773226.00
2015-01-05,1515.00,1530.00,1515.00,1515.00,,0,,1092870.00
2015-01-07,1515.00,1520.00,1500.00,1501.00,,-0.92,,389638.00
2015-01-08,1501.00,1560.00,1500.00,1535.00,,2.27,,2266387.00
2015-01-11,1535.00,1525.00,1495.00,1495.00,,-2.61,,449975.00
2015-01-12,1495.00,1526.00,1500.00,1526.00,,2.07,,197360.00
2015-01-13,1526.00,1550.00,1525.00,1525.00,,-0.07,,493825.00
2015-01-14,1525.00,1545.00,1515.00,1545.00,,1.31,,583575.00
2015-01-18,1545.00,1540.00,1540.00,1540.00,,-0.32,,532840.00
2015-01-19,1540.00,1601.00,1569.00,1569.00,,1.88,,791539.00
2015-01-20,1569.00,1540.00,1540.00,1540.00,,-1.85,,4697000.00
