Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-05-12,1346.00,1346.00,1236.10,1236.10,,-10,,1682504.10
2022-05-17,1212.00,1212.00,1112.50,1112.50,,-10,,1452498.00
2022-05-18,1090.30,1090.30,1001.30,1001.30,,-10,,1389833.30
2022-05-19,982.00,985.00,925.20,950.00,,-5.12,,15486469.20
2022-05-20,960.00,985.00,930.00,930.00,,-2.11,,4338707.00
2022-05-23,911.40,911.40,885.00,895.00,,-3.76,,3240491.20
2022-05-24,912.50,915.00,841.10,857.00,,-4.25,,9131820.70
2022-05-25,874.10,889.00,842.80,878.00,,2.45,,5902604.60
2022-05-26,878.00,884.90,860.00,870.00,,-0.91,,2848771.70
2022-05-27,879.00,879.00,850.10,868.00,,-0.23,,2654684.80
2022-05-30,868.00,868.00,830.00,835.00,,-3.8,,4380894.50
2022-05-31,835.00,835.00,804.00,809.00,,-3.11,,3108193.00
2022-06-01,809.00,841.50,794.00,794.00,,-1.85,,4930016.70
2022-06-02,794.00,809.00,785.00,785.10,,-1.12,,4694964.40
2022-06-03,775.00,784.00,755.00,757.00,,-3.58,,7904095.70
2022-06-06,772.10,772.10,751.00,758.00,,0.13,,3103803.20
2022-06-07,768.90,769.00,743.00,754.00,,-0.53,,3220312.20
2022-06-08,763.00,801.00,750.00,790.00,,4.77,,3764788.60
2022-06-09,805.80,820.00,760.00,778.00,,-1.52,,2666699.70
2022-06-10,765.00,784.00,755.00,770.00,,-1.03,,675710.70
2022-06-13,770.00,770.00,750.00,750.00,,-2.6,,1339170.50
2022-06-14,755.00,755.00,722.00,722.00,,-3.73,,2395151.20
2022-06-15,722.00,750.00,710.00,730.00,,1.11,,1639319.60
2022-06-16,720.10,755.00,720.10,738.90,,1.22,,1354576.30
2022-06-17,738.90,750.00,738.90,747.40,,1.15,,420648.00
2022-06-19,746.00,746.00,713.00,715.10,,-4.32,,2701055.70
2022-06-20,702.00,702.00,675.00,678.00,,-5.19,,3443415.50
2022-06-21,691.50,711.00,686.10,700.00,,3.24,,2599759.20
2022-06-22,692.00,705.00,690.00,701.00,,0.14,,1548222.00
2022-06-23,690.00,699.00,666.00,698.00,,-0.43,,2225833.80
2022-06-24,684.10,708.80,671.30,708.00,,1.43,,942109.90
2022-06-26,710.00,754.00,709.00,750.00,,5.93,,2384725.10
2022-06-27,765.00,765.00,718.40,734.00,,-2.13,,2962026.60
2022-06-28,719.40,736.40,711.00,716.00,,-2.45,,1405139.70
2022-06-29,726.00,773.00,713.00,748.90,,4.59,,6621211.00
2022-06-30,755.00,823.70,751.00,823.70,,9.99,,12546700.00
2022-07-01,840.00,841.00,810.00,830.00,,0.76,,3796930.90
2022-07-03,830.00,847.80,814.00,845.00,,1.81,,4688347.00
2022-07-04,831.50,870.00,812.00,812.00,,-3.91,,15233198.20
2022-07-05,797.00,831.00,786.00,800.00,,-1.48,,5273521.70
2022-07-06,786.00,805.00,780.00,797.00,,-0.37,,3224885.80
2022-07-07,812.90,815.00,778.00,778.00,,-2.38,,2391663.90
2022-07-08,778.00,778.00,752.00,775.00,,-0.39,,2850634.70
2022-07-11,775.00,775.00,726.00,734.00,,-5.29,,3794596.40
2022-07-12,734.00,754.70,730.00,751.80,,2.43,,2912390.10
2022-07-13,750.00,785.40,750.00,785.00,,4.42,,4696802.00
2022-07-14,791.00,796.00,773.00,783.00,,-0.25,,1740066.20
2022-07-15,783.00,790.00,770.00,783.00,,0,,681928.40
2022-07-17,770.00,794.70,770.00,788.00,,0.64,,1577066.20
2022-07-18,773.20,802.00,772.30,786.00,,-0.25,,1857391.40
2022-07-19,801.70,813.00,790.00,800.00,,1.78,,4086690.10
2022-07-20,797.00,808.00,788.00,788.00,,-1.5,,3018797.00
2022-07-21,800.00,800.00,784.00,790.00,,0.25,,2488490.40
2022-07-22,787.00,788.00,754.00,754.00,,-4.56,,4251572.20
2022-07-24,769.00,805.00,768.50,805.00,,6.76,,7850069.10
2022-07-25,811.00,885.50,811.00,885.50,,10,,24344519.70
2022-07-26,885.00,972.00,885.00,945.00,,6.72,,31056602.90
2022-07-27,930.00,963.90,910.50,958.00,,1.38,,12558482.40
2022-07-28,977.00,983.90,937.90,945.00,,-1.36,,18045025.40
2022-07-29,937.00,945.00,930.00,938.00,,-0.74,,3757201.60
2022-07-31,938.00,951.00,906.50,928.00,,-1.07,,13602449.50
2022-08-01,910.00,910.00,879.00,890.00,,-4.09,,16537130.10
2022-08-02,885.00,894.90,867.00,888.00,,-0.22,,8112627.30
2022-08-03,873.00,914.00,871.00,900.00,,1.35,,8737319.90
2022-08-04,899.00,899.00,872.10,875.10,,-2.77,,3835855.20
2022-08-05,865.00,870.00,843.00,849.00,,-2.98,,5505094.20
2022-08-07,854.00,874.00,847.00,860.00,,1.3,,5874874.60
2022-08-08,877.20,877.20,840.00,856.00,,-0.47,,4642279.80
2022-08-09,868.00,868.00,815.00,815.00,,-4.79,,4428383.10
2022-08-10,799.00,831.00,798.70,823.00,,0.98,,4467042.50
2022-08-11,807.00,852.00,800.00,806.00,,-2.07,,2550218.50
2022-08-14,815.00,819.00,790.10,795.00,,-1.36,,2956776.70
2022-08-15,795.00,828.00,792.00,826.00,,3.9,,5186291.40
2022-08-16,817.10,839.00,805.00,812.00,,-1.69,,6018014.20
2022-08-17,804.00,819.00,801.00,805.20,,-0.84,,835091.60
2022-08-18,806.30,820.00,805.30,812.00,,0.84,,2865629.30
2022-08-21,828.00,839.00,820.00,829.90,,2.2,,10346481.20
2022-08-22,829.80,840.00,820.00,833.00,,0.37,,5971027.30
2022-08-23,844.50,844.50,826.10,831.00,,-0.24,,1554548.70
2022-08-24,827.00,832.00,821.00,832.00,,0.12,,2734538.40
2022-08-25,830.00,830.10,796.00,798.00,,-4.09,,4934741.70
2022-08-26,792.00,792.00,775.00,785.60,,-1.55,,2155548.90
2022-08-28,784.00,784.00,760.00,761.00,,-3.13,,3317190.10
2022-08-29,746.00,768.00,745.80,767.00,,0.79,,1364278.50
2022-08-30,779.90,779.90,759.10,759.10,,-1.03,,1739769.80
2022-08-31,754.00,757.50,746.10,750.00,,-1.2,,1289773.80
2022-09-01,740.10,765.00,740.10,744.10,,-0.79,,1540877.60
2022-09-02,745.00,760.00,744.80,760.00,,2.1,,1235619.50
2022-09-04,760.00,769.00,751.00,765.00,,0.66,,1545690.90
2022-09-05,755.00,780.00,753.10,770.00,,0.65,,1150062.30
2022-09-06,756.10,756.10,741.00,753.00,,-2.21,,3065661.90
2022-09-07,755.00,755.00,733.10,754.50,,0.2,,1892969.60
2022-09-08,740.10,765.00,740.00,760.00,,0.73,,1044447.30
2022-09-11,745.00,759.90,745.00,745.10,,-1.96,,2830033.00
2022-09-12,737.00,745.00,736.00,742.00,,-0.42,,1078687.20
2022-09-13,750.00,763.00,740.10,755.00,,1.75,,2492752.90
2022-09-14,759.00,772.00,752.00,770.00,,1.99,,3067730.90
2022-09-15,784.00,784.00,735.00,735.00,,-4.55,,2470332.10
2022-09-16,721.00,726.90,707.00,723.00,,-1.63,,2230268.20
2022-09-18,725.00,725.00,695.80,708.90,,-1.95,,3021252.30
2022-09-20,700.00,708.00,686.00,702.00,,-0.97,,1662582.80
2022-09-21,691.00,713.00,691.00,713.00,,1.57,,1291911.00
2022-09-22,699.00,700.00,690.00,699.90,,-1.84,,883325.00
2022-09-25,686.10,698.00,672.00,684.00,,-2.27,,1686681.90
2022-09-27,671.00,700.00,670.40,699.00,,2.19,,1271481.90
2022-09-28,690.00,700.00,681.00,700.00,,0.14,,851257.50
2022-09-29,700.00,714.00,696.00,714.00,,2,,2776211.90
2022-10-09,710.00,742.50,703.00,714.00,,0,,1328429.90
2022-10-10,715.00,727.80,703.00,715.00,,0.14,,948271.00
2022-10-11,705.30,710.00,700.00,710.00,,-0.7,,504107.70
2022-10-12,701.10,719.00,700.00,718.70,,1.23,,660583.40
2022-10-13,715.00,715.00,696.00,702.20,,-2.3,,1031443.90
2022-10-16,700.00,710.00,695.00,695.00,,-1.03,,2171108.80
2022-10-17,687.00,710.00,686.00,691.00,,-0.58,,1093824.00
2022-10-19,700.00,700.00,681.00,689.00,,-0.29,,472216.10
2022-10-20,689.00,697.00,684.00,690.00,,0.15,,456328.40
2022-10-23,700.00,700.00,687.00,690.00,,0,,275664.00
2022-10-31,702.00,703.00,690.00,703.00,,1.88,,462764.80
2022-11-01,705.00,716.00,698.00,710.00,,1,,1612576.00
2022-11-02,710.00,734.00,708.00,733.00,,3.24,,2343953.00
2022-11-03,729.00,729.00,706.00,709.00,,-3.27,,951889.40
2022-11-06,709.00,737.40,709.00,724.00,,2.12,,3889143.30
2022-11-07,721.00,735.00,720.00,729.00,,0.69,,2185548.40
2022-11-08,718.00,726.00,712.00,726.00,,-0.41,,791681.50
2022-11-09,740.00,740.00,701.00,707.00,,-2.62,,1665217.40
2022-11-10,695.00,709.00,683.00,683.00,,-3.39,,2728232.40
2022-11-13,676.00,696.50,672.20,684.00,,0.15,,37620.00
2022-11-15,675.20,703.00,675.20,696.00,,1.9,,1055541.90
2022-11-16,709.90,709.90,683.00,690.20,,-0.83,,635355.60
2022-11-17,704.00,726.10,691.00,700.00,,1.42,,2794675.00
2022-11-22,701.00,714.00,696.00,706.00,,0.86,,509670.00
2022-11-23,700.00,700.00,685.10,685.10,,-2.96,,620408.10
2022-11-24,690.00,703.80,683.10,699.00,,2.03,,771313.10
2022-11-27,690.00,715.00,690.00,715.00,,2.29,,1049664.00
2022-11-28,712.00,720.00,706.00,720.00,,0.7,,2192947.50
2022-11-29,720.00,731.00,706.10,711.10,,-1.24,,2764011.00
2022-11-30,707.00,722.00,707.00,722.00,,1.53,,1953860.40
2022-12-01,710.00,733.00,710.00,722.30,,0.04,,1969386.20
2022-12-04,722.00,736.60,720.10,725.00,,0.37,,1390865.80
2022-12-05,717.10,717.10,693.20,696.00,,-4,,1020108.40
2022-12-06,705.00,714.00,698.00,706.00,,1.44,,748635.00
2022-12-07,694.10,709.00,694.00,709.00,,0.42,,733372.50
2022-12-11,710.00,735.00,700.00,700.00,,-1.27,,2103146.00
2022-12-12,701.00,712.00,695.00,712.00,,1.71,,1378600.00
2022-12-13,712.00,725.90,707.00,720.00,,1.12,,476540.00
2022-12-14,720.00,720.00,705.60,713.00,,-0.97,,542203.10
2022-12-15,701.00,709.00,695.00,709.00,,-0.56,,1951293.40
2022-12-18,698.00,698.00,688.00,698.00,,-1.55,,1448632.20
2022-12-19,686.10,711.00,686.10,711.00,,1.86,,866992.30
2022-12-20,699.00,723.00,699.00,712.00,,0.14,,493289.00
2022-12-21,712.00,713.10,699.20,710.00,,-0.28,,1103864.60
2022-12-22,696.00,711.00,696.00,710.00,,0,,1396167.10
2022-12-26,719.90,730.00,712.00,730.00,,2.82,,692925.00
2022-12-27,744.00,744.00,724.10,731.10,,0.15,,6543868.30
2022-12-28,725.00,737.00,725.00,734.00,,0.4,,3063335.60
