Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-12-10,319.80,351.70,319.80,351.70,,9.97,,102647.00
2025-12-11,358.70,386.80,358.70,386.80,,9.98,,122242.00
2025-12-14,379.50,425.40,379.50,425.40,,9.98,,210646.00
2025-12-15,433.90,467.90,433.90,467.90,,9.99,,214398.00
2025-12-16,461.80,514.60,461.80,514.60,,9.98,,286427.00
2025-12-17,524.80,566.00,524.80,566.00,,9.99,,360815.00
2025-12-18,577.20,622.60,577.20,622.60,,10,,664611.00
2025-12-21,635.00,684.80,635.00,684.80,,9.99,,1258313.00
2025-12-22,676.70,753.20,676.70,753.20,,9.99,,48465144.00
2025-12-23,768.20,816.00,766.00,806.00,,7.01,,309817308.50
2025-12-24,806.00,840.00,791.10,815.00,,1.12,,144935383.20
2025-12-28,798.70,805.00,781.70,800.00,,-1.84,,189260777.90
2025-12-29,800.00,880.00,800.00,880.00,,10,,230241936.90
2025-12-31,870.00,968.00,870.00,968.00,,10,,92354539.90
2026-01-01,987.00,1064.80,973.00,1056.00,,9.09,,234111465.50
2026-01-04,1034.90,1144.00,995.00,1121.00,,6.16,,306585076.90
2026-01-05,1098.60,1233.10,1098.60,1233.10,,10,,175140756.10
2026-01-06,1257.70,1356.40,1255.00,1300.00,,5.43,,248836986.70
2026-01-07,1326.00,1326.00,1190.00,1190.10,,-8.45,,269497282.70
2026-01-08,1190.00,1295.00,1169.00,1258.00,,5.71,,200632769.50
2026-01-12,1232.90,1383.80,1209.00,1383.80,,10,,422248843.70
2026-01-13,1411.40,1502.00,1377.90,1410.10,,1.9,,348154526.10
2026-01-14,1410.10,1439.90,1365.00,1385.00,,-1.78,,220185276.10
2026-01-18,1385.00,1500.00,1370.00,1480.00,,6.86,,373962149.60
2026-01-20,1509.50,1588.00,1509.50,1560.00,,5.41,,268728600.70
2026-01-21,1565.00,1588.00,1525.00,1555.00,,-0.32,,235428594.70
2026-01-22,1550.00,1710.50,1540.00,1710.50,,10,,329578570.70
2026-01-25,1744.70,1881.50,1744.70,1881.50,,10,,237396362.70
2026-01-26,1919.10,2069.60,1881.50,2069.60,,10,,501708813.60
2026-01-27,2110.00,2255.90,1881.00,2015.00,,-2.64,,576838791.90
2026-01-28,2055.30,2159.90,2022.70,2132.00,,5.81,,498804873.30
2026-01-29,2174.60,2210.00,1940.00,1940.00,,-9.01,,522954989.00
2026-02-01,1920.00,2010.00,1822.10,1846.10,,-4.84,,536486965.50
2026-02-02,1855.00,2030.70,1855.00,2030.70,,10,,385003033.70
2026-02-03,2071.30,2233.00,2071.30,2128.90,,4.84,,592908411.50
2026-02-04,2171.40,2171.40,2045.00,2075.00,,-2.53,,603059715.60
2026-02-05,2075.00,2150.00,2075.00,2115.00,,1.93,,537410767.70
2026-02-08,2115.00,2155.00,2019.10,2019.10,,-4.53,,424156406.50
2026-02-09,2020.00,2050.00,1900.00,1939.00,,-3.97,,540474871.00
2026-02-10,1939.00,2014.90,1918.00,1933.00,,-0.31,,318325898.00
2026-02-11,1933.00,2011.00,1896.00,1910.00,,-1.19,,274991976.10
2026-02-12,1948.00,1974.00,1852.00,1892.00,,-0.94,,434236761.50
2026-02-16,1892.00,1979.90,1892.00,1960.00,,3.59,,344211045.60
2026-02-17,1965.00,1980.00,1901.00,1906.00,,-2.76,,283268419.60
2026-02-22,1870.00,1938.00,1818.00,1822.00,,-4.41,,317780938.70
2026-02-23,1788.00,1887.00,1762.00,1770.00,,-2.85,,287886070.00
2026-02-24,1780.00,1875.00,1780.00,1871.10,,5.71,,377291320.30
2026-02-25,1845.00,1950.00,1845.00,1898.90,,1.49,,234713682.60
