Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-04-10,295.00,324.50,295.00,324.50,,0,,66568580.40
2023-04-11,330.90,342.00,304.00,313.00,,-3.54,,50318297.00
2023-04-12,306.80,334.00,306.80,331.50,,5.91,,26621195.00
2023-04-13,338.10,338.10,318.50,321.00,,-3.17,,15884273.00
2023-04-16,319.00,320.00,308.00,309.00,,-3.74,,19479190.40
2023-04-17,304.00,315.00,304.00,314.60,,1.81,,13004246.00
2023-04-18,308.40,320.00,303.00,320.00,,1.72,,12220853.00
2023-04-19,315.00,323.30,311.00,322.00,,0.62,,16469743.00
2023-04-20,316.10,323.90,313.00,313.00,,-2.8,,12249347.00
2023-04-23,306.80,315.00,306.80,309.10,,-1.25,,15984788.40
2023-04-24,309.00,310.00,304.60,310.00,,0.29,,13448217.90
2023-04-25,303.90,316.00,303.90,314.00,,1.29,,15245344.10
2023-04-26,310.00,313.00,305.30,309.10,,-1.56,,11516238.00
2023-04-27,304.50,308.00,303.30,304.10,,-1.62,,6082346.00
2023-04-30,299.00,304.00,290.00,290.50,,-4.47,,14132162.00
2023-05-02,290.00,295.80,278.00,280.20,,-3.55,,7692283.00
2023-05-03,275.30,280.00,275.10,280.00,,-0.07,,6155267.40
2023-05-04,276.00,291.00,275.00,285.00,,1.79,,5153318.80
2023-05-07,285.00,290.70,275.00,275.20,,-3.44,,6274861.80
2023-05-08,273.00,274.00,265.00,265.40,,-3.56,,8202164.50
2023-05-09,264.90,276.00,261.40,274.00,,3.24,,8179926.90
2023-05-10,274.00,275.00,266.40,270.00,,-1.46,,2900358.60
2023-05-11,265.00,271.50,264.20,270.00,,0,,2691033.00
2023-05-14,270.00,272.00,262.10,262.30,,-2.85,,3143660.90
2023-05-15,260.00,267.70,256.10,259.00,,-1.26,,2361841.00
2023-05-16,255.00,267.00,255.00,264.00,,1.93,,2984067.60
2023-05-17,263.90,271.90,261.00,270.00,,2.27,,5785873.00
2023-05-18,266.00,278.00,266.00,277.10,,2.63,,7434727.10
2023-05-21,275.10,287.00,269.70,270.00,,-2.56,,7416911.40
2023-05-22,267.30,277.70,265.00,268.00,,-0.74,,3519457.00
2023-05-23,270.00,280.00,269.00,279.00,,4.1,,11692668.60
2023-05-24,279.00,284.40,271.00,272.10,,-2.47,,7104941.40
2023-05-28,271.50,286.90,270.10,272.70,,0.22,,17004744.90
2023-05-30,272.80,278.10,264.20,267.60,,-1.87,,8536710.60
2023-05-31,262.30,273.00,258.00,258.00,,-3.59,,10457190.70
2023-06-01,256.00,266.00,255.00,264.90,,2.67,,6364540.10
2023-06-04,265.00,279.80,264.90,275.00,,3.81,,7998403.50
2023-06-05,270.10,284.00,270.10,271.30,,-1.35,,6283932.20
2023-06-06,266.10,286.60,266.10,286.60,,5.64,,12186109.10
2023-06-07,286.00,295.00,284.50,286.90,,0.1,,21035979.90
2023-06-08,285.00,289.60,282.00,287.90,,0.35,,13450982.40
2023-06-11,287.00,298.80,285.00,298.00,,3.51,,21430193.00
2023-06-12,293.60,303.00,290.00,292.00,,-2.01,,12323934.40
2023-06-13,286.20,303.90,286.20,298.00,,2.05,,16978856.80
2023-06-14,297.00,308.00,293.10,296.10,,-0.64,,21285442.50
2023-06-15,296.00,315.00,296.00,311.10,,5.07,,44941885.90
2023-06-18,311.00,336.00,311.00,336.00,,8,,38869897.60
2023-06-19,330.00,341.90,323.00,331.10,,-1.46,,30088424.00
2023-06-20,331.10,337.70,318.00,320.00,,-3.35,,22839326.40
2023-06-21,320.00,320.00,310.10,311.00,,-2.81,,20472593.70
2023-06-22,305.00,317.00,301.00,304.00,,-2.25,,16065834.50
2023-06-25,300.20,317.10,299.00,315.00,,3.62,,21607002.90
2023-06-26,309.10,330.00,308.00,315.00,,0,,15455756.70
2023-06-27,310.10,318.00,306.00,318.00,,0.95,,12720964.30
2023-06-28,318.00,320.00,307.00,309.00,,-2.83,,15085746.90
2023-07-02,305.00,312.00,297.00,300.00,,-2.91,,13325668.30
2023-07-03,294.10,304.90,294.10,298.90,,-0.37,,12236275.10
2023-07-04,297.00,302.00,294.00,302.00,,1.04,,8488939.00
2023-07-05,297.00,320.00,294.00,294.00,,-2.65,,7197544.00
2023-07-06,299.00,299.00,289.70,295.00,,0.34,,4567530.00
2023-07-09,290.00,305.00,290.00,292.10,,-0.98,,4881851.40
2023-07-10,292.10,315.00,289.20,289.40,,-0.92,,10404463.60
2023-07-11,289.40,295.10,281.00,288.80,,-0.21,,5647677.30
2023-07-12,284.00,308.70,283.30,299.00,,3.53,,10715803.10
2023-07-13,302.00,304.50,285.20,286.00,,-4.35,,7378816.60
2023-07-16,282.00,293.00,282.00,285.00,,-0.35,,3557333.00
2023-07-17,281.00,293.00,281.00,289.00,,1.4,,4154878.70
2023-07-18,289.00,294.00,285.10,286.30,,-0.93,,4661015.50
2023-07-19,292.00,297.00,281.30,285.00,,-0.45,,4500390.50
2023-07-20,281.00,292.00,281.00,289.00,,1.4,,5282156.20
2023-07-23,289.00,294.50,284.40,293.00,,1.38,,5557509.50
2023-07-24,289.00,297.00,288.00,294.00,,0.34,,7752775.50
2023-07-25,289.00,295.00,288.40,290.20,,-1.29,,4448851.00
2023-07-26,290.00,295.00,285.10,287.20,,-1.03,,5458578.90
2023-07-27,287.10,290.00,282.50,285.00,,-0.77,,2400744.30
2023-07-30,285.00,288.00,279.00,279.30,,-2,,4919818.50
2023-07-31,276.00,282.10,275.70,277.00,,-0.82,,4088322.50
2023-08-01,272.90,282.50,270.00,271.00,,-2.17,,4241970.50
2023-08-02,271.00,272.00,266.10,268.00,,-1.11,,1881244.00
2023-08-03,267.10,273.00,267.10,270.00,,0.75,,3422715.40
2023-08-06,268.20,270.00,261.10,264.10,,-2.19,,3284162.10
2023-08-07,259.10,269.20,259.10,264.00,,-0.04,,2838004.00
2023-08-08,259.00,268.00,257.00,259.00,,-1.89,,4648421.00
2023-08-09,257.50,269.30,254.10,269.30,,3.98,,3566182.00
2023-08-10,264.10,274.00,260.90,266.80,,-0.93,,4729355.20
2023-08-13,263.00,265.00,258.00,258.90,,-2.96,,6438551.60
2023-08-14,254.10,266.00,254.10,256.00,,-1.12,,4798659.00
2023-08-15,256.00,257.00,251.00,252.00,,-1.56,,4691910.30
2023-08-16,251.00,255.00,248.00,249.50,,-0.99,,3449920.60
2023-08-17,248.00,264.00,245.20,250.50,,0.4,,2665266.60
2023-08-20,247.00,250.00,244.30,244.60,,-2.36,,2268961.40
2023-08-21,241.00,246.00,241.00,243.00,,-0.65,,2667513.80
2023-08-22,247.00,252.00,242.00,251.00,,3.29,,2547713.00
2023-08-23,247.00,274.00,246.20,260.00,,3.59,,4307641.00
2023-08-24,255.00,265.00,248.50,248.60,,-4.38,,2944790.20
2023-08-27,244.10,253.50,244.10,245.70,,-1.17,,3171473.20
2023-08-28,242.10,250.90,242.10,246.30,,0.24,,1852155.60
2023-08-29,246.00,251.00,242.30,249.00,,1.1,,2264392.00
2023-08-30,245.60,250.00,245.00,250.00,,0.4,,1870290.10
2023-09-03,245.00,259.00,241.20,242.00,,-3.2,,3320121.30
2023-09-04,238.00,260.10,238.00,244.10,,0.87,,1115207.00
2023-09-05,240.40,255.00,239.70,245.00,,0.37,,2607979.70
2023-09-07,243.00,247.00,240.00,240.20,,-1.96,,2212724.50
2023-09-10,239.10,245.00,239.00,241.00,,0.33,,2320192.90
2023-09-11,237.00,250.00,237.00,246.00,,2.07,,2846388.00
2023-09-12,244.30,250.00,234.80,239.10,,-2.8,,2888212.50
2023-09-13,237.40,249.00,237.40,247.00,,3.3,,2474741.70
2023-09-17,242.10,246.00,238.00,238.00,,-3.64,,3010890.30
2023-09-18,236.20,250.00,236.20,245.00,,2.94,,3250138.50
2023-09-19,248.00,256.00,240.60,255.00,,4.08,,3720648.00
2023-09-21,260.00,268.30,254.00,261.10,,2.39,,7392762.90
2023-09-24,258.00,272.30,254.30,257.20,,-1.49,,6126743.20
2023-09-25,252.30,265.20,251.10,255.00,,-0.86,,3790515.00
2023-09-26,259.00,270.00,255.10,270.00,,5.88,,6490279.60
