Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-10-31,254.20,259.20,254.20,259.20,,1.97,,5134.00
2021-11-01,259.20,269.50,259.20,269.50,,3.97,,5854.20
2021-11-02,274.80,285.80,274.80,285.80,,6.05,,10647.20
2021-11-03,288.70,300.20,288.70,300.20,,5.04,,11705.10
2021-11-08,300.20,330.20,300.20,330.20,,9.99,,41305.80
2021-11-09,336.80,363.20,336.80,363.20,,9.99,,61095.00
2021-11-11,370.40,399.50,370.40,399.50,,9.99,,122727.80
2021-11-14,407.40,439.40,407.40,439.40,,9.99,,232095.00
2021-11-15,448.10,483.30,448.10,483.30,,9.99,,1594638.60
2021-11-16,492.90,531.60,492.90,531.60,,9.99,,1200368.00
2021-11-17,542.20,584.70,542.20,584.70,,9.99,,1074379.00
2021-11-18,596.30,643.10,596.30,643.10,,9.99,,26029588.20
2021-11-21,655.00,655.90,602.00,616.00,,-4.21,,15762591.00
2021-11-22,616.00,616.00,590.00,600.00,,-2.6,,8460547.00
2021-11-23,588.00,595.00,585.00,588.00,,-2,,3688080.80
2021-11-24,590.00,599.70,554.40,575.00,,-2.21,,4972471.50
2021-11-25,571.00,587.00,569.20,570.00,,-0.87,,4183681.60
2021-11-28,558.60,591.60,526.00,548.10,,-3.84,,5420410.00
2021-11-29,540.00,565.00,538.00,546.30,,-0.33,,3132511.00
2021-11-30,546.00,590.90,538.00,585.00,,7.08,,3314131.00
2021-12-01,585.00,595.00,556.00,570.00,,-2.56,,1902363.00
2021-12-02,559.00,570.00,544.00,565.00,,-0.88,,4858539.00
2021-12-05,570.00,570.00,529.20,549.90,,-2.67,,2840928.90
2021-12-06,539.00,560.00,507.00,539.90,,-1.82,,3419928.00
2021-12-07,530.00,550.00,515.00,524.90,,-2.78,,3419647.10
2021-12-08,515.10,518.00,499.00,509.00,,-3.03,,2395931.50
2021-12-09,500.00,527.00,500.00,507.00,,-0.39,,1898855.00
2021-12-12,497.00,497.00,461.30,489.90,,-3.37,,2627234.00
2021-12-13,480.20,489.80,445.00,445.00,,-9.17,,1419992.50
2021-12-14,445.00,489.50,437.00,489.50,,10,,1354829.90
2021-12-15,499.20,510.00,451.50,480.50,,-1.84,,3123590.00
2021-12-16,480.00,490.00,453.90,454.10,,-5.49,,1420685.00
2021-12-20,453.90,453.90,420.00,430.00,,-5.31,,1377966.00
2021-12-21,430.00,438.60,415.10,416.00,,-3.26,,3096587.60
2021-12-22,424.00,452.00,424.00,443.00,,6.49,,2910865.90
2021-12-23,440.00,459.00,425.40,430.00,,-2.93,,1794864.70
2021-12-26,430.00,445.00,425.10,434.40,,1.02,,1124244.10
2021-12-27,426.00,434.00,414.00,415.00,,-4.47,,1301527.00
2021-12-28,407.00,431.00,404.00,419.00,,0.96,,1351425.20
2021-12-29,410.70,422.00,405.00,415.00,,-0.95,,1187995.00
2022-01-02,408.00,428.90,408.00,428.00,,3.13,,909541.00
2022-01-03,420.00,430.00,415.50,427.30,,-0.16,,1091430.50
2022-01-04,425.00,430.00,408.10,426.00,,-0.3,,755491.00
2022-01-05,431.00,460.00,425.00,449.00,,5.4,,5125003.00
2022-01-06,449.00,493.90,432.00,493.90,,10,,7350514.20
2022-01-09,494.00,530.00,487.10,522.00,,5.69,,7826020.00
2022-01-10,512.00,550.80,501.00,517.00,,-0.96,,4037607.00
2022-01-11,517.00,525.00,505.00,519.00,,0.39,,3257915.00
2022-01-12,515.00,518.00,495.00,496.00,,-4.43,,7722370.00
2022-01-13,505.00,515.00,486.10,513.00,,3.43,,1905556.90
2022-01-16,513.00,543.00,502.80,537.00,,4.68,,12936090.40
2022-01-17,547.70,547.70,519.40,547.00,,1.86,,8819934.60
2022-01-18,540.00,572.30,531.30,569.00,,4.02,,9150812.60
2022-01-19,558.00,585.00,542.00,578.00,,1.58,,6169083.00
2022-01-20,578.00,635.80,557.00,635.80,,10,,24227909.10
2022-01-23,635.80,652.00,615.00,635.00,,-0.13,,15177206.30
2022-01-24,635.00,645.00,573.30,599.00,,-5.67,,15329076.10
2022-01-25,587.10,610.90,570.00,589.90,,-1.52,,6738175.10
2022-01-26,585.00,600.00,550.00,582.00,,-1.34,,5955045.50
2022-01-27,575.00,598.00,566.50,598.00,,2.75,,3688129.60
2022-01-30,609.90,617.00,595.20,609.10,,1.86,,9621629.60
2022-01-31,600.10,627.00,588.00,607.00,,-0.34,,6730080.20
2022-02-01,605.00,620.00,596.00,611.00,,0.66,,6455138.00
2022-02-03,613.00,663.00,613.00,635.00,,3.93,,16538315.70
2022-02-06,630.00,635.00,605.00,607.00,,-4.41,,8464703.00
2022-02-07,594.90,637.60,594.90,612.00,,0.82,,4872429.00
2022-02-08,624.20,636.00,589.00,592.10,,-3.25,,6360125.50
2022-02-09,592.10,603.20,576.20,594.00,,0.32,,2308706.00
2022-02-10,584.00,591.60,570.00,584.60,,-1.58,,4533021.50
2022-02-13,573.00,573.00,546.00,547.00,,-6.43,,4650119.50
2022-02-14,536.10,560.00,536.10,552.00,,0.91,,1495213.90
2022-02-15,541.10,600.00,541.10,600.00,,8.7,,3152916.20
2022-02-16,600.00,600.00,570.00,587.00,,-2.17,,4375624.00
2022-02-17,598.00,642.60,576.30,625.00,,6.47,,20446951.10
2022-02-20,637.50,687.50,590.00,679.00,,8.64,,33049189.70
2022-02-21,675.00,728.00,670.00,710.00,,4.57,,19303037.60
2022-02-22,710.00,780.30,696.00,758.00,,6.76,,17807026.30
2022-02-23,773.10,825.00,742.90,825.00,,8.84,,31135437.90
2022-02-24,809.00,824.00,763.00,821.00,,-0.48,,21239913.20
2022-02-27,805.00,812.00,785.00,788.00,,-4.02,,21081675.70
2022-02-28,800.00,800.00,709.20,709.20,,-10,,18489681.80
2022-03-02,695.10,700.00,641.30,670.00,,-5.53,,11708771.60
2022-03-06,670.00,693.00,659.00,674.00,,0.6,,6636376.00
2022-03-07,666.00,683.40,657.00,675.00,,0.15,,7862237.00
2022-03-09,662.00,665.00,640.00,655.00,,-2.96,,3739729.20
2022-03-10,643.00,669.00,628.00,665.00,,1.53,,14678567.40
2022-03-13,678.30,690.00,651.00,663.00,,-0.3,,15023087.30
2022-03-14,665.00,678.20,662.00,670.00,,1.06,,3668520.50
2022-03-15,663.00,674.00,650.00,664.50,,-0.82,,8068669.50
2022-03-16,652.00,668.00,645.10,653.00,,-1.73,,4845737.80
2022-03-20,666.00,666.00,637.00,647.00,,-0.92,,3259096.50
2022-03-21,647.00,667.00,635.00,656.00,,1.39,,3424891.00
2022-03-22,650.00,665.00,642.00,642.00,,-2.13,,3093727.00
2022-03-23,635.00,649.00,632.00,635.00,,-1.09,,2226582.00
2022-03-24,628.00,635.00,615.00,624.00,,-1.73,,7410020.50
2022-03-27,612.10,624.00,588.10,599.00,,-4.01,,3496773.90
2022-03-28,588.00,605.00,588.00,597.00,,-0.33,,3765678.00
2022-03-29,586.00,610.00,580.10,591.90,,-0.85,,2490495.80
2022-03-30,582.00,630.00,582.00,630.00,,6.44,,5677163.90
2022-03-31,617.60,629.00,600.00,610.00,,-3.17,,5180429.00
2022-04-03,597.80,610.00,594.00,603.00,,-1.15,,2617092.40
2022-04-04,591.00,604.90,580.00,599.00,,-0.66,,1364883.30
2022-04-05,588.00,599.00,570.00,575.00,,-4.01,,3741896.00
2022-04-06,565.00,579.00,545.10,567.00,,-1.39,,2665056.90
2022-04-07,556.00,594.00,556.00,569.90,,0.51,,4614296.00
2022-04-11,562.00,591.90,540.00,552.00,,-3.14,,3551654.50
2022-04-12,550.00,550.00,520.50,525.00,,-4.89,,2545622.60
2022-04-13,535.00,544.00,517.00,530.00,,0.95,,2534292.00
2022-04-17,530.00,535.00,505.00,513.00,,-3.21,,1704126.00
2022-04-18,503.00,510.00,474.00,499.80,,-2.57,,2545738.50
2022-04-19,496.50,505.00,468.10,504.90,,1.02,,2169094.20
2022-04-20,494.90,494.90,460.30,474.00,,-6.12,,1929417.00
2022-04-21,480.00,482.90,447.00,469.90,,-0.86,,1963810.50
2022-04-24,479.20,516.70,465.00,503.20,,7.09,,2910667.00
2022-04-25,507.00,512.00,481.10,487.00,,-3.22,,2318488.00
2022-04-26,487.00,496.70,477.40,482.00,,-1.03,,937135.00
2022-04-27,490.00,500.00,471.00,478.00,,-0.83,,2611821.70
2022-04-28,485.00,495.00,465.10,469.00,,-1.88,,2705694.40
2022-05-02,459.70,462.00,450.00,457.00,,-2.56,,1613805.00
2022-05-04,457.00,457.00,432.10,440.00,,-3.72,,2177826.00
2022-05-05,432.00,435.00,415.00,420.00,,-4.55,,1858400.00
2022-05-08,411.60,434.00,404.00,427.00,,1.67,,1135646.50
2022-05-09,424.00,447.90,420.00,447.90,,4.89,,2544120.20
2022-05-10,439.00,469.00,426.00,463.00,,3.37,,2155829.00
2022-05-11,454.00,484.00,442.00,484.00,,4.54,,2699471.00
2022-05-12,474.40,514.00,458.00,514.00,,6.2,,4810267.70
2022-05-17,504.00,504.00,462.60,480.00,,-6.61,,3892162.80
2022-05-18,470.40,480.00,455.20,480.00,,0,,1127960.30
2022-05-19,470.40,483.90,442.10,483.90,,0.81,,3350542.60
2022-05-20,474.30,474.80,437.80,460.00,,-4.94,,1686775.70
2022-05-23,469.00,469.00,435.00,435.00,,-5.43,,804287.60
2022-05-24,443.00,450.80,427.00,442.90,,1.82,,1167700.20
2022-05-25,450.00,460.00,434.20,459.00,,3.64,,1797531.00
2022-05-26,449.90,458.70,441.30,447.00,,-2.61,,680388.00
2022-05-27,438.10,464.00,435.00,442.00,,-1.12,,1260900.80
2022-05-30,434.00,442.60,424.60,430.00,,-2.71,,218137.00
2022-05-31,421.40,438.60,419.00,427.00,,-0.7,,1545417.20
2022-06-01,430.00,435.00,413.00,432.10,,1.19,,829431.80
2022-06-02,438.00,438.00,420.80,423.10,,-2.08,,611802.80
2022-06-03,417.00,424.90,415.00,423.90,,0.19,,305360.80
2022-06-06,420.00,435.90,415.50,420.10,,-0.9,,1046605.00
2022-06-07,415.00,415.00,401.10,411.00,,-2.17,,500565.50
2022-06-08,411.00,449.80,407.00,449.80,,9.44,,1639436.00
2022-06-09,449.00,454.80,427.00,448.00,,-0.4,,2245745.00
2022-06-10,440.00,456.90,425.00,456.90,,1.99,,1775123.00
2022-06-13,456.90,474.30,429.20,474.30,,3.81,,1457624.50
2022-06-14,464.90,474.00,435.00,474.00,,-0.06,,2824747.40
2022-06-15,465.00,465.00,426.60,451.00,,-4.85,,3346728.30
2022-06-16,445.00,461.00,426.30,461.00,,2.22,,1394763.90
2022-06-17,451.80,469.00,426.10,469.00,,1.74,,987812.00
2022-06-20,459.70,459.70,422.10,422.10,,-10,,3872316.80
2022-06-21,413.70,451.80,397.40,410.00,,-2.87,,2630960.00
2022-06-22,418.20,435.00,390.00,422.00,,2.93,,1920746.00
2022-06-23,417.00,417.00,381.10,395.00,,-6.4,,842083.40
2022-06-24,387.10,423.00,358.00,414.60,,4.96,,1960083.50
2022-06-26,408.00,436.50,393.00,436.50,,5.28,,3441601.50
2022-06-27,436.50,436.50,405.00,405.00,,-7.22,,1459281.00
2022-06-28,396.90,412.00,389.00,412.00,,1.73,,1422720.00
2022-06-29,405.00,417.90,400.00,411.00,,-0.24,,1382826.00
2022-06-30,417.00,424.00,406.00,418.90,,1.92,,1479446.60
2022-07-01,421.00,436.50,415.00,423.90,,1.19,,1834138.50
2022-07-03,424.00,459.00,410.00,459.00,,8.28,,4439614.90
2022-07-04,459.00,499.20,436.10,440.00,,-4.14,,6810846.80
2022-07-05,438.00,475.40,432.10,441.00,,0.23,,2321607.00
2022-07-06,449.00,475.30,425.10,475.30,,7.78,,2122298.00
2022-07-07,480.00,480.00,443.00,464.00,,-2.38,,3437440.30
2022-07-08,455.00,463.90,437.00,444.90,,-4.12,,1950597.20
2022-07-11,453.70,453.70,413.10,428.00,,-3.8,,1882387.60
2022-07-12,420.00,427.00,413.00,416.30,,-2.73,,2097429.00
2022-07-13,408.00,432.00,408.00,426.00,,2.33,,3721982.00
2022-07-14,434.00,434.00,417.80,426.00,,0,,855958.60
2022-07-15,418.00,426.00,418.00,426.00,,0,,365567.00
2022-07-17,418.20,436.00,418.10,431.40,,1.27,,1494339.50
2022-07-18,428.00,431.00,420.00,427.10,,-1,,572214.90
2022-07-19,435.60,440.00,426.90,439.00,,2.79,,2510460.00
2022-07-20,434.00,434.90,430.00,433.00,,-1.37,,1231487.50
2022-07-21,425.10,433.00,420.00,424.00,,-2.08,,1549331.00
2022-07-22,415.60,423.00,410.00,410.00,,-3.3,,902839.00
2022-07-24,418.20,433.00,412.00,433.00,,5.61,,1073309.60
2022-07-25,430.00,453.00,430.00,452.80,,4.57,,3522418.00
2022-07-26,460.00,477.00,443.80,460.00,,1.59,,9947013.20
2022-07-27,458.40,493.00,450.00,490.00,,6.52,,6583141.60
2022-07-28,483.00,510.00,472.00,490.00,,0,,5221019.30
2022-07-29,480.30,499.50,471.20,483.00,,-1.43,,925339.00
2022-07-31,483.00,502.00,482.00,484.00,,0.21,,3798300.50
2022-08-01,493.60,493.60,475.00,480.00,,-0.83,,2860943.00
2022-08-02,478.00,501.00,473.00,498.00,,3.75,,7053863.80
2022-08-03,500.00,547.70,500.00,518.00,,4.02,,9616591.10
2022-08-04,521.00,540.00,510.00,514.00,,-0.77,,8836845.80
2022-08-05,504.00,512.00,486.10,486.10,,-5.43,,5363566.20
2022-08-07,495.80,534.70,485.20,533.00,,9.65,,13330679.20
2022-08-08,533.00,553.00,514.00,518.00,,-2.81,,7049562.20
2022-08-09,508.00,515.00,491.00,491.00,,-5.21,,3589301.00
2022-08-10,483.10,493.00,473.00,490.00,,-0.2,,2479377.00
2022-08-11,497.00,498.00,467.00,468.00,,-4.49,,5430496.00
2022-08-14,459.10,477.00,448.00,448.00,,-4.27,,3432381.50
2022-08-15,439.10,492.00,439.10,476.90,,6.45,,2158834.00
2022-08-16,486.00,494.70,462.00,466.00,,-2.29,,3852361.00
2022-08-17,460.00,494.00,459.00,465.00,,-0.21,,1548311.00
2022-08-18,474.30,485.90,468.00,484.00,,4.09,,1561179.50
2022-08-21,493.00,493.00,468.00,479.00,,-1.03,,1947303.00
2022-08-22,470.00,483.40,460.60,480.00,,0.21,,270303.20
2022-08-23,470.40,479.80,464.60,474.90,,-1.06,,760914.00
2022-08-24,470.00,479.00,462.10,469.00,,-1.24,,547585.10
2022-08-25,461.00,474.00,455.00,456.20,,-2.73,,1132738.50
2022-08-26,451.00,460.00,438.00,447.00,,-2.02,,2420975.50
2022-08-28,438.20,454.00,425.00,433.00,,-3.13,,1576976.80
2022-08-29,425.00,441.00,422.00,426.00,,-1.62,,2143860.90
2022-08-30,433.00,434.50,422.00,425.00,,-0.23,,1684559.00
2022-08-31,430.00,430.00,415.10,416.00,,-2.12,,1168475.20
2022-09-01,412.10,432.70,412.10,430.00,,3.37,,1860380.00
2022-09-02,428.00,432.00,414.00,418.00,,-0.5,,3366318.20
2022-09-04,425.00,426.30,412.20,420.00,,0.48,,3277139.70
2022-09-05,411.60,424.00,411.60,415.60,,-1.05,,840143.00
2022-09-06,413.00,421.20,400.00,405.00,,-2.55,,2355201.50
2022-09-07,397.00,410.00,397.00,407.00,,0.49,,808491.00
2022-09-08,401.00,422.00,401.00,419.00,,2.95,,931138.60
2022-09-11,410.70,419.10,402.70,412.00,,-1.67,,259957.70
2022-09-12,406.00,413.40,405.00,409.90,,-0.51,,774298.00
2022-09-13,402.10,421.20,402.10,413.00,,0.76,,596223.00
2022-09-14,415.00,433.50,415.00,424.00,,2.66,,1508037.60
2022-09-15,416.00,424.30,398.00,400.00,,-5.66,,4219355.70
2022-09-16,392.00,400.00,385.10,397.70,,-0.57,,741912.40
2022-09-18,397.70,397.70,380.60,392.00,,-1.43,,1150712.00
2022-09-20,384.20,399.50,370.30,399.50,,1.91,,323024.50
2022-09-21,406.90,414.90,388.00,398.80,,-0.18,,840164.00
2022-09-22,391.00,395.00,382.20,382.20,,-4.16,,968461.50
2022-09-25,375.00,375.00,352.00,352.00,,-7.9,,1509657.00
2022-09-27,346.00,366.00,346.00,361.00,,2.56,,833009.50
