Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,305.00,306.00,300.00,302.00,,-0.98,,549640.00
2014-08-04,307.00,305.00,305.00,305.00,,-0.65,,549640.00
2014-08-04,320.00,315.00,310.00,310.00,,-3.12,,549640.00
2014-08-04,310.00,307.00,298.00,307.00,,-0.97,,549640.00
2014-08-05,302.00,300.00,295.00,300.00,,-0.66,,44600.00
2014-08-06,300.00,301.00,296.00,301.00,,0.33,,314740.00
2014-08-07,301.00,300.00,295.00,300.00,,-0.33,,44500.00
2014-08-12,300.00,294.00,289.00,290.00,,-3.33,,69780.00
2014-08-13,290.00,290.00,285.00,290.00,,0,,346350.00
2014-08-14,290.00,295.00,285.00,295.00,,1.72,,391060.00
2014-08-18,295.00,296.00,290.00,291.00,,-1.36,,128060.00
2014-08-19,291.00,295.00,287.00,291.00,,0,,426600.00
2014-08-20,291.00,291.00,281.00,288.00,,-1.03,,343310.00
2014-08-21,288.00,283.00,278.00,283.00,,-1.74,,518180.00
2014-08-24,283.00,282.00,273.00,282.00,,-0.35,,656860.00
2014-08-25,282.00,277.00,277.00,277.00,,-1.77,,55400.00
2014-08-26,277.00,282.00,272.00,272.00,,-1.81,,222320.00
2014-08-27,272.00,275.00,267.00,275.00,,1.1,,201820.00
2014-08-28,275.00,280.00,270.00,280.00,,1.82,,35290.00
2014-08-31,280.00,275.00,270.00,270.00,,-3.57,,272750.00
2014-09-01,270.00,265.00,255.00,261.00,,-3.33,,582920.00
2014-09-03,261.00,257.00,252.00,252.00,,-3.45,,133710.00
2014-09-07,252.00,249.00,241.00,241.00,,-4.37,,24260.00
2014-09-09,241.00,237.00,233.00,233.00,,-3.32,,109790.00
2014-09-10,233.00,235.00,226.00,235.00,,0.86,,2081160.00
2014-09-11,235.00,244.00,235.00,240.00,,2.13,,1933860.00
2014-09-14,240.00,240.00,240.00,240.00,,0,,103200.00
2014-09-15,240.00,240.00,236.00,236.00,,-1.67,,43000.00
2014-09-16,236.00,235.00,231.00,235.00,,-0.42,,387420.00
2014-09-17,235.00,243.00,235.00,243.00,,3.4,,38440.00
2014-09-21,239.00,243.00,243.00,243.00,,1.67,,126360.00
2014-09-23,243.00,240.00,239.00,240.00,,-1.23,,23950.00
