Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-13,255.00,280.50,255.00,280.50,,0,,1107132.10
2023-08-14,286.10,308.50,286.10,308.50,,9.98,,2674381.40
2023-08-15,314.60,339.30,277.70,287.10,,-6.94,,16763567.00
2023-08-16,281.40,303.00,264.90,294.00,,2.4,,4428101.40
2023-08-17,288.20,291.30,271.50,287.00,,-2.38,,3097843.80
2023-08-20,282.00,285.90,267.10,272.60,,-5.02,,3154169.00
2023-08-21,269.00,272.00,261.00,261.00,,-4.26,,1814623.40
2023-08-22,260.00,264.90,253.00,257.00,,-1.53,,1512930.20
2023-08-23,257.00,269.20,253.00,266.00,,3.5,,3901181.50
2023-08-24,261.00,263.00,254.30,257.00,,-3.38,,1798541.00
2023-08-27,251.90,253.00,245.10,245.40,,-4.51,,1545899.70
2023-08-28,243.00,256.00,240.00,241.00,,-2.43,,1048832.00
2023-08-29,240.00,255.00,230.60,237.00,,-1.66,,2070844.00
2023-08-30,232.30,235.70,227.70,231.00,,-2.53,,2465814.70
2023-09-03,231.10,254.10,231.10,254.10,,10,,4311325.50
2023-09-04,250.00,279.50,245.00,279.50,,10,,6906827.70
2023-09-05,274.00,307.40,274.00,295.00,,5.55,,9263211.30
2023-09-07,289.10,317.00,284.00,317.00,,7.46,,7672766.30
2023-09-10,310.70,343.70,294.00,343.70,,8.42,,9940369.00
2023-09-11,336.90,378.00,310.90,378.00,,9.98,,11884785.10
2023-09-12,370.50,370.50,340.20,340.20,,-10,,4559858.30
2023-09-13,333.40,333.40,308.00,313.00,,-8,,9954421.00
2023-09-17,307.00,344.30,307.00,337.70,,7.89,,19743840.10
2023-09-18,331.00,371.40,331.00,371.40,,9.98,,11420670.10
2023-09-19,364.00,408.50,364.00,408.50,,9.99,,11718097.50
2023-09-21,400.40,449.30,395.00,449.30,,9.99,,26219770.10
2023-09-24,440.40,493.00,404.40,493.00,,9.73,,27623441.10
2023-09-25,483.20,483.20,443.70,443.70,,-10,,7321640.30
2023-09-26,434.90,434.90,399.40,419.00,,-5.57,,17548537.50
2023-09-27,410.70,414.20,395.00,402.10,,-4.03,,9506298.80
2023-10-01,394.10,399.00,367.60,370.00,,-7.98,,8987770.20
2023-10-02,362.70,399.00,350.00,394.90,,6.73,,6834952.90
2023-10-03,387.10,402.00,381.00,395.00,,0.03,,4439349.50
2023-10-04,398.00,410.00,372.00,388.10,,-1.75,,5313621.60
2023-10-05,395.00,395.00,377.10,380.00,,-2.09,,1564598.30
2023-10-08,380.00,387.00,357.00,359.00,,-5.53,,5493442.40
2023-10-09,352.00,392.60,352.00,375.00,,4.46,,5190708.50
2023-10-10,368.10,377.40,357.00,358.00,,-4.53,,3143374.20
2023-10-11,351.00,372.00,351.00,354.30,,-1.03,,2217606.90
2023-10-12,352.00,366.00,341.00,350.00,,-1.21,,2685576.50
2023-10-16,343.00,349.00,330.00,342.70,,-2.09,,3291050.10
2023-10-17,349.50,356.00,327.00,330.00,,-3.71,,2198934.50
2023-10-18,330.00,340.60,330.00,336.00,,1.82,,761749.00
2023-10-19,330.00,346.00,330.00,334.90,,-0.33,,1268959.30
2023-10-29,328.30,328.30,315.40,322.30,,-3.76,,1367978.00
2023-10-30,315.90,330.00,315.00,329.90,,2.36,,829595.00
2023-10-31,324.00,326.00,317.00,323.00,,-2.09,,650215.00
2023-11-01,317.00,329.00,317.00,319.00,,-1.24,,1014983.00
2023-11-02,325.00,325.00,310.00,316.00,,-0.94,,1328802.30
2023-11-05,309.70,317.00,300.30,317.00,,0.32,,808172.50
2023-11-06,311.30,323.10,311.30,316.30,,-0.22,,705136.50
2023-11-07,316.00,328.00,310.30,320.00,,1.17,,836995.80
2023-11-08,320.00,326.00,311.10,320.00,,0,,484176.20
2023-11-09,315.00,319.00,307.80,308.70,,-3.53,,924799.50
