Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-07-17,366.10,402.70,366.10,402.70,,10,,235056.60
2025-07-20,401.50,442.90,401.50,442.90,,9.98,,246813.90
2025-07-21,451.70,487.10,451.70,487.10,,9.98,,247527.00
2025-07-22,496.80,535.80,496.80,535.80,,10,,368744.00
2025-07-23,529.30,589.30,529.30,589.30,,9.99,,428210.00
2025-07-24,595.30,648.20,595.30,648.20,,9.99,,691074.20
2025-07-27,661.10,713.00,661.10,713.00,,10,,995368.00
2025-07-28,715.00,784.30,715.00,784.30,,10,,955108.90
2025-07-29,799.90,862.70,799.90,862.70,,10,,1488416.00
2025-07-30,862.00,948.90,862.00,948.90,,9.99,,2256738.00
2025-07-31,967.80,1043.70,967.80,1043.70,,9.99,,16431760.40
2025-08-03,1064.50,1148.00,1064.50,1148.00,,9.99,,46025652.00
2025-08-04,1170.90,1262.80,1033.20,1033.20,,-10,,300937303.80
2025-08-05,1012.60,1025.00,930.00,957.27,,-7.35,,370020402.40
2025-08-06,940.00,1052.90,940.00,1052.90,,9.99,,105775538.80
2025-08-07,1073.90,1140.00,1010.00,1052.64,,-0.02,,135583091.40
2025-08-11,1031.60,1031.60,975.00,979.04,,-6.99,,164943217.00
2025-08-12,960.00,987.00,959.50,967.78,,-1.15,,65346554.30
2025-08-13,950.00,997.00,950.00,962.35,,-0.56,,43384554.70
2025-08-14,955.00,971.00,937.00,938.61,,-2.47,,66729576.10
2025-08-17,920.00,930.00,880.10,883.45,,-5.88,,99830222.90
2025-08-18,883.00,905.00,870.00,877.67,,-0.65,,43091657.20
2025-08-19,870.00,902.70,870.00,891.12,,1.53,,29474422.60
2025-08-20,873.30,899.00,873.30,884.04,,-0.79,,24186923.50
2025-08-21,895.00,895.00,871.40,874.34,,-1.1,,29529519.80
2025-08-24,870.50,885.00,860.00,861.50,,-1.47,,35722006.20
2025-08-25,852.10,862.00,846.20,853.32,,-0.95,,27952318.10
2025-08-26,850.00,915.00,850.00,881.91,,3.35,,27416950.80
2025-08-27,880.00,897.50,879.00,889.20,,0.83,,25901092.20
2025-08-28,879.00,896.00,868.00,869.92,,-2.17,,26603472.00
2025-08-31,865.00,870.00,850.00,853.49,,-1.89,,32297580.70
2025-09-01,850.00,850.00,840.10,846.72,,-0.79,,20406206.70
2025-09-02,846.00,856.00,830.00,830.92,,-1.87,,22757275.60
2025-09-03,825.10,830.00,811.00,811.48,,-2.34,,27358513.30
2025-09-04,800.00,820.00,792.10,796.88,,-1.8,,24399036.00
2025-09-07,800.00,813.00,788.20,791.07,,-0.73,,16656101.10
2025-09-08,791.20,796.00,766.50,769.31,,-2.75,,22405251.40
2025-09-18,754.00,754.00,692.40,692.40,,-10,,3207317.70
2025-09-21,678.60,760.00,678.60,745.42,,7.66,,26748907.20
2025-09-23,730.60,772.00,730.60,768.00,,3.03,,18543679.90
2025-09-24,768.00,778.00,751.00,753.00,,-1.95,,14064544.10
2025-09-25,754.00,760.00,747.20,751.00,,-0.27,,9657820.20
2025-09-28,751.00,770.00,751.00,757.00,,0.8,,7625518.60
2025-10-07,750.00,755.00,736.00,736.00,,-2.77,,11847144.40
2025-10-08,731.00,735.50,714.00,716.00,,-2.72,,13465685.20
2025-10-09,716.00,758.00,716.00,725.00,,1.26,,12936631.90
2025-10-12,725.00,725.00,702.00,706.10,,-2.61,,11890660.40
2025-10-13,706.00,739.00,697.00,735.00,,4.09,,13793719.00
2025-10-14,725.00,738.90,712.50,716.20,,-2.56,,10275974.80
2025-10-15,717.00,719.90,701.00,701.00,,-2.12,,11091864.70
2025-10-16,700.00,714.00,690.00,695.00,,-0.86,,10866193.60
2025-10-19,700.00,705.00,692.00,703.90,,1.28,,6310290.90
2025-10-26,692.10,700.00,685.00,700.00,,-0.55,,8565613.10
2025-10-28,712.90,724.30,692.00,718.90,,2.7,,10929420.80
2025-10-29,733.20,735.00,710.00,710.00,,-1.24,,11453456.60
2025-10-30,720.00,731.00,703.30,727.90,,2.52,,13855850.50
2025-11-02,729.00,754.00,725.00,754.00,,3.59,,24876059.90
2025-11-03,754.00,765.00,736.30,743.00,,-1.46,,14930132.00
2025-11-04,743.00,750.00,723.00,728.00,,-2.02,,10298974.30
2025-11-05,728.00,734.00,718.00,732.90,,0.67,,6921505.00
2025-11-06,724.10,740.00,724.10,735.00,,0.29,,7145593.90
2025-11-09,737.00,738.00,709.70,714.00,,-2.86,,13710099.50
2025-11-10,714.00,727.90,705.00,714.00,,0,,8867864.00
2025-11-11,706.00,719.40,706.00,719.00,,0.7,,8023487.80
2025-11-12,707.10,719.90,707.00,707.10,,-1.66,,9811795.20
2025-11-13,706.00,716.00,705.00,707.00,,-0.01,,6882508.30
2025-11-16,706.00,708.00,701.70,707.00,,0,,8193395.70
2025-11-17,707.00,714.90,701.00,708.00,,0.14,,8059594.20
2025-11-18,709.10,720.00,709.10,711.00,,0.42,,15153031.40
2025-11-19,712.00,756.20,712.00,754.00,,6.05,,46516096.30
2025-11-20,754.00,795.60,743.00,763.00,,1.19,,44794403.20
2025-11-23,763.00,785.00,755.00,769.90,,0.9,,35646035.50
2025-11-24,760.10,778.60,755.10,767.00,,-0.38,,22092753.90
2025-11-25,782.30,782.30,754.10,762.00,,-0.65,,24142864.40
2025-11-26,751.20,774.90,751.20,758.00,,-0.52,,17992629.60
2025-11-27,758.00,776.90,757.00,773.00,,1.98,,22036068.40
2025-11-30,775.00,827.00,770.10,799.00,,3.36,,74655174.80
2025-12-01,804.00,809.00,786.10,799.00,,0,,27670686.60
