Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-07,268.00,294.80,268.00,294.80,,0,,5865241.20
2023-12-10,294.80,324.20,294.80,324.20,,9.97,,862858.00
2023-12-11,330.60,343.90,294.00,308.90,,-4.72,,18439771.30
2023-12-12,303.10,339.70,303.00,339.70,,9.97,,12505782.80
2023-12-13,339.00,369.20,337.20,359.00,,5.68,,7859310.00
2023-12-14,351.90,360.00,332.20,356.00,,-0.84,,12010142.60
2023-12-17,348.90,357.00,340.00,349.00,,-1.97,,10314237.30
2023-12-18,355.00,368.00,335.00,338.00,,-3.15,,12984040.80
2023-12-19,333.10,344.00,332.00,337.00,,-0.3,,6892134.00
2023-12-20,337.00,349.80,332.00,342.70,,1.69,,8574939.40
2023-12-21,342.20,351.90,334.00,349.00,,1.84,,9614558.80
2023-12-24,355.90,373.00,336.20,373.00,,6.88,,27586591.00
2023-12-27,380.40,410.30,380.40,410.00,,9.92,,22858305.60
2023-12-28,418.00,434.00,395.00,399.00,,-2.68,,15917106.20
2024-01-01,406.00,409.00,376.00,376.00,,-5.76,,21946217.60
2024-01-02,383.00,383.00,361.80,375.00,,-0.27,,10626331.40
2024-01-03,370.00,396.90,370.00,391.00,,4.27,,9338406.30
2024-01-04,396.80,406.00,382.50,385.00,,-1.53,,14759287.30
2024-01-07,377.30,392.70,371.00,381.00,,-1.04,,7893351.40
2024-01-08,378.00,419.10,378.00,419.10,,10,,24420753.00
2024-01-09,427.40,461.00,427.00,461.00,,10,,37219947.70
2024-01-10,470.20,490.00,462.70,474.00,,2.82,,31078133.90
2024-01-11,474.00,521.40,460.00,521.40,,10,,32737398.60
2024-01-14,531.80,573.50,530.00,573.50,,9.99,,13971554.00
2024-01-16,584.90,630.80,565.00,610.00,,6.36,,45006648.40
2024-01-17,622.00,623.00,562.00,579.00,,-5.08,,37977847.10
2024-01-18,567.50,589.00,560.00,576.10,,-0.5,,21456755.90
2024-01-21,565.00,621.00,565.00,580.00,,0.68,,14243137.60
2024-01-22,568.60,580.00,546.00,548.00,,-5.52,,11662526.70
2024-01-23,550.00,559.00,520.00,530.00,,-3.28,,9576574.00
2024-01-24,537.90,548.60,511.00,523.10,,-0.82,,9462960.00
2024-01-25,517.00,544.10,517.00,537.00,,2.66,,8352568.10
2024-01-28,526.30,540.00,522.00,540.00,,0.56,,10601043.00
2024-01-29,530.00,593.00,530.00,565.00,,4.63,,25374022.00
2024-01-30,570.00,587.50,560.00,582.00,,3.01,,20947870.00
2024-01-31,572.10,590.00,559.00,570.00,,-2.06,,14555145.00
2024-02-01,559.00,562.00,545.00,545.10,,-4.37,,9318594.70
2024-02-04,535.00,542.00,527.10,535.00,,-1.85,,3857836.30
2024-02-05,545.70,545.70,530.00,531.50,,-0.65,,4323924.00
2024-02-06,542.00,581.00,525.00,558.00,,4.99,,11661784.30
2024-02-07,552.00,560.00,546.90,546.90,,-1.99,,8995043.10
2024-02-08,550.00,600.70,550.00,600.70,,9.84,,56207644.40
2024-02-11,600.00,660.00,600.00,641.00,,6.71,,56677820.50
2024-02-12,641.00,641.00,615.00,630.00,,-1.72,,37466054.60
2024-02-13,618.00,626.00,596.00,610.00,,-3.17,,26563358.70
2024-02-14,597.80,608.00,586.00,590.00,,-3.28,,17527453.30
2024-02-15,579.00,606.00,579.00,597.00,,1.19,,13215877.50
2024-02-18,585.10,596.80,566.00,576.00,,-3.52,,11330212.90
2024-02-20,565.10,611.70,565.10,595.60,,3.4,,12171369.60
2024-02-21,603.00,603.00,568.40,570.40,,-4.23,,6465151.30
2024-02-22,581.50,604.00,559.00,560.00,,-1.82,,10143211.20
2024-02-25,558.00,568.00,541.50,541.50,,-3.3,,13134288.30
2024-02-26,530.70,563.30,530.70,548.70,,1.33,,3763437.80
2024-02-27,559.60,570.00,537.00,543.00,,-1.04,,6418454.40
2024-02-28,532.20,564.00,525.00,535.00,,-1.47,,7068586.00
2024-02-29,545.00,545.00,506.00,506.10,,-5.4,,9083286.10
2024-03-03,496.00,515.00,496.00,512.00,,1.17,,5197998.50
