Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-07-17,518.90,538.40,499.20,538.40,,9.99,,1363372.30
2023-07-18,545.00,592.20,545.00,592.20,,9.99,,4528364.20
2023-07-19,604.00,651.40,604.00,631.00,,6.55,,235745457.30
2023-07-20,643.40,643.40,620.00,621.00,,-1.58,,59458872.80
2023-07-23,625.00,642.00,616.20,640.00,,3.06,,69691514.80
2023-07-24,644.00,644.00,625.10,632.30,,-1.2,,54857493.40
2023-07-25,638.00,638.00,626.20,627.20,,-0.81,,33977320.70
2023-07-26,627.20,632.60,620.00,620.00,,-1.15,,17249931.60
2023-07-27,628.00,628.00,612.50,613.00,,-1.13,,22337221.40
2023-07-30,623.00,623.00,592.00,602.00,,-1.79,,30032415.10
2023-07-31,602.00,612.50,595.00,602.00,,0,,17379337.80
2023-08-01,608.00,608.00,581.00,585.50,,-2.74,,16718499.10
2023-08-02,597.00,597.00,573.00,588.00,,0.43,,16178470.70
2023-08-03,580.10,586.50,580.00,584.00,,-0.68,,10450671.30
2023-08-06,575.00,583.80,560.00,565.00,,-3.25,,8512607.60
2023-08-07,564.00,575.00,553.00,569.00,,0.71,,10843845.40
2023-08-08,569.00,575.00,558.00,564.70,,-0.76,,10133610.80
2023-08-09,554.00,580.00,554.00,580.00,,2.71,,16569241.60
2023-08-10,582.00,605.00,573.00,597.10,,2.95,,31847974.50
2023-08-13,594.00,614.00,590.00,609.00,,1.99,,27313839.10
2023-08-14,621.00,621.00,603.10,606.90,,-0.34,,25341888.40
2023-08-15,606.90,609.50,590.00,592.00,,-2.46,,20610434.30
2023-08-16,589.00,592.00,580.00,584.80,,-1.22,,23458095.30
2023-08-17,595.00,598.00,588.00,588.20,,0.58,,13198880.30
2023-08-20,592.00,593.00,576.30,576.30,,-2.02,,12236266.60
2023-08-21,580.00,585.00,570.00,573.00,,-0.57,,30906132.60
2023-08-22,584.00,584.00,566.00,582.90,,1.73,,54193949.00
2023-08-23,594.50,608.00,585.00,604.00,,3.62,,29297830.20
2023-08-24,610.00,610.00,584.00,596.00,,-1.32,,25726551.80
2023-08-27,600.00,600.00,578.00,580.00,,-2.68,,24960541.30
2023-08-28,588.00,588.00,577.00,577.00,,-0.52,,14705465.10
2023-08-29,588.00,599.70,573.00,580.00,,0.52,,11818206.90
2023-08-30,583.00,588.90,577.50,580.00,,0,,19588859.90
2023-09-03,580.00,580.00,566.20,569.00,,-1.9,,14695439.20
2023-09-04,577.90,577.90,560.00,569.90,,0.16,,13075160.00
2023-09-05,573.90,574.00,563.00,563.10,,-1.19,,7148627.00
2023-09-07,556.70,567.00,555.10,556.10,,-1.24,,9091301.10
2023-09-10,557.00,566.90,554.10,561.00,,0.88,,6504785.80
2023-09-11,561.10,584.00,561.10,580.00,,3.39,,14593113.60
2023-09-12,577.00,578.00,565.00,569.90,,-1.74,,12069783.80
2023-09-13,569.90,590.00,566.10,587.00,,3,,15451517.80
2023-09-17,575.50,580.00,565.00,566.00,,-3.58,,16762575.00
2023-09-18,566.00,580.00,563.00,568.30,,0.41,,3739060.90
2023-09-19,568.30,580.00,565.10,577.80,,1.67,,4457930.90
2023-09-21,583.00,597.00,583.00,587.30,,1.64,,22940435.90
2023-09-24,587.30,594.00,575.60,584.00,,-0.56,,16018746.00
2023-09-25,594.90,594.90,568.00,576.50,,-1.28,,4566396.80
2023-09-26,588.00,589.00,578.00,585.10,,1.49,,13289141.60
2023-09-27,580.00,585.00,569.00,575.00,,-1.73,,8618588.40
2023-10-01,563.60,569.00,560.00,564.00,,-1.91,,7087034.40
2023-10-02,560.30,567.00,557.00,565.00,,0.18,,6811285.90
2023-10-03,561.00,563.90,555.10,557.00,,-1.42,,5697905.70
2023-10-04,555.00,567.00,555.00,563.90,,1.24,,4322144.80
2023-10-05,563.90,565.00,556.10,557.00,,-1.22,,5975191.20
2023-10-08,547.00,556.00,545.00,548.00,,-1.62,,7010361.60
2023-10-09,548.00,548.00,539.40,540.00,,-1.46,,4386905.90
2023-10-10,550.00,550.00,516.00,517.00,,-4.26,,8513340.30
2023-10-11,507.00,537.00,497.00,518.10,,0.21,,4176529.20
2023-10-12,514.00,528.40,510.50,514.00,,-0.79,,6545460.80
2023-10-16,505.00,524.00,505.00,512.00,,-0.39,,4267187.30
2023-10-17,522.20,530.00,505.10,506.10,,-1.15,,3457766.60
2023-10-18,512.60,522.00,512.00,516.00,,1.96,,2057377.20
2023-10-19,516.00,524.90,509.60,513.00,,-0.58,,1474048.30
2023-10-29,503.00,503.00,490.00,494.50,,-3.61,,5111168.90
2023-10-30,494.50,504.00,494.50,501.00,,1.31,,2072238.00
2023-10-31,501.00,505.70,493.10,493.10,,-1.58,,916753.90
2023-11-01,495.10,498.00,489.00,489.30,,-0.77,,2749489.60
2023-11-02,489.00,490.00,483.40,485.00,,-0.88,,1714387.10
2023-11-05,480.00,485.50,474.10,480.00,,-1.03,,2574574.60
2023-11-06,480.00,496.90,470.50,496.50,,3.44,,3326522.40
2023-11-07,506.00,506.00,490.00,499.80,,0.66,,3463867.80
2023-11-08,509.70,509.70,491.00,491.00,,-1.76,,1372923.60
2023-11-09,500.00,500.00,488.00,490.00,,-0.2,,1680407.00
2023-11-20,491.00,510.00,491.00,510.00,,4.08,,8110980.90
2023-11-21,515.00,515.00,491.40,492.00,,-3.53,,3200545.10
2023-11-22,500.00,518.00,490.60,518.00,,5.28,,5045974.30
2023-11-23,510.00,537.90,498.10,524.10,,1.18,,3678293.50
2023-11-26,525.00,555.00,523.00,554.80,,5.86,,9927522.00
2023-11-27,561.00,561.00,544.50,547.00,,-1.41,,13033155.50
2023-11-28,548.00,555.00,540.30,552.00,,0.91,,6146511.30
2023-11-29,549.00,549.00,532.00,532.00,,-3.62,,4352839.40
2023-11-30,532.00,537.00,525.10,526.00,,-1.13,,3099866.90
2023-12-03,520.00,529.90,512.00,529.90,,0.74,,4003105.90
2023-12-04,535.00,540.00,524.30,530.00,,0.02,,3306001.40
2023-12-05,530.00,562.00,530.00,540.00,,1.89,,4656117.00
2023-12-06,547.00,562.00,546.00,561.00,,3.89,,13053672.50
2023-12-07,561.00,580.00,556.70,580.00,,3.39,,40052347.40
2023-12-10,591.60,615.00,591.60,610.00,,5.17,,3265200.00
2023-12-11,610.00,620.00,590.00,610.00,,0,,47522786.90
2023-12-12,619.00,628.00,610.00,620.00,,1.64,,29460352.40
2023-12-13,620.00,625.00,596.10,607.00,,-2.1,,16695584.30
2023-12-14,600.00,605.00,595.00,601.10,,-0.97,,23209477.10
2023-12-17,589.10,609.00,589.10,608.80,,1.28,,15912355.50
2023-12-18,620.00,620.00,601.00,610.00,,0.2,,27263392.60
2023-12-19,608.00,628.00,600.10,627.00,,2.79,,33639845.40
2023-12-20,627.00,631.50,610.00,620.00,,-1.12,,32564873.20
2023-12-21,615.00,621.00,601.30,608.00,,-1.94,,18303422.30
2023-12-24,600.50,620.00,587.00,604.00,,-0.66,,32683367.00
2023-12-27,597.00,628.00,597.00,615.00,,1.82,,39636463.20
2023-12-28,620.00,648.70,614.00,638.10,,3.76,,66264917.00
2024-01-01,638.10,664.00,638.10,650.00,,1.86,,48077984.70
2024-01-02,648.90,648.90,625.00,626.00,,-3.69,,27430239.70
2024-01-03,638.00,642.60,622.00,642.60,,2.65,,28833714.90
2024-01-04,650.00,652.00,635.00,635.00,,-1.18,,24896214.40
2024-01-07,635.00,640.00,625.00,625.00,,-1.57,,41422398.00
2024-01-08,637.50,643.00,627.00,640.00,,2.4,,18059193.10
2024-01-09,649.80,655.00,640.00,641.10,,0.17,,31762661.10
2024-01-10,653.80,664.00,641.10,641.10,,0,,23848850.40
2024-01-11,648.00,648.00,625.00,626.00,,-2.36,,12435742.00
2024-01-14,628.20,645.00,626.00,634.00,,1.28,,8519232.50
2024-01-16,635.00,684.40,625.00,680.00,,7.26,,64115573.20
2024-01-17,680.00,696.00,656.60,664.90,,-2.22,,35290551.30
2024-01-18,652.00,668.00,648.00,656.00,,-1.34,,28532542.10
2024-01-21,669.10,669.10,635.00,642.00,,-2.13,,29337025.10
2024-01-22,642.30,653.00,625.60,627.00,,-2.34,,24889395.20
2024-01-23,636.00,640.00,628.00,632.90,,0.94,,16939789.70
2024-01-24,645.00,645.00,626.00,627.00,,-1.1,,8009861.80
