Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-05-27,1211.00,1259.90,1211.00,1259.90,,0,,49171.00
2022-05-30,1257.70,1363.60,1257.70,1363.60,,8.23,,90771.00
2022-05-31,1363.60,1475.80,1363.60,1475.80,,8.23,,71263.60
2022-06-01,1505.30,1535.40,1505.30,1535.40,,4.04,,45524.00
2022-06-02,1566.10,1597.40,1566.10,1597.40,,4.04,,31635.00
2022-06-03,1603.30,1757.10,1603.30,1757.10,,10,,101003.00
2022-06-06,1792.20,1932.80,1792.20,1932.80,,10,,247816.00
2022-06-07,1971.40,2126.00,1971.40,2126.00,,10,,400152.00
2022-06-08,2168.50,2338.60,2168.50,2338.60,,10,,206304.00
2022-06-09,2385.30,2572.40,2385.30,2572.40,,10,,406999.00
2022-06-10,2572.00,2829.60,2572.00,2829.60,,10,,5223049.20
2022-06-13,2886.10,3112.50,2700.00,2702.00,,-4.51,,56364035.00
2022-06-14,2740.00,2740.00,2560.00,2564.00,,-5.11,,28760198.20
2022-06-15,2565.00,2565.00,2425.00,2508.20,,-2.18,,14031019.50
2022-06-16,2460.00,2550.00,2460.00,2550.00,,1.67,,8256605.60
2022-06-17,2599.90,2601.00,2526.30,2545.00,,-0.2,,4391421.20
2022-06-19,2530.00,2550.00,2490.10,2502.00,,-1.69,,5591690.00
2022-06-20,2455.00,2500.00,2405.10,2415.00,,-3.48,,7799295.60
2022-06-21,2400.00,2510.00,2400.00,2499.00,,3.48,,5742481.50
2022-06-22,2461.00,2476.00,2420.10,2465.00,,-1.36,,3742084.20
2022-06-23,2418.00,2430.00,2380.00,2386.00,,-3.2,,6123800.00
2022-06-24,2360.00,2478.60,2343.00,2428.00,,1.76,,2055319.00
2022-06-26,2476.50,2574.00,2445.00,2540.00,,4.61,,7511151.50
2022-06-27,2565.00,2590.00,2470.00,2496.10,,-1.73,,6555563.90
2022-06-28,2461.00,2499.90,2447.00,2485.00,,-0.44,,2802359.00
2022-06-29,2435.40,2550.00,2435.40,2525.00,,1.61,,4239658.00
2022-06-30,2525.00,2697.00,2525.00,2645.00,,4.75,,8366140.00
2022-07-01,2696.00,2697.00,2598.00,2656.00,,0.42,,3922518.50
2022-07-03,2650.00,2799.00,2601.90,2799.00,,5.38,,7148651.00
2022-07-04,2854.90,2998.80,2742.00,2750.00,,-1.75,,14040845.00
2022-07-05,2695.00,2906.70,2645.00,2710.00,,-1.45,,6988640.00
2022-07-06,2730.00,2758.90,2663.00,2730.00,,0.74,,5411855.40
2022-07-07,2730.00,2849.90,2702.00,2716.00,,-0.51,,4086079.00
2022-07-08,2770.00,2770.00,2670.70,2675.00,,-1.51,,2541877.00
2022-07-11,2625.00,2625.00,2572.00,2595.00,,-2.99,,4762202.00
2022-07-12,2600.00,2630.00,2560.00,2620.00,,0.96,,3177854.30
2022-07-13,2660.00,2686.90,2620.00,2686.90,,2.55,,3787064.80
2022-07-14,2700.00,2740.00,2664.00,2690.00,,0.12,,4691962.00
