Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-09-25,293.00,293.00,263.70,264.00,,0,,31625318.60
2023-09-26,258.80,276.50,258.00,275.00,,4.17,,16871595.20
2023-09-27,275.00,301.50,274.00,293.00,,6.55,,10831769.90
2023-10-01,290.00,290.00,263.80,266.00,,-9.22,,18419323.00
2023-10-02,260.70,280.00,252.00,275.00,,3.38,,11075939.70
2023-10-03,270.00,270.80,250.30,262.00,,-4.73,,7830033.80
2023-10-04,267.20,268.00,257.10,261.10,,-0.34,,7113099.30
2023-10-05,265.00,270.00,255.00,258.00,,-1.19,,5670646.50
2023-10-08,262.10,271.90,252.10,263.00,,1.94,,9698184.60
2023-10-09,260.00,285.60,258.10,273.00,,3.8,,17141655.10
2023-10-10,273.00,290.00,271.00,289.00,,5.86,,16014874.70
2023-10-11,290.00,300.00,282.30,293.10,,1.42,,16850292.70
2023-10-12,288.00,298.90,279.00,290.00,,-1.06,,15260363.00
2023-10-16,284.20,284.20,268.70,269.30,,-7.14,,6335064.80
2023-10-17,267.00,279.90,264.00,266.60,,-1,,8925633.80
2023-10-18,266.00,279.90,263.30,274.90,,3.11,,6587397.00
2023-10-19,272.00,277.40,263.80,271.00,,-1.42,,3657363.90
2023-10-29,267.00,284.20,262.00,265.00,,-2.21,,6238683.50
2023-10-30,270.00,291.50,261.20,271.00,,2.26,,3096246.20
2023-10-31,270.00,276.40,261.00,268.00,,-1.11,,1923418.00
2023-11-01,268.70,289.80,256.10,262.70,,-1.98,,3081113.00
2023-11-02,257.60,260.20,252.50,257.00,,-2.17,,4566926.50
2023-11-05,252.40,254.00,247.40,249.50,,-2.92,,4347556.60
2023-11-06,245.30,258.00,245.30,254.00,,1.8,,2500666.00
2023-11-07,257.00,259.00,242.00,249.80,,-1.65,,7597080.10
2023-11-08,244.90,250.00,241.10,247.00,,-1.12,,5785213.00
2023-11-09,242.10,246.00,238.20,240.00,,-2.83,,4235482.00
2023-11-20,236.80,244.80,231.00,236.90,,-1.29,,3291010.50
2023-11-21,232.20,232.20,221.10,225.00,,-5.02,,3635758.20
2023-11-22,220.50,229.50,217.10,223.00,,-0.89,,2799558.00
2023-11-23,227.00,236.50,219.00,236.50,,6.05,,2537844.50
2023-11-26,236.50,243.00,227.40,241.00,,1.9,,5305759.50
2023-11-27,245.00,245.00,234.00,236.00,,-2.07,,2281466.40
2023-11-28,236.00,240.90,228.60,240.90,,2.08,,5695453.90
2023-11-29,237.00,239.00,228.00,232.00,,-3.69,,2705203.00
2023-11-30,227.40,233.50,222.00,224.00,,-3.45,,3978110.00
2023-12-03,228.00,230.50,219.70,223.00,,-0.45,,2532814.00
2023-12-04,220.80,229.00,220.80,224.10,,0.49,,2577447.30
2023-12-05,222.00,231.90,222.00,226.00,,0.85,,3364315.00
2023-12-06,222.10,226.00,222.10,224.00,,-0.88,,1261392.00
2023-12-07,226.50,232.80,223.00,227.00,,1.34,,5265500.40
2023-12-10,231.50,247.00,231.50,247.00,,8.81,,313476.00
2023-12-11,250.00,250.00,232.40,244.90,,-0.85,,8301165.60
2023-12-12,248.00,251.00,233.80,247.00,,0.86,,10085911.40
2023-12-13,247.00,267.30,247.00,249.00,,0.81,,12599766.50
2023-12-14,245.00,264.00,245.00,260.00,,4.42,,7290064.90
2023-12-17,255.00,278.90,250.00,278.90,,7.27,,14334560.50
2023-12-18,281.00,282.60,264.00,269.80,,-3.26,,16588998.90
2023-12-19,270.00,272.00,260.00,270.00,,0.07,,5728248.80
2023-12-20,270.00,279.40,262.00,269.80,,-0.07,,10322416.00
2023-12-21,275.10,275.10,256.00,256.00,,-5.11,,9876416.40
2023-12-24,256.00,271.00,256.00,261.00,,1.95,,12940587.50
2023-12-27,262.00,279.00,262.00,275.00,,5.36,,16378539.00
2023-12-28,280.00,299.00,265.00,296.50,,7.82,,28096125.30
2024-01-01,302.40,307.00,279.00,280.50,,-5.4,,17071016.30
2024-01-02,276.30,286.10,269.50,273.00,,-2.67,,12198457.80
2024-01-03,268.00,285.10,268.00,284.90,,4.36,,7430294.60
2024-01-04,279.30,293.60,279.30,280.00,,-1.72,,18675284.80
2024-01-07,278.00,296.00,278.00,282.00,,0.71,,14411485.70
2024-01-08,285.00,310.20,282.00,304.10,,7.84,,22992974.80
2024-01-09,304.10,324.00,304.10,306.00,,0.62,,24898227.00
2024-01-10,311.00,317.00,301.20,301.30,,-1.54,,14360618.30
2024-01-11,302.00,327.00,302.00,316.20,,4.95,,19104064.20
2024-01-14,322.50,337.00,320.20,328.00,,3.73,,14914380.00
2024-01-16,330.00,339.90,314.60,320.00,,-2.44,,27851418.60
2024-01-17,321.00,326.60,297.00,299.00,,-6.56,,20146191.60
2024-01-18,294.00,321.00,294.00,310.00,,3.68,,12683028.90
2024-01-21,305.00,336.00,305.00,313.60,,1.16,,30983611.70
2024-01-22,310.30,332.00,310.30,319.90,,2.01,,20518544.00
2024-01-23,321.00,327.40,314.00,318.50,,-0.44,,9224443.20
2024-01-24,313.10,320.00,302.90,308.00,,-3.3,,5824883.60
2024-01-25,303.80,314.10,298.00,299.00,,-2.92,,13208634.50
2024-01-28,303.00,315.00,297.00,308.00,,3.01,,8809809.90
2024-01-29,314.00,317.00,304.00,312.00,,1.3,,11311133.80
2024-01-30,312.00,328.00,311.00,322.80,,3.46,,13732290.60
2024-01-31,322.80,329.00,307.10,312.80,,-3.1,,8437630.20
2024-02-01,307.10,310.00,302.10,304.00,,-2.81,,6423674.00
2024-02-04,304.00,309.00,298.10,303.10,,-0.3,,5780282.60
2024-02-05,300.00,311.00,299.90,309.00,,1.95,,6009308.80
2024-02-06,309.00,310.00,304.80,309.40,,0.13,,2715476.40
2024-02-07,309.40,319.00,306.50,314.10,,1.52,,11982079.10
2024-02-08,320.00,338.40,311.00,333.00,,6.02,,37414707.50
2024-02-11,339.60,346.90,334.20,340.00,,2.1,,22951396.20
2024-02-12,346.80,356.80,331.00,355.00,,4.41,,39467185.70
2024-02-13,350.00,371.00,343.00,356.00,,0.28,,33672967.50
2024-02-14,349.00,360.00,343.10,352.00,,-1.12,,18554785.20
2024-02-15,345.50,356.00,345.10,353.00,,0.28,,22058414.70
2024-02-18,350.00,350.00,334.00,334.20,,-5.33,,16501481.00
2024-02-20,332.00,340.00,331.50,333.00,,-0.36,,12010862.00
2024-02-21,339.00,339.60,329.00,334.00,,0.3,,6390732.00
2024-02-22,328.10,335.20,320.00,330.00,,-1.2,,13606447.40
2024-02-25,328.00,330.00,315.00,324.00,,-1.82,,8881452.50
2024-02-26,320.00,328.00,314.20,320.20,,-1.17,,6514792.00
2024-02-27,320.20,332.40,313.90,325.00,,1.5,,3904904.40
2024-02-28,325.00,331.50,317.00,321.00,,-1.23,,7449084.90
2024-02-29,318.00,321.00,305.00,309.00,,-3.74,,9429864.00
2024-03-03,303.60,315.00,300.00,310.00,,0.32,,5719425.20
2024-03-04,316.20,339.10,316.20,339.10,,9.39,,840224.00
2024-03-05,345.80,345.80,318.00,318.90,,-5.96,,8564829.80
2024-03-06,318.00,332.00,312.50,331.50,,3.95,,9812337.00
