Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-05-30,305.00,329.00,305.00,329.00,,0,,15850.00
2017-05-31,329.00,361.00,335.00,361.00,,9.73,,63296.00
2017-06-01,368.00,397.00,368.00,397.00,,9.97,,1611203.00
2017-06-04,404.00,434.00,384.00,423.00,,6.55,,19694451.00
2017-06-05,415.00,421.00,407.00,420.00,,-0.95,,8855592.00
2017-06-06,425.00,425.00,411.00,417.00,,-0.48,,10632858.00
2017-06-07,420.00,420.00,408.00,408.00,,-2.16,,5702257.00
2017-06-08,400.00,412.00,399.00,404.00,,-0.98,,10718316.00
2017-06-11,400.00,401.00,391.00,392.00,,-3.22,,2263772.00
2017-06-12,390.00,391.00,385.00,386.00,,-1.28,,2796595.00
2017-06-13,392.00,395.00,380.00,391.00,,1.3,,2087554.00
2017-06-14,395.00,390.00,385.00,388.00,,-0.77,,2824040.00
2017-06-15,384.00,396.00,382.00,382.00,,-1.55,,3189949.00
2017-06-18,382.00,385.00,375.00,378.00,,-1.05,,1690235.00
2017-06-19,380.00,380.00,362.00,364.00,,-3.97,,1531826.00
2017-06-20,356.00,374.00,356.00,374.00,,3.03,,899016.00
2017-06-21,374.00,374.00,363.00,369.00,,-1.34,,617975.00
2017-06-22,366.00,372.00,365.00,367.00,,-0.54,,649207.00
2017-06-25,368.00,375.00,360.00,369.00,,0.54,,861490.00
2017-06-27,364.00,367.00,360.00,360.00,,-2.44,,1269888.00
2017-06-28,365.00,365.00,358.00,359.00,,-0.28,,975043.00
2017-07-02,353.00,353.00,345.00,346.00,,-3.62,,849671.00
2017-07-03,352.00,353.00,345.00,345.00,,-0.29,,1421688.00
2017-07-04,348.00,350.00,341.00,342.00,,-1.16,,618904.00
2017-07-05,341.00,344.00,336.00,340.00,,-0.29,,1285437.00
2017-07-06,341.00,352.00,341.00,342.00,,0.59,,724732.00
2017-07-09,342.00,344.00,336.00,337.00,,-1.46,,1032826.00
2017-07-10,331.00,338.00,331.00,331.00,,-1.78,,1914778.00
2017-07-11,332.00,344.00,330.00,339.00,,2.42,,1682074.00
2017-07-12,340.00,354.00,334.00,352.00,,3.83,,1442171.00
2017-07-13,346.00,347.00,341.00,341.00,,-3.12,,1031846.00
2017-07-16,341.00,341.00,335.00,336.00,,-1.47,,462056.00
2017-07-17,333.00,345.00,333.00,340.00,,1.19,,641270.00
2017-07-20,344.00,344.00,333.00,340.00,,-1.16,,1809377.00
2017-07-23,334.00,340.00,334.00,336.00,,-1.18,,866698.00
2017-07-24,340.00,340.00,334.00,337.00,,0.3,,672194.00
2017-07-25,340.00,340.00,335.00,337.00,,0,,503971.00
2017-07-26,340.00,345.00,340.00,345.00,,2.37,,2159088.00
2017-07-27,339.00,350.00,330.00,344.00,,-0.29,,679539.00
2017-07-30,340.00,344.00,335.00,337.00,,-2.03,,786398.00
2017-07-31,335.00,340.00,332.00,335.00,,0.3,,1980523.00
2017-08-01,340.00,360.00,339.00,360.00,,6.51,,1789939.00
2017-08-02,353.00,353.00,335.00,341.00,,-5.28,,1287539.00
2017-08-03,341.00,349.00,337.00,349.00,,2.35,,648294.00
