Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-12-20,296.00,325.00,296.00,325.00,,9.8,,5857700.00
2020-12-21,340.00,340.00,293.00,293.00,,-9.85,,3252100.00
2020-12-22,280.00,280.00,264.00,264.00,,-9.9,,363590.00
2020-12-23,259.00,259.00,238.00,238.00,,-9.85,,1485360.00
2020-12-24,233.00,241.00,215.00,223.00,,-6.3,,2995720.00
2020-12-27,219.00,224.00,215.00,216.00,,-3.14,,2063074.00
2020-12-28,220.00,220.00,208.00,212.00,,-1.85,,1469730.00
2020-12-29,208.00,212.00,204.00,204.00,,-3.77,,1153380.00
2020-12-30,204.00,212.00,200.00,212.00,,3.92,,975433.00
2020-12-31,215.00,222.00,204.00,219.00,,3.3,,1200620.00
2021-01-03,225.00,240.00,206.00,224.00,,2.28,,1147238.00
2021-01-04,220.00,226.00,212.00,222.00,,-0.89,,840160.00
2021-01-05,218.00,240.00,211.00,232.00,,4.5,,987010.00
2021-01-06,232.00,244.00,220.00,230.00,,-0.86,,831240.00
2021-01-07,226.00,230.00,222.00,230.00,,0,,2487190.00
2021-01-10,241.00,241.00,218.00,224.00,,-2.61,,727390.00
2021-01-11,224.00,230.00,218.00,219.00,,-2.23,,497770.00
2021-01-12,215.00,227.00,215.00,226.00,,3.2,,1161270.00
2021-01-13,227.00,238.00,218.00,225.00,,-0.44,,2589928.00
2021-01-17,236.00,236.00,221.00,222.00,,-1.33,,398630.00
2021-01-18,223.00,224.00,220.00,221.00,,-0.45,,308400.00
2021-01-19,219.00,222.00,216.00,216.00,,-2.26,,1195033.00
2021-01-20,218.00,230.00,216.00,222.00,,2.78,,943042.00
2021-01-21,233.00,244.00,220.00,244.00,,9.91,,595024.00
2021-01-24,256.00,256.00,222.00,237.00,,-2.87,,2438721.00
2021-01-25,248.00,248.00,228.00,240.00,,1.27,,1323078.00
2021-01-26,240.00,247.00,225.00,234.00,,-2.5,,974826.00
2021-01-27,230.00,238.00,226.00,234.00,,0,,1107324.00
2021-01-28,232.00,248.00,224.00,248.00,,5.98,,703300.00
2021-01-31,244.00,248.00,224.00,229.00,,-7.66,,1308321.00
2021-02-01,226.00,242.00,226.00,236.00,,3.06,,1531850.00
2021-02-02,232.00,241.00,228.00,237.00,,0.42,,3034968.00
2021-02-02,232.00,241.00,228.00,238.00,,0.85,,3034968.00
2021-02-03,235.00,257.00,235.00,248.00,,4.64,,4828562.00
2021-02-04,244.00,248.00,240.00,244.00,,-1.61,,3090425.00
2021-02-07,232.00,252.00,232.00,249.00,,2.05,,3327032.00
2021-02-08,237.00,249.00,237.00,242.00,,-2.81,,1361250.00
2021-02-09,239.00,249.00,237.00,238.00,,-1.65,,1051190.00
2021-02-10,235.00,242.00,235.00,242.00,,1.68,,1033390.00
2021-02-11,246.00,248.00,232.00,242.00,,0,,1254510.00
2021-02-14,238.00,240.00,230.00,233.00,,-3.72,,440695.00
2021-02-15,235.00,248.00,229.00,243.00,,4.29,,996176.00
2021-02-16,239.00,240.00,235.00,235.00,,-3.29,,647570.00
2021-02-17,224.00,236.00,224.00,234.00,,-0.43,,1608460.00
2021-02-18,230.00,244.00,230.00,240.00,,2.56,,628250.00
2021-02-21,240.00,244.00,236.00,237.00,,-1.25,,2678033.00
2021-02-22,226.00,255.00,226.00,250.00,,5.49,,5938670.00
2021-02-23,259.00,259.00,237.00,251.00,,0.4,,1638945.00
2021-02-24,246.00,249.00,239.00,240.00,,-4.38,,1024830.00
2021-02-25,236.00,245.00,232.00,240.00,,0,,1841207.00
2021-02-28,236.00,236.00,226.00,231.00,,-3.75,,1563980.00
2021-03-01,227.00,238.00,223.00,232.00,,0.43,,842945.00
2021-03-02,236.00,236.00,225.00,225.00,,-3.02,,1102315.00
2021-03-03,224.00,228.00,220.00,222.00,,-1.33,,1201785.00
2021-03-04,221.00,234.00,221.00,231.00,,4.05,,1603538.00
2021-03-07,230.00,235.00,222.00,232.00,,0.43,,1040130.00
2021-03-09,243.00,243.00,226.00,226.00,,-2.59,,1215938.00
2021-03-10,226.00,232.00,223.00,231.00,,2.21,,435603.00
2021-03-14,240.00,241.00,229.00,236.00,,2.16,,1818041.00
2021-03-15,236.00,240.00,229.00,231.00,,-2.12,,823750.00
2021-03-16,220.00,245.00,220.00,237.00,,2.6,,1677183.00
2021-03-17,248.00,260.00,230.00,260.00,,9.7,,5871491.00
2021-03-18,273.00,286.00,258.00,286.00,,10,,19229280.00
2021-03-21,300.00,314.00,279.00,314.00,,9.79,,9008559.00
2021-03-22,329.00,329.00,289.00,312.00,,-0.64,,5979802.00
2021-03-23,327.00,333.00,290.00,315.00,,0.96,,10712970.00
2021-03-24,309.00,323.00,297.00,317.00,,0.63,,3327707.00
2021-03-25,317.00,327.00,294.00,320.00,,0.95,,5597187.00
2021-03-29,314.00,339.00,302.00,338.00,,5.62,,3608672.00
2021-03-30,332.00,332.00,308.00,320.00,,-5.33,,4174970.00
2021-04-01,312.00,322.00,300.00,302.00,,-2.58,,3754116.00
2021-04-01,320.00,325.00,305.00,310.00,,-3.12,,3754116.00
2021-04-04,298.00,315.00,296.00,305.00,,0.99,,3566840.00
2021-04-05,315.00,315.00,287.00,300.00,,-1.64,,2006950.00
2021-04-06,295.00,330.00,294.00,330.00,,10,,2420043.00
2021-04-07,330.00,330.00,306.00,310.00,,-6.06,,5594953.00
2021-04-08,305.00,312.00,300.00,307.00,,-0.97,,2136553.00
2021-04-12,301.00,301.00,294.00,300.00,,-2.28,,4359315.00
2021-04-13,294.00,300.00,293.00,297.00,,-1,,2566485.00
2021-04-15,294.00,307.00,294.00,298.00,,0.34,,2666992.00
2021-04-18,293.00,299.00,292.00,293.00,,-1.68,,1671582.00
2021-04-19,288.00,306.00,288.00,291.00,,-0.68,,1076440.00
2021-04-20,288.00,299.00,287.00,296.00,,1.72,,2495850.00
2021-04-21,293.00,300.00,291.00,296.00,,0,,4658273.00
2021-04-22,301.00,301.00,290.00,297.00,,0.34,,866372.00
2021-04-25,296.00,296.00,282.00,285.00,,-4.04,,977004.00
2021-04-26,280.00,280.00,262.00,266.00,,-6.67,,2039130.00
2021-04-27,270.00,290.00,261.00,290.00,,9.02,,1557285.00
2021-04-28,285.00,288.00,279.00,282.00,,-2.76,,1376150.00
2021-04-29,277.00,310.00,273.00,287.00,,1.77,,1115680.00
2021-05-02,285.00,299.00,280.00,288.00,,0.35,,2435379.00
2021-05-03,284.00,292.00,284.00,285.00,,-1.04,,1586510.00
2021-05-04,280.00,300.00,280.00,293.00,,2.81,,5140116.00
2021-05-05,307.00,307.00,286.00,300.00,,2.39,,6404308.00
2021-05-06,300.00,301.00,291.00,301.00,,0.33,,3973496.00
2021-05-09,301.00,301.00,286.00,290.00,,-3.65,,1634204.00
2021-05-10,295.00,300.00,285.00,295.00,,1.72,,845305.00
2021-05-11,300.00,300.00,289.00,295.00,,0,,1007549.00
2021-05-12,291.00,313.00,291.00,305.00,,3.39,,5137234.00
2021-05-13,320.00,325.00,306.00,318.00,,4.26,,16543806.00
2021-05-16,324.00,325.00,312.00,312.00,,-1.89,,5245372.00
2021-05-17,308.00,325.00,308.00,325.00,,4.17,,7813202.00
2021-05-18,339.00,357.00,323.00,357.00,,9.85,,21401486.00
2021-05-19,370.00,391.00,345.00,385.00,,7.84,,16702987.00
2021-05-20,380.00,423.00,373.00,423.00,,9.87,,21656367.00
2021-05-23,423.00,465.00,401.00,465.00,,9.93,,17051928.00
2021-05-24,470.00,511.00,470.00,511.00,,9.89,,27789415.00
2021-05-25,536.00,555.00,492.00,520.00,,1.76,,17581746.00
2021-05-27,510.00,557.00,489.00,541.00,,4.04,,15250224.00
2021-05-30,568.00,568.00,507.00,520.00,,-3.88,,23101668.00
2021-05-31,510.00,555.00,490.00,495.00,,-4.81,,18002854.00
2021-06-01,500.00,500.00,490.00,502.00,,1.83,,10900669.00
2021-06-02,502.00,524.00,490.00,522.00,,3.98,,11474012.00
2021-06-03,530.00,541.00,506.00,541.00,,2.08,,16425962.00
2021-06-06,541.00,572.00,499.00,572.00,,5.73,,8855613.00
2021-06-07,550.00,579.00,519.00,579.00,,1.22,,40125915.00
2021-06-08,560.00,607.00,560.00,577.00,,-0.35,,28701883.00
2021-06-09,577.00,591.00,520.00,520.00,,-9.88,,22694905.00
2021-06-10,522.00,552.00,522.00,565.00,,7.31,,16932002.00
2021-06-13,556.00,575.00,544.00,549.00,,-3.36,,16961969.00
2021-06-14,524.00,575.00,524.00,529.00,,-3.64,,13314889.00
2021-06-15,522.00,542.00,505.00,509.00,,-3.78,,9739402.00
2021-06-16,499.00,509.00,475.00,480.00,,-5.7,,7612444.00
2021-06-17,480.00,499.00,470.00,493.00,,2.71,,3818950.00
2021-06-20,487.00,493.00,471.00,481.00,,-2.43,,3990402.00
2021-06-21,473.00,485.00,441.00,448.00,,-6.86,,3837230.00
2021-06-22,448.00,479.00,441.00,479.00,,6.92,,2908266.00
2021-06-23,485.00,485.00,450.00,459.00,,-4.18,,1996300.00
2021-06-24,468.00,468.00,434.00,455.00,,-0.87,,3802730.00
2021-06-27,455.00,492.00,441.00,488.00,,7.25,,8352477.00
2021-06-28,497.00,524.00,472.00,477.00,,-2.25,,2391460.00
2021-06-29,468.00,471.00,459.00,460.00,,-3.56,,1948585.00
2021-06-30,451.00,487.00,442.00,485.00,,5.43,,3621456.00
2021-07-01,476.00,517.00,475.00,505.00,,4.12,,13159616.00
2021-07-04,495.00,535.00,481.00,512.00,,1.39,,6040941.00
2021-07-05,502.00,515.00,484.00,493.00,,-3.71,,2414860.00
2021-07-06,500.00,512.00,455.00,482.00,,-2.23,,2006927.00
2021-07-07,490.00,499.00,441.00,457.00,,-5.19,,6649160.00
2021-07-08,460.00,474.00,450.00,455.00,,-0.44,,1353930.00
2021-07-11,464.00,474.00,446.00,459.00,,0.88,,5008975.00
2021-07-12,455.00,488.00,455.00,458.00,,-0.22,,6974040.00
2021-07-13,458.00,470.00,452.00,465.00,,1.53,,428920.00
2021-07-14,466.00,473.00,456.00,473.00,,1.72,,1040736.00
2021-07-15,480.00,488.00,460.00,475.00,,0.42,,6379205.00
2021-07-18,478.00,502.00,478.00,482.00,,1.47,,6035292.50
2021-07-19,490.00,499.80,477.00,494.00,,2.49,,6174524.00
2021-07-20,494.00,510.00,480.00,502.00,,1.62,,8209509.50
2021-07-22,512.00,521.00,492.00,504.00,,-1,,8759354.00
2021-07-25,494.10,524.00,494.10,509.10,,1.01,,9638073.50
2021-07-26,519.20,537.00,512.00,536.00,,5.28,,13481170.80
2021-07-27,536.00,589.60,536.00,589.00,,9.89,,39343299.90
2021-07-28,600.70,637.30,575.20,583.00,,-1.02,,16551570.50
2021-07-29,590.00,632.00,570.00,627.00,,7.55,,49496655.90
2021-08-01,639.50,680.00,639.50,670.00,,6.86,,25463120.00
2021-08-02,670.00,670.00,630.00,636.00,,-5.07,,27273616.00
2021-08-03,648.00,689.50,628.00,669.00,,5.19,,17749248.60
2021-08-04,682.30,735.00,670.00,685.50,,2.47,,23412969.00
2021-08-05,699.00,699.00,653.00,655.00,,-4.45,,26907136.00
2021-08-08,642.00,688.00,642.00,672.00,,2.44,,21517712.10
2021-08-09,685.00,720.00,680.00,700.00,,4.17,,30410728.00
2021-08-10,714.00,728.00,667.00,673.00,,-3.86,,26297628.30
2021-08-11,660.00,707.00,660.00,689.90,,2.51,,24820262.00
2021-08-12,689.90,714.00,676.20,681.50,,-1.22,,26078324.50
2021-08-15,668.00,681.30,640.00,668.00,,-1.98,,12552601.60
2021-08-16,655.00,720.00,645.00,699.00,,4.64,,16398803.00
2021-08-17,712.00,738.00,680.00,738.00,,5.58,,40079293.80
2021-08-18,752.70,811.00,752.00,780.00,,5.69,,30712128.10
2021-08-19,775.00,775.00,730.00,730.00,,-6.41,,19080184.70
2021-08-24,715.40,759.00,695.00,720.00,,-1.37,,21389066.50
2021-08-25,710.00,724.00,695.00,695.00,,-3.47,,10334303.00
2021-08-26,708.90,733.00,705.00,706.00,,1.58,,28498881.80
2021-08-29,706.00,720.00,668.00,680.00,,-3.68,,11093556.50
2021-08-31,666.50,680.00,654.00,655.00,,-3.68,,11635955.00
2021-09-01,656.00,694.00,654.00,660.00,,0.76,,6777877.60
2021-09-02,673.00,685.00,634.00,634.00,,-3.94,,12119944.00
2021-09-05,646.00,646.00,570.60,577.00,,-8.99,,7133805.00
2021-09-06,565.50,634.70,560.00,634.70,,10,,9287241.20
2021-09-07,640.00,647.00,621.00,635.00,,0.05,,9027617.00
2021-09-08,635.00,645.00,600.90,620.00,,-2.36,,5185885.00
2021-09-09,632.00,650.00,620.00,647.00,,4.35,,8450011.20
2021-09-12,659.90,709.00,659.90,697.00,,7.73,,23295995.60
2021-09-13,710.00,750.00,699.00,726.00,,4.16,,25628413.50
2021-09-14,720.00,740.50,712.00,725.00,,-0.14,,11970766.80
2021-09-15,712.20,720.00,704.00,709.00,,-2.21,,10226783.50
2021-09-16,695.00,695.00,656.00,683.00,,-3.67,,10117677.00
2021-09-20,683.00,683.00,614.70,614.70,,-10,,9708475.50
2021-09-21,602.50,635.00,568.00,610.00,,-0.76,,7721564.80
2021-09-22,622.20,671.00,621.10,630.00,,3.28,,7834685.00
2021-09-23,642.00,654.80,600.00,610.00,,-3.17,,5269599.50
2021-09-26,600.00,600.00,578.00,582.00,,-4.59,,3531639.00
2021-09-27,593.60,605.00,532.10,537.00,,-7.73,,12270325.70
2021-09-28,527.00,540.00,507.10,507.10,,-5.57,,2643554.00
2021-09-29,507.00,557.80,488.00,556.00,,9.64,,2230601.50
2021-09-30,545.00,581.00,525.00,546.00,,-1.8,,3368928.00
2021-10-03,546.00,554.90,500.80,510.00,,-6.59,,3220571.00
2021-10-04,520.20,540.00,487.20,510.00,,0,,2545398.60
2021-10-05,500.00,519.00,497.00,514.00,,0.78,,1087836.00
2021-10-06,524.20,534.00,502.10,524.00,,1.95,,2551521.00
