Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-09-23,459.00,475.00,453.00,467.00,,3.36,,156932432.90
2025-09-24,470.00,485.80,465.00,474.30,,1.56,,221386841.50
2025-09-25,474.30,484.00,464.00,470.90,,-0.72,,183437252.20
2025-09-28,475.00,505.00,473.00,496.00,,5.33,,241146636.20
2025-10-07,495.00,525.30,490.00,508.00,,2.42,,283136513.10
2025-10-08,515.00,517.00,497.00,500.00,,-1.57,,244910597.30
2025-10-09,510.00,529.90,502.00,516.00,,3.2,,271207645.70
2025-10-12,520.00,523.00,475.00,478.00,,-7.36,,363340311.80
2025-10-13,480.00,492.00,468.60,487.00,,1.88,,157391563.90
2025-10-14,496.70,496.70,468.00,469.00,,-3.7,,101888061.50
2025-10-15,476.90,483.00,466.60,473.00,,0.85,,129861937.90
2025-10-16,482.40,482.40,470.00,472.00,,-0.21,,93302516.90
2025-10-19,476.00,501.00,470.20,498.00,,5.51,,169704934.30
2025-10-26,505.00,507.50,486.50,492.00,,-1.2,,187035418.40
2025-10-28,492.00,524.00,485.30,515.00,,4.67,,232268864.20
2025-10-29,515.00,529.00,515.00,518.50,,0.68,,236529143.80
2025-10-30,528.80,528.80,512.10,513.00,,-1.06,,187555534.40
2025-11-02,510.00,549.00,510.00,529.00,,3.12,,343055803.30
2025-11-03,539.50,546.60,529.00,534.00,,0.95,,236265547.50
2025-11-04,523.40,540.00,521.00,530.40,,-0.67,,187691713.10
2025-11-05,530.00,554.70,529.10,538.90,,1.6,,386152484.40
2025-11-06,529.00,544.00,529.00,541.50,,0.48,,195234684.00
2025-11-09,540.00,545.00,521.40,525.00,,-3.05,,277673684.70
2025-11-10,525.10,529.80,515.10,524.40,,-0.11,,257809511.80
2025-11-11,529.00,530.00,521.20,522.40,,-0.38,,46506656.80
2025-11-12,518.00,526.00,517.00,520.90,,-0.29,,135570413.10
2025-11-13,521.90,525.00,517.60,525.00,,0.79,,133088368.60
2025-11-16,535.50,535.50,519.00,524.90,,-0.02,,166294205.70
2025-11-17,518.10,532.00,518.10,532.00,,1.35,,131884328.60
2025-11-18,540.00,540.00,522.00,525.00,,-1.32,,81846636.00
2025-11-19,529.59,529.59,510.00,514.90,,-1.92,,110457987.50
2025-11-20,513.00,515.00,500.00,503.50,,-2.21,,121558956.80
