Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,14310.00,14596.00,14596.00,14596.00,,2,,437880.00
2014-08-04,14602.00,14310.00,14310.00,14310.00,,-2,,437880.00
2014-08-04,15175.00,14872.00,14872.00,14872.00,,-2,,437880.00
2014-08-04,14872.00,14602.00,14602.00,14602.00,,-1.82,,437880.00
2014-08-13,14596.00,15184.00,14887.00,15184.00,,4.03,,300710.00
2014-08-25,15184.00,15200.00,15200.00,15200.00,,0.11,,304000.00
2014-08-26,15200.00,14897.00,14500.00,14500.00,,-4.61,,14506970.00
2014-08-27,14500.00,15225.00,14921.00,14921.00,,2.9,,599880.00
2014-09-01,14921.00,14630.00,14630.00,14630.00,,-1.95,,1609300.00
2014-09-04,14630.00,15361.00,15361.00,15361.00,,5,,153610.00
2014-09-10,15361.00,15054.00,15054.00,15054.00,,-2,,150540.00
2014-09-11,15054.00,14800.00,14800.00,14800.00,,-1.69,,2960000.00
2014-09-15,14800.00,14504.00,14504.00,14504.00,,-2,,290080.00
2014-09-30,14504.00,15229.00,14925.00,15000.00,,3.42,,1051540.00
2014-10-13,15000.00,15000.00,14900.00,15000.00,,0,,2547000.00
2014-10-15,15000.00,15100.00,15100.00,15100.00,,0.67,,453000.00
2014-10-16,15100.00,15150.00,15003.00,15003.00,,-0.64,,904590.00
2014-10-21,15003.00,15100.00,15100.00,15100.00,,0.65,,302000.00
2014-10-26,15100.00,15200.00,15200.00,15200.00,,0.66,,760000.00
2014-10-27,15200.00,15300.00,15300.00,15300.00,,0.66,,765000.00
2014-10-30,15300.00,16065.00,16065.00,16065.00,,5,,160650.00
2014-11-02,16065.00,15744.00,15430.00,15430.00,,-3.95,,311740.00
2014-11-05,15430.00,15123.00,15123.00,15123.00,,-1.99,,756150.00
2014-11-06,15123.00,15500.00,15100.00,15500.00,,2.49,,12077020.00
2014-11-11,15500.00,15700.00,15550.00,15700.00,,1.29,,2340000.00
2014-11-17,15700.00,15700.00,15400.00,15400.00,,-1.91,,3551000.00
2014-11-25,15400.00,15400.00,15400.00,15400.00,,0,,462000.00
2014-12-01,15400.00,15400.00,15400.00,15400.00,,0,,154000.00
2014-12-02,15400.00,15600.00,15600.00,15600.00,,1.3,,17316000.00
2014-12-04,15600.00,15500.00,15500.00,15500.00,,-0.64,,465000.00
2014-12-23,15500.00,15190.00,15150.00,15150.00,,-2.26,,2122200.00
2015-01-08,15150.00,15150.00,15150.00,15150.00,,0,,454500.00
2015-01-12,15150.00,15700.00,15450.00,15700.00,,3.63,,2011000.00
2015-01-22,15700.00,16015.00,15701.00,16015.00,,2.01,,317160.00
2015-01-25,16015.00,16015.00,16015.00,16015.00,,0,,160150.00
2015-02-11,16015.00,16300.00,16300.00,16300.00,,1.78,,489000.00
2015-02-12,16300.00,16600.00,16600.00,16600.00,,1.84,,1660000.00
2015-02-22,16600.00,16930.00,16930.00,16930.00,,1.99,,507900.00
2015-02-23,16930.00,17100.00,17100.00,17100.00,,1,,513000.00
2015-02-25,17100.00,17200.00,17200.00,17200.00,,0.58,,516000.00
2015-03-22,17200.00,17400.00,17400.00,17400.00,,1.16,,870000.00
2015-03-25,17400.00,17300.00,17300.00,17300.00,,-0.57,,519000.00
2015-03-30,17300.00,17646.00,17646.00,17646.00,,2,,176460.00
2015-04-08,17646.00,17998.00,17700.00,17998.00,,1.99,,1064980.00
2015-04-12,17998.00,18300.00,18300.00,18300.00,,1.68,,366000.00
2015-04-16,18300.00,18666.00,18301.00,18303.00,,0.02,,2029450.00
2015-05-25,18303.00,17937.00,17937.00,17937.00,,-2,,17578260.00
2015-05-31,17937.00,18295.00,18295.00,18295.00,,2,,182950.00
2015-06-08,18295.00,19413.00,18660.00,19413.00,,6.11,,571060.00
2015-06-09,19413.00,19801.00,19500.00,19500.00,,0.45,,3324100.00
2015-06-11,19500.00,19110.00,19110.00,19110.00,,-2,,191100.00
2015-06-14,19110.00,19492.00,19490.00,19492.00,,2,,389820.00
2015-06-15,19492.00,19880.00,19880.00,19880.00,,1.99,,198800.00
2015-06-21,19880.00,19880.00,19880.00,19880.00,,0,,994000.00
2015-06-28,19880.00,19880.00,19880.00,19880.00,,0,,596400.00
2015-06-30,19880.00,19880.00,19880.00,19880.00,,0,,994000.00
2015-07-01,20000.00,20200.00,20000.00,20200.00,,1.61,,3009970.00
2015-07-05,20000.00,20000.00,20000.00,20000.00,,-0.99,,200000.00
2015-07-06,20000.00,20000.00,20000.00,20000.00,,0,,6600000.00
2015-07-07,20026.00,20280.00,20026.00,20280.00,,1.4,,1614780.00
2015-07-08,20300.00,20300.00,20300.00,20300.00,,0.1,,203000.00
2015-07-12,19895.00,20604.00,19895.00,20604.00,,1.5,,2409740.00
2015-07-14,21016.00,21436.00,21016.00,21435.00,,4.04,,638870.00
2015-07-15,21500.00,22000.00,21500.00,22000.00,,2.63,,7593450.00
2015-08-03,21561.00,21400.00,21400.00,21400.00,,-0.75,,2140000.00
2015-08-09,21400.00,21992.00,21400.00,21992.00,,2.77,,7504480.00
2015-08-12,22431.00,22431.00,22431.00,22431.00,,2,,224310.00
2015-08-13,22879.00,23700.00,22879.00,23700.00,,5.66,,927940.00
