Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-02-28,989.40,989.40,989.40,989.40,,0,,19788.50
2023-03-01,989.40,989.40,989.40,989.40,,0,,10090.50
2023-03-02,989.40,1029.20,989.40,1029.20,,4.02,,46113.50
2023-03-05,1029.20,1070.60,1029.20,1070.60,,4.02,,155134.00
2023-03-07,1070.60,1092.00,1070.60,1092.00,,2,,38050.00
2023-03-09,1092.00,1113.80,1092.00,1113.80,,2,,22218.00
2023-03-12,1136.00,1158.70,1136.00,1158.70,,4.03,,40465.00
2023-03-13,1158.70,1205.40,1158.70,1205.40,,4.03,,71253.00
2023-03-14,1229.50,1325.90,1229.50,1325.90,,10,,200648.50
2023-03-15,1352.40,1458.40,1352.40,1458.40,,9.99,,216147.50
2023-03-16,1458.40,1604.20,1458.40,1604.20,,10,,552607.40
2023-03-19,1604.20,1764.60,1604.20,1764.60,,10,,1582295.00
2023-03-20,1799.80,1941.00,1799.80,1941.00,,10,,1201176.50
2023-03-22,1941.00,2135.10,1940.40,1945.00,,0.21,,5992275.50
2023-03-23,1910.00,1911.00,1783.00,1800.00,,-7.46,,3080761.60
2023-03-26,1764.00,1764.00,1620.00,1620.00,,-10,,1713766.00
2023-03-27,1587.60,1587.60,1465.20,1587.60,,-2,,775743.40
2023-03-28,1580.00,1720.90,1570.00,1700.00,,7.08,,518992.00
2023-03-29,1700.00,1700.00,1600.40,1664.00,,-2.12,,666962.00
2023-03-30,1670.00,1688.00,1619.00,1620.00,,-2.64,,572625.00
2023-04-02,1620.00,1619.70,1588.00,1588.00,,-1.98,,63837.00
2023-04-03,1557.10,1590.00,1557.00,1590.00,,0.13,,157534.00
2023-04-04,1620.00,1620.00,1563.00,1563.00,,-1.7,,199490.00
2023-04-05,1550.00,1605.00,1550.00,1605.00,,2.69,,897934.50
2023-04-06,1605.00,1605.00,1600.00,1600.00,,-0.31,,57466.00
2023-04-09,1600.00,1600.00,1568.00,1568.00,,-2,,47360.00
2023-04-10,1550.00,1550.00,1515.10,1520.00,,-3.06,,654025.50
2023-04-11,1520.00,1642.00,1520.00,1633.00,,7.43,,541545.00
2023-04-12,1664.00,1715.00,1616.00,1680.70,,2.92,,1317311.50
2023-04-13,1700.00,1710.00,1632.00,1710.00,,1.74,,151284.00
2023-04-16,1710.00,1710.00,1641.50,1641.50,,-4.01,,275063.50
2023-04-17,1641.50,1641.50,1581.10,1641.00,,-0.03,,206906.10
2023-04-18,1608.20,1660.00,1587.00,1587.00,,-3.29,,581128.00
2023-04-19,1599.00,1625.00,1599.00,1625.00,,2.39,,120277.00
2023-04-20,1625.00,1625.00,1592.50,1592.50,,-2,,40420.00
2023-04-23,1561.00,1623.80,1561.00,1620.00,,1.73,,111513.00
2023-04-24,1630.00,1630.10,1611.00,1611.00,,-0.56,,863521.00
2023-04-25,1605.00,1605.00,1605.00,1605.00,,-0.37,,31969.00
2023-04-26,1637.00,1637.00,1605.00,1634.00,,1.81,,95305.00
2023-04-27,1630.00,1630.00,1615.00,1615.00,,-1.16,,32450.00
2023-04-30,1590.00,1620.00,1586.00,1620.00,,0.31,,111740.00
2023-05-02,1611.10,1615.00,1609.00,1615.00,,-0.31,,246374.40
2023-05-03,1615.00,1615.00,1590.00,1590.00,,-1.55,,63576.00
2023-05-04,1591.80,1610.00,1591.20,1610.00,,1.26,,299557.80
2023-05-07,1590.00,1642.20,1552.30,1642.20,,2,,159239.00
2023-05-08,1609.40,1655.00,1520.00,1655.00,,0.78,,178359.00
2023-05-09,1621.90,1621.90,1511.30,1511.30,,-8.68,,848228.60
2023-05-10,1494.00,1541.50,1494.00,1494.00,,-1.14,,257077.00
2023-05-11,1465.00,1465.00,1408.00,1464.80,,-1.95,,208935.00
2023-05-14,1435.80,1464.00,1430.00,1430.00,,-2.38,,79333.00
2023-05-15,1411.00,1420.00,1410.00,1410.00,,-1.4,,56560.00
2023-05-16,1410.00,1410.00,1400.00,1400.00,,-0.71,,77050.00
2023-05-17,1377.00,1377.00,1321.00,1325.00,,-5.36,,458336.00
2023-05-18,1350.00,1350.00,1300.00,1300.00,,-1.89,,482240.50
2023-05-21,1326.00,1332.00,1326.00,1332.00,,2.46,,46510.00
2023-05-22,1332.00,1332.00,1300.00,1300.00,,-2.4,,154878.00
2023-05-23,1326.00,1340.10,1320.00,1320.00,,1.54,,527371.90
2023-05-24,1346.00,1366.00,1320.00,1339.00,,1.44,,970473.00
2023-05-28,1362.80,1362.80,1335.60,1340.00,,0.07,,80853.00
2023-05-30,1340.00,1340.00,1340.00,1340.00,,0,,13132.00
