Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-03-24,300.00,300.00,270.00,270.00,,-10,,65860.00
2019-03-25,257.00,257.00,243.00,243.00,,-10,,52220.00
2019-03-26,231.00,231.00,219.00,219.00,,-9.88,,72920.00
2019-03-28,189.00,189.00,179.00,179.00,,-9.6,,34860.00
2019-03-31,171.00,171.00,162.00,162.00,,-9.5,,37200.00
2019-04-01,154.00,154.00,146.00,146.00,,-9.88,,13290.00
2019-04-02,139.00,139.00,132.00,132.00,,-9.59,,21350.00
2019-04-03,126.00,126.00,119.00,119.00,,-9.85,,53980.00
2019-04-04,114.00,114.00,108.00,108.00,,-9.24,,135120.00
2019-04-07,103.00,103.00,98.00,98.00,,-9.26,,2299450.00
2019-04-09,93.00,96.00,92.00,94.00,,0,,1618875.00
2019-04-10,93.00,94.00,92.00,94.00,,0,,1023710.00
2019-04-11,95.00,96.00,92.00,94.00,,0,,858515.00
2019-04-15,93.00,94.00,90.00,93.00,,-1.06,,687220.00
2019-04-16,92.00,93.00,89.00,90.00,,-3.23,,1140460.00
2019-04-18,94.00,94.00,90.00,91.00,,-4.21,,475890.00
2019-04-21,90.00,92.00,90.00,91.00,,0,,913870.00
2019-04-22,91.00,92.00,90.00,91.00,,0,,1092580.00
2019-04-23,90.00,92.00,90.00,91.00,,0,,663800.00
2019-04-24,90.00,91.00,88.00,90.00,,-1.1,,798890.00
2019-04-25,89.00,94.00,88.00,94.00,,4.44,,1120280.00
2019-04-28,92.00,99.00,89.00,96.00,,2.13,,1484927.00
2019-04-29,92.00,100.00,91.00,100.00,,4.17,,651760.00
2019-04-30,95.00,99.00,90.00,98.00,,-2,,779220.00
2019-05-02,97.00,102.00,91.00,102.00,,4.08,,3312020.00
2019-05-05,97.00,98.00,94.00,96.00,,-5.88,,860675.00
2019-05-06,92.00,97.00,92.00,93.00,,-3.12,,608530.00
2019-05-07,92.00,99.00,92.00,95.00,,2.15,,766740.00
2019-05-08,96.00,97.00,93.00,94.00,,-1.05,,670175.00
2019-05-09,93.00,95.00,92.00,94.00,,0,,336210.00
2019-05-12,93.00,94.00,91.00,91.00,,-3.19,,614090.00
2019-05-13,90.00,97.00,90.00,95.00,,4.4,,1049975.00
2019-05-14,95.00,95.00,93.00,95.00,,0,,373395.00
2019-05-15,95.00,96.00,92.00,94.00,,-1.05,,503010.00
2019-05-16,93.00,95.00,92.00,93.00,,-1.06,,534930.00
2019-05-19,94.00,95.00,92.00,93.00,,0,,685125.00
2019-05-20,92.00,95.00,92.00,92.00,,-1.08,,700890.00
2019-05-21,91.00,97.00,91.00,95.00,,3.26,,1368205.00
2019-05-22,96.00,102.00,96.00,100.00,,5.26,,5040190.00
2019-05-23,98.00,102.00,94.00,96.00,,-4,,1941570.00
2019-05-26,96.00,96.00,94.00,96.00,,0,,659760.00
2019-05-27,96.00,96.00,94.00,94.00,,-2.08,,350186.00
2019-05-28,95.00,97.00,93.00,97.00,,3.19,,2621220.00
2019-05-29,96.00,100.00,94.00,96.00,,-1.03,,452960.00
2019-05-30,100.00,100.00,94.00,95.00,,-1.04,,588955.00
2019-06-02,96.00,100.00,93.00,100.00,,5.26,,3760801.00
2019-06-03,100.00,101.00,96.00,97.00,,-3,,1675630.00
2019-06-04,98.00,98.00,93.00,95.00,,-2.06,,440668.00
2019-06-06,94.00,98.00,93.00,98.00,,3.16,,282430.00
2019-06-10,97.00,97.00,92.00,92.00,,-6.12,,1517326.00
2019-06-11,93.00,95.00,91.00,92.00,,0,,1579290.00
2019-06-12,91.00,93.00,91.00,92.00,,0,,396100.00
2019-06-13,91.00,94.00,91.00,93.00,,1.09,,352780.00
2019-06-16,93.00,93.00,91.00,92.00,,-1.08,,498060.00
2019-06-17,93.00,94.00,91.00,92.00,,0,,942470.00
2019-06-18,96.00,96.00,91.00,91.00,,-1.09,,276050.00
2019-06-19,91.00,93.00,91.00,91.00,,0,,354890.00
2019-06-20,91.00,92.00,91.00,92.00,,1.1,,198370.00
2019-06-23,93.00,93.00,91.00,92.00,,0,,324395.00
2019-06-24,92.00,93.00,91.00,92.00,,0,,376250.00
2019-06-25,91.00,93.00,91.00,92.00,,0,,357810.00
2019-06-26,91.00,92.00,91.00,91.00,,-1.09,,260900.00
2019-06-27,91.00,92.00,91.00,92.00,,1.1,,339060.00
2019-06-30,90.00,92.00,90.00,91.00,,-1.09,,314730.00
2019-07-01,91.00,91.00,90.00,90.00,,-1.1,,726510.00
2019-07-02,90.00,92.00,90.00,92.00,,2.22,,463760.00
2019-07-03,93.00,94.00,93.00,93.00,,1.09,,14000.00
2019-07-04,93.00,93.00,90.00,91.00,,-2.15,,1024650.00
2019-07-07,90.00,91.00,89.00,90.00,,-1.1,,253450.00
2019-07-08,90.00,91.00,89.00,91.00,,1.11,,363030.00
2019-07-09,90.00,91.00,89.00,90.00,,-1.1,,594410.00
2019-07-10,89.00,91.00,89.00,90.00,,0,,351590.00
2019-07-11,89.00,90.00,89.00,89.00,,-1.11,,411260.00
2019-07-14,89.00,90.00,88.00,90.00,,1.12,,335960.00
2019-07-15,89.00,90.00,89.00,89.00,,-1.11,,341350.00
2019-07-16,93.00,93.00,89.00,89.00,,0,,25090.00
2019-07-17,89.00,92.00,89.00,91.00,,2.25,,579600.00
2019-07-18,91.00,91.00,89.00,89.00,,-2.2,,156450.00
2019-07-21,90.00,90.00,88.00,88.00,,-1.12,,270310.00
2019-07-22,89.00,90.00,88.00,89.00,,1.14,,193580.00
2019-07-23,89.00,90.00,88.00,89.00,,0,,392000.00
2019-07-24,89.00,90.00,88.00,89.00,,0,,371330.00
2019-07-25,88.00,89.00,87.00,87.00,,-2.25,,562530.00
2019-07-28,87.00,91.00,87.00,91.00,,4.6,,233530.00
2019-07-29,90.00,90.00,87.00,88.00,,-3.3,,264000.00
2019-07-30,87.00,89.00,87.00,88.00,,0,,161770.00
2019-07-31,87.00,89.00,87.00,89.00,,1.14,,408800.00
2019-08-01,88.00,88.00,86.00,87.00,,-2.25,,1210440.00
2019-08-04,87.00,88.00,86.00,86.00,,-1.15,,410379.00
2019-08-05,86.00,88.00,86.00,88.00,,2.33,,343690.00
2019-08-06,88.00,89.00,86.00,87.00,,-1.14,,319100.00
2019-08-07,88.00,88.00,86.00,88.00,,1.15,,250720.00
2019-08-08,87.00,87.00,86.00,86.00,,-2.27,,126620.00
2019-08-11,86.00,89.00,85.00,88.00,,2.33,,410910.00
2019-08-12,87.00,87.00,85.00,86.00,,-2.27,,335860.00
2019-08-13,86.00,86.00,84.00,85.00,,-1.16,,297930.00
2019-08-14,84.00,86.00,84.00,85.00,,0,,141960.00
2019-08-15,84.00,85.00,83.00,83.00,,-2.35,,691011.00
2019-08-18,83.00,83.00,81.00,82.00,,-1.2,,832670.00
2019-08-19,82.00,84.00,80.00,84.00,,2.44,,269310.00
2019-08-20,84.00,84.00,80.00,82.00,,-2.38,,169685.00
2019-08-21,81.00,82.00,79.00,82.00,,0,,257800.00
2019-08-22,81.00,83.00,79.00,83.00,,1.22,,85630.00
2019-08-25,82.00,82.00,79.00,79.00,,-4.82,,110610.00
2019-08-26,80.00,80.00,77.00,77.00,,-2.53,,369880.00
2019-08-27,77.00,80.00,77.00,78.00,,1.3,,93520.00
2019-08-28,78.00,79.00,77.00,78.00,,0,,150060.00
2019-08-29,77.00,79.00,77.00,77.00,,-1.28,,176250.00
2019-09-01,77.00,78.00,76.00,76.00,,-1.3,,213720.00
2019-09-02,75.00,78.00,74.00,74.00,,-2.63,,269650.00
2019-09-03,75.00,81.00,75.00,81.00,,9.46,,900460.00
2019-09-04,82.00,88.00,82.00,84.00,,3.7,,1083041.00
2019-09-05,85.00,86.00,82.00,85.00,,1.19,,147050.00
2019-09-08,84.00,84.00,78.00,78.00,,-8.24,,222290.00
2019-09-09,79.00,81.00,77.00,80.00,,2.56,,130930.00
2019-09-10,79.00,79.00,77.00,77.00,,-3.75,,116820.00
2019-09-11,78.00,79.00,76.00,77.00,,0,,175740.00
2019-09-15,76.00,76.00,75.00,75.00,,-1.32,,255390.00
2019-09-16,75.00,76.00,74.00,76.00,,1.33,,165020.00
2019-09-17,77.00,78.00,75.00,76.00,,0,,5813196.00
2019-09-18,76.00,79.00,75.00,79.00,,3.95,,74270.00
2019-09-19,80.00,82.00,78.00,78.00,,-1.27,,185290.00
2019-09-22,78.00,81.00,77.00,80.00,,2.56,,978273.00
2019-09-23,79.00,81.00,78.00,78.00,,-2.5,,56990.00
2019-09-24,78.00,80.00,78.00,79.00,,1.28,,360860.00
2019-09-25,79.00,79.00,77.00,77.00,,-2.53,,102660.00
2019-09-26,77.00,79.00,77.00,78.00,,1.3,,218815.00
2019-09-29,78.00,79.00,77.00,77.00,,-1.28,,157350.00
2019-09-30,77.00,78.00,76.00,77.00,,0,,60790.00
2019-10-01,76.00,79.00,76.00,79.00,,2.6,,53130.00
2019-10-02,78.00,80.00,78.00,79.00,,0,,32440.00
2019-10-03,79.00,80.00,79.00,80.00,,1.27,,164700.00
2019-10-14,80.00,80.00,78.00,78.00,,-2.5,,35550.00
2019-10-15,78.00,78.00,78.00,78.00,,0,,109980.00
2019-10-16,77.00,81.00,77.00,80.00,,2.56,,220650.00
2019-10-17,80.00,80.00,78.00,78.00,,-2.5,,95660.00
2019-10-21,78.00,79.00,76.00,78.00,,0,,115750.00
2019-10-22,78.00,78.00,76.00,77.00,,-1.28,,131700.00
2019-10-23,78.00,78.00,77.00,78.00,,1.3,,133790.00
2019-10-24,77.00,79.00,76.00,76.00,,-2.56,,271870.00
2019-10-31,75.00,77.00,74.00,75.00,,-1.32,,186500.00
2019-11-03,76.00,76.00,74.00,74.00,,-1.33,,139830.00
2019-11-05,74.00,75.00,73.00,74.00,,0,,229050.00
2019-11-06,75.00,76.00,73.00,73.00,,-2.67,,113040.00
2019-11-06,74.00,75.00,73.00,75.00,,1.35,,113040.00
2019-11-07,73.00,74.00,72.00,72.00,,-1.37,,113470.00
2019-11-10,72.00,73.00,71.00,71.00,,-1.39,,180526.00
2019-11-11,70.00,76.00,70.00,76.00,,7.04,,200910.00
2019-11-12,77.00,80.00,70.00,78.00,,2.63,,233060.00
2019-11-13,79.00,81.00,79.00,81.00,,3.85,,32000.00
2019-11-14,81.00,82.00,77.00,78.00,,-3.7,,124520.00
2019-11-17,78.00,81.00,71.00,74.00,,-5.13,,398010.00
2019-11-18,75.00,76.00,70.00,70.00,,-5.41,,861200.00
2019-11-19,71.00,75.00,71.00,74.00,,5.71,,292685.00
2019-11-20,75.00,75.00,73.00,73.00,,-1.35,,191904.00
2019-11-21,72.00,74.00,71.00,72.00,,-1.37,,82760.00
2019-11-24,71.00,73.00,71.00,72.00,,0,,174480.00
2019-11-25,73.00,74.00,71.00,73.00,,1.39,,283900.00
2019-11-26,72.00,74.00,71.00,72.00,,-1.37,,266856.00
2019-11-27,72.00,74.00,72.00,74.00,,2.78,,171601.00
2019-11-28,75.00,75.00,72.00,73.00,,-1.35,,110030.00
2019-12-01,72.00,72.00,71.00,72.00,,-1.37,,64700.00
2019-12-02,72.00,73.00,72.00,73.00,,1.39,,106190.00
2019-12-03,72.00,73.00,72.00,72.00,,-1.37,,68750.00
2019-12-04,72.00,73.00,72.00,72.00,,0,,93710.00
2019-12-05,72.00,74.00,71.00,73.00,,1.39,,281430.00
2019-12-08,72.00,73.00,72.00,73.00,,0,,79510.00
2019-12-09,72.00,75.00,71.00,75.00,,2.74,,124570.00
2019-12-10,76.00,77.00,76.00,77.00,,2.67,,3060.00
2019-12-11,76.00,76.00,73.00,74.00,,-3.9,,39100.00
2019-12-12,74.00,78.00,72.00,76.00,,2.7,,468870.00
2019-12-15,75.00,75.00,73.00,73.00,,-3.95,,398240.00
2019-12-16,72.00,73.00,71.00,73.00,,1.39,,967694.00
2019-12-17,72.00,73.00,71.00,72.00,,-1.37,,198310.00
2019-12-18,72.00,73.00,71.00,73.00,,1.39,,316120.00
2019-12-19,72.00,72.00,71.00,72.00,,-1.37,,271690.00
2019-12-22,71.00,73.00,71.00,73.00,,1.39,,204140.00
2019-12-23,73.00,75.00,73.00,73.00,,0,,175550.00
2019-12-24,72.00,74.00,72.00,73.00,,0,,66230.00
2019-12-25,72.00,74.00,71.00,74.00,,1.37,,104900.00
2019-12-29,73.00,73.00,71.00,72.00,,-2.7,,80620.00
2019-12-30,71.00,72.00,71.00,72.00,,0,,86870.00
2019-12-31,71.00,72.00,71.00,72.00,,0,,139250.00
2020-01-01,72.00,76.00,71.00,72.00,,0,,307161.00
2020-01-02,73.00,74.00,72.00,72.00,,0,,223740.00
2020-01-05,72.00,74.00,72.00,73.00,,1.39,,179280.00
2020-01-06,72.00,74.00,71.00,71.00,,-2.74,,1268718.00
2020-01-07,71.00,73.00,71.00,72.00,,1.41,,264495.00
2020-01-08,72.00,75.00,72.00,75.00,,4.17,,321745.00
2020-01-09,76.00,76.00,72.00,74.00,,-1.33,,59030.00
2020-01-12,73.00,75.00,72.00,75.00,,1.35,,221710.00
2020-01-13,76.00,81.00,72.00,76.00,,1.33,,976230.00
2020-01-14,75.00,77.00,74.00,74.00,,-2.63,,521648.00
2020-01-15,75.00,77.00,74.00,76.00,,2.7,,465304.00
2020-01-16,76.00,80.00,75.00,78.00,,4,,1459060.00
2020-01-19,78.00,82.00,78.00,82.00,,5.13,,1341250.00
2020-01-20,81.00,81.00,77.00,78.00,,-4.88,,716296.00
2020-01-21,79.00,79.00,73.00,74.00,,-5.13,,1148156.00
2020-01-22,74.00,77.00,74.00,74.00,,0,,1295155.00
2020-01-23,75.00,76.00,73.00,73.00,,-2.67,,350371.00
2020-01-26,73.00,75.00,72.00,73.00,,0,,1216388.00
2020-01-27,72.00,75.00,72.00,75.00,,2.74,,440510.00
2020-01-28,75.00,75.00,73.00,73.00,,-2.67,,387930.00
2020-01-29,73.00,74.00,73.00,74.00,,1.37,,195400.00
2020-01-30,75.00,75.00,73.00,73.00,,-1.35,,459490.00
2020-02-02,74.00,76.00,73.00,74.00,,1.37,,1039050.00
2020-02-03,73.00,79.00,73.00,79.00,,6.76,,1356346.00
2020-02-04,79.00,80.00,76.00,77.00,,-2.53,,1417111.00
2020-02-05,77.00,79.00,76.00,79.00,,2.6,,779526.00
2020-02-06,78.00,78.00,75.00,76.00,,-3.8,,91790.00
2020-02-09,75.00,76.00,75.00,76.00,,0,,196305.00
2020-02-10,75.00,76.00,74.00,76.00,,0,,143160.00
2020-02-11,75.00,77.00,75.00,76.00,,0,,396400.00
2020-02-12,77.00,78.00,76.00,76.00,,0,,399620.00
2020-02-13,77.00,78.00,75.00,75.00,,-1.32,,571150.00
2020-02-16,76.00,78.00,74.00,77.00,,2.67,,792500.00
2020-02-17,77.00,84.00,77.00,81.00,,5.19,,3302346.00
2020-02-18,81.00,81.00,79.00,80.00,,-1.23,,1374390.00
2020-02-19,80.00,83.00,79.00,80.00,,0,,514420.00
2020-02-20,80.00,82.00,78.00,79.00,,-1.25,,313690.00
2020-02-23,80.00,85.00,79.00,84.00,,6.33,,794193.00
2020-02-24,84.00,84.00,80.00,83.00,,-1.19,,1246520.00
2020-02-25,83.00,86.00,80.00,86.00,,3.61,,1416486.00
2020-02-26,87.00,91.00,87.00,89.00,,3.49,,2844540.00
2020-02-27,88.00,89.00,87.00,89.00,,0,,1188205.00
2020-03-01,89.00,89.00,82.00,82.00,,-7.87,,1401150.00
2020-03-02,81.00,83.00,81.00,81.00,,-1.22,,430580.00
2020-03-03,81.00,81.00,77.00,80.00,,-1.23,,386390.00
2020-03-05,76.00,78.00,76.00,76.00,,-1.3,,411460.00
2020-03-05,80.00,79.00,77.00,77.00,,-3.75,,411460.00
2020-03-10,77.00,77.00,77.00,77.00,,1.32,,3850.00
2020-03-11,77.00,78.00,73.00,76.00,,-1.3,,630800.00
2020-03-12,75.00,76.00,74.00,75.00,,-1.32,,436350.00
2020-03-15,74.00,74.00,72.00,72.00,,-4,,652129.00
2020-03-16,73.00,74.00,71.00,73.00,,1.39,,338970.00
2020-03-17,72.00,74.00,72.00,72.00,,-1.37,,313170.00
2020-03-18,71.00,73.00,70.00,72.00,,0,,401020.00
2020-03-19,71.00,72.00,69.00,72.00,,0,,437460.00
2020-03-22,73.00,73.00,73.00,73.00,,1.39,,730.00
2020-06-29,72.00,72.00,68.00,68.00,,-6.85,,260822.00
2020-06-30,66.00,67.00,66.00,67.00,,0,,10000.00
2020-07-01,67.00,68.00,67.00,68.00,,1.49,,5410.00
2020-07-02,69.00,69.00,69.00,69.00,,1.47,,20800.00
2020-07-05,69.00,69.00,68.00,68.00,,-2.86,,252809.00
2020-07-06,69.00,70.00,67.00,69.00,,0,,336475.00
2020-07-07,69.00,72.00,69.00,69.00,,0,,435790.00
2020-07-08,70.00,71.00,69.00,69.00,,0,,319400.00
2020-07-09,69.00,69.00,68.00,69.00,,0,,284900.00
2020-07-12,68.00,72.00,68.00,72.00,,4.35,,284480.00
2020-07-13,71.00,71.00,67.00,69.00,,-4.17,,230950.00
2020-07-14,68.00,70.00,68.00,69.00,,0,,434310.00
2020-07-15,69.00,70.00,68.00,70.00,,1.45,,204280.00
2020-07-16,70.00,71.00,68.00,70.00,,0,,261180.00
2020-07-20,71.00,73.00,69.00,73.00,,4.29,,550300.00
2020-07-21,72.00,74.00,70.00,71.00,,-2.74,,394890.00
