Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-01-13,224.00,224.00,224.00,224.00,,0,,11620000.00
2019-01-15,235.00,258.00,235.00,258.00,,9.79,,949980.00
2019-01-16,258.00,283.00,258.00,283.00,,9.69,,1044030.00
2019-01-17,283.00,311.00,283.00,311.00,,9.89,,17879130.00
2019-01-20,326.00,342.00,280.00,292.00,,-6.11,,234304531.00
2019-01-21,292.00,292.00,263.00,263.00,,-9.93,,109118418.00
2019-01-23,260.00,286.00,255.00,278.00,,6.92,,37722402.00
2019-01-24,278.00,285.00,270.00,274.00,,-1.44,,33758245.00
2019-01-27,274.00,279.00,261.00,267.00,,-2.55,,32463556.00
2019-01-28,267.00,270.00,266.00,267.00,,0,,17282256.00
2019-01-29,267.00,267.00,258.00,260.00,,-2.62,,24964966.00
2019-01-30,260.00,260.00,256.00,256.00,,-1.54,,13679435.00
2019-01-31,256.00,260.00,253.00,258.00,,0.78,,14843925.00
2019-02-03,258.00,258.00,251.00,253.00,,-1.94,,25089666.00
2019-02-04,251.00,253.00,245.00,246.00,,-2.77,,23533289.00
2019-02-05,246.00,248.00,240.00,243.00,,-1.22,,25502668.00
2019-02-06,241.00,243.00,237.00,238.00,,-2.06,,16240286.00
2019-02-07,236.00,238.00,233.00,238.00,,0,,14256275.00
2019-02-10,237.00,238.00,229.00,231.00,,-2.94,,13938900.00
2019-02-11,231.00,237.00,227.00,232.00,,0.43,,14065694.00
2019-02-12,232.00,232.00,230.00,231.00,,-0.43,,8790743.00
2019-02-13,230.00,232.00,229.00,230.00,,-0.43,,9613300.00
2019-02-14,227.00,230.00,224.00,228.00,,-0.87,,15711303.00
2019-02-17,225.00,231.00,225.00,226.00,,-0.88,,10294478.00
2019-02-18,223.00,226.00,220.00,221.00,,-2.21,,11492149.00
2019-02-19,223.00,232.00,219.00,232.00,,4.98,,12793830.00
2019-02-20,231.00,233.00,223.00,224.00,,-3.45,,9350595.00
2019-02-21,222.00,228.00,222.00,225.00,,0.45,,7227554.00
2019-02-24,224.00,226.00,220.00,222.00,,-1.33,,10237995.00
2019-02-25,220.00,226.00,220.00,224.00,,0.9,,7886542.00
2019-02-26,225.00,225.00,221.00,223.00,,-0.45,,7597841.00
2019-02-27,224.00,228.00,223.00,224.00,,0.45,,5959027.00
2019-03-03,224.00,225.00,222.00,222.00,,-0.89,,9164105.00
2019-03-05,222.00,225.00,221.00,224.00,,0.9,,7707213.00
2019-03-06,223.00,226.00,222.00,226.00,,0.89,,5677765.00
2019-03-07,228.00,231.00,225.00,230.00,,1.77,,10764538.00
2019-03-10,230.00,234.00,226.00,230.00,,0,,10126694.00
2019-03-11,232.00,238.00,228.00,235.00,,2.17,,17159955.00
2019-03-12,235.00,246.00,234.00,245.00,,4.26,,23442152.00
2019-03-13,244.00,248.00,237.00,239.00,,-2.05,,18493922.00
2019-03-14,240.00,241.00,235.00,240.00,,0,,13663320.00
2019-03-17,240.00,246.00,240.00,245.00,,2.08,,14506943.00
2019-03-18,245.00,248.00,242.00,242.00,,-1.22,,8996703.00
2019-03-19,242.00,245.00,241.00,242.00,,0,,4771501.00
2019-03-21,242.00,245.00,238.00,240.00,,-0.83,,9365431.00
2019-03-24,240.00,242.00,235.00,239.00,,-0.42,,9872309.00
2019-03-25,238.00,241.00,236.00,240.00,,0.42,,8436025.00
2019-03-26,237.00,241.00,237.00,241.00,,0.42,,7417514.00
2019-03-28,239.00,241.00,238.00,240.00,,0,,5779898.00
2019-03-31,240.00,241.00,237.00,239.00,,-0.42,,9214296.00
2019-04-01,239.00,239.00,236.00,238.00,,-0.42,,8455362.00
2019-04-02,237.00,240.00,237.00,237.00,,-0.42,,7314227.00
2019-04-03,238.00,240.00,235.00,235.00,,-0.84,,9900650.00
2019-04-04,234.00,238.00,235.00,237.00,,0.85,,10707286.00
2019-04-07,236.00,237.00,234.00,235.00,,-0.84,,10225687.00
