Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-17,324.60,357.00,324.60,357.00,,0,,1378546.70
2022-08-18,364.10,392.70,364.10,392.70,,10,,32481041.60
2022-08-21,400.50,431.90,390.10,393.00,,0.08,,16474088.80
2022-08-22,393.00,399.90,376.10,388.60,,-1.12,,15973215.90
2022-08-23,396.30,399.80,375.40,388.50,,-0.03,,8772279.50
2022-08-24,381.10,414.00,381.00,404.00,,3.99,,14693053.60
2022-08-25,398.00,412.00,392.00,392.00,,-2.97,,8393321.00
2022-08-26,387.00,389.30,378.40,389.30,,-0.69,,6929032.00
2022-08-28,381.60,383.00,366.00,366.00,,-5.99,,7312542.20
2022-08-29,359.00,365.10,350.00,364.00,,-0.55,,4929226.10
2022-08-30,365.00,370.00,348.00,360.00,,-1.1,,3934778.90
2022-08-31,354.10,356.00,337.00,341.20,,-5.22,,3977209.20
2022-09-01,341.20,365.00,330.30,338.00,,-0.94,,3384859.00
2022-09-02,347.00,350.00,341.10,349.00,,-1.13,,1018811.00
2022-09-04,343.00,356.60,343.00,356.60,,2.18,,2804114.00
2022-09-05,351.50,379.60,351.50,367.00,,2.92,,7551548.60
2022-09-06,359.80,364.00,350.70,351.10,,-4.33,,3172173.80
2022-09-07,345.10,351.10,338.70,342.00,,-2.59,,3311241.50
2022-09-08,337.10,351.00,337.10,351.00,,2.63,,4023084.80
2022-09-11,357.00,357.00,338.00,340.00,,-3.13,,2027008.00
2022-09-12,346.00,352.00,332.00,334.00,,-1.76,,2783879.40
2022-09-13,330.50,344.00,330.50,332.60,,-0.42,,1983733.90
2022-09-14,330.10,345.00,330.10,345.00,,3.73,,5062710.00
2022-09-15,345.00,345.00,320.40,321.00,,-6.96,,5696009.40
2022-09-16,315.00,318.00,303.00,304.00,,-5.3,,3007446.10
2022-09-18,303.90,307.00,290.00,298.80,,-1.71,,2967749.10
2022-09-20,295.00,295.00,277.50,279.20,,-6.56,,3050108.60
2022-09-21,278.00,289.00,273.80,289.00,,3.51,,2139863.00
2022-09-22,285.00,292.80,268.40,280.00,,-3.11,,2158810.00
2022-09-25,274.50,275.00,265.00,270.00,,-3.57,,1059468.00
2022-09-27,264.90,278.00,261.20,274.40,,1.63,,626187.50
2022-09-28,269.00,280.50,263.70,279.00,,1.68,,442643.10
2022-09-29,282.00,285.00,271.00,285.00,,2.15,,442783.60
2022-10-09,280.00,285.60,275.00,283.00,,-0.7,,784920.00
2022-10-10,288.00,288.00,266.30,270.00,,-4.59,,413356.00
2022-10-11,265.10,269.90,261.10,267.00,,-1.11,,255588.00
2022-10-12,265.00,281.20,259.00,268.00,,0.37,,854052.00
2022-10-13,265.00,270.00,260.70,267.00,,-0.37,,1082982.30
2022-10-16,268.00,272.00,259.00,264.00,,-1.12,,571984.00
2022-10-17,260.00,269.20,254.80,265.00,,0.38,,1251600.00
2022-10-19,262.00,270.30,251.30,270.30,,2,,1612341.00
2022-10-20,275.00,275.00,250.10,258.00,,-4.55,,422153.00
2022-10-23,253.00,263.00,250.00,261.00,,1.16,,1105969.00
2022-10-31,255.90,261.00,246.40,261.00,,0,,389077.00
2022-11-01,256.00,274.00,251.00,271.90,,4.18,,2317240.70
2022-11-02,270.00,275.40,261.50,273.50,,0.59,,3211200.60
2022-11-03,268.10,277.00,262.80,270.00,,-1.28,,1038424.00
2022-11-06,267.10,280.00,267.10,277.00,,2.59,,1758915.50
2022-11-07,271.50,282.00,265.10,268.00,,-3.25,,2235582.00
2022-11-08,265.20,271.00,265.00,270.00,,0.75,,1108947.00
