Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-13,253.60,278.90,253.60,278.90,,0,,1168733.10
2023-08-14,284.40,306.70,284.40,306.70,,9.97,,1324395.00
2023-08-15,312.80,337.30,288.10,312.00,,1.73,,19771507.80
2023-08-16,315.00,318.00,288.00,308.00,,-1.28,,6342144.60
2023-08-17,302.00,331.00,298.20,327.00,,6.17,,3616229.00
2023-08-20,325.00,330.00,297.50,297.50,,-9.02,,3557053.00
2023-08-21,291.60,300.50,291.50,295.00,,-0.84,,1748909.00
2023-08-22,290.00,311.90,290.00,306.00,,3.73,,1544403.00
2023-08-23,312.10,312.10,301.20,307.50,,0.49,,1964144.00
2023-08-24,301.50,309.00,293.50,299.00,,-2.76,,2210542.50
2023-08-27,293.10,293.10,281.10,281.70,,-5.79,,1122856.00
2023-08-28,280.00,285.20,269.10,276.50,,-1.85,,1402159.80
2023-08-29,277.00,287.00,271.00,273.00,,-1.27,,991601.00
2023-08-30,268.00,281.00,268.00,277.10,,1.5,,690265.00
2023-09-03,272.60,277.40,262.10,269.00,,-2.92,,1160997.00
2023-09-04,264.10,295.00,264.00,294.00,,9.29,,2448144.40
2023-09-05,290.00,294.00,281.50,292.30,,-0.58,,1432248.40
2023-09-07,286.50,313.00,275.60,297.00,,1.61,,1234714.00
2023-09-10,291.10,306.90,285.40,289.00,,-2.69,,1072090.00
2023-09-11,283.30,306.50,283.30,296.00,,2.42,,1957496.00
2023-09-12,290.10,316.00,287.40,316.00,,6.76,,2198718.60
2023-09-13,316.00,321.90,302.00,316.20,,0.06,,1415219.00
2023-09-17,309.90,320.00,292.40,314.00,,-0.7,,2310367.90
2023-09-18,307.80,315.00,298.00,314.00,,0,,1502179.00
2023-09-19,307.80,345.40,304.60,330.00,,5.1,,3131862.00
2023-09-21,335.10,348.00,330.00,334.00,,1.21,,3158110.00
2023-09-24,327.70,349.80,322.10,349.80,,4.73,,3162775.60
2023-09-25,348.00,374.30,342.00,367.00,,4.92,,2495129.00
2023-09-26,374.00,375.30,354.90,373.00,,1.63,,5018522.50
2023-09-27,365.60,365.60,346.20,353.90,,-5.12,,3657909.90
2023-10-01,346.90,346.90,321.50,329.00,,-7.04,,4559037.00
2023-10-02,323.40,344.70,314.30,344.70,,4.77,,3542260.60
2023-10-03,337.90,358.00,331.30,353.00,,2.41,,3754600.10
2023-10-04,348.00,362.00,340.00,350.00,,-0.85,,5753902.90
2023-10-05,350.00,362.00,348.00,357.00,,2,,2932017.30
2023-10-08,349.90,350.00,333.30,347.30,,-2.72,,2668605.00
2023-10-09,340.70,361.20,335.00,340.00,,-2.1,,3006315.10
2023-10-10,346.80,346.80,333.20,340.00,,0,,1066397.00
2023-10-11,335.00,346.00,323.20,346.00,,1.76,,1266680.00
2023-10-12,339.10,339.10,322.00,322.10,,-6.91,,3606928.40
2023-10-16,316.00,322.00,305.10,313.00,,-2.83,,903945.00
2023-10-17,313.00,344.00,310.00,318.00,,1.6,,1192313.00
2023-10-18,324.30,326.10,313.00,326.10,,2.55,,1867576.10
2023-10-19,319.60,325.90,308.00,325.30,,-0.25,,270765.00
2023-10-29,319.00,319.00,303.30,313.00,,-3.78,,495127.00
2023-10-30,306.80,312.60,304.10,312.60,,-0.13,,577450.00
2023-10-31,308.00,315.20,308.00,314.00,,0.45,,619408.00
2023-11-01,307.80,315.00,294.00,312.90,,-0.35,,3644986.40
2023-11-02,306.70,309.80,297.80,303.00,,-3.16,,1310861.00
2023-11-05,297.00,308.90,285.60,305.00,,0.66,,296580.00
2023-11-06,298.90,309.90,298.90,309.90,,1.61,,852653.50
2023-11-07,304.00,312.00,298.20,309.90,,0,,414334.00
2023-11-08,310.00,312.10,300.00,311.90,,0.65,,838356.60
2023-11-09,317.90,317.90,295.00,306.00,,-1.89,,287032.50
2023-11-20,300.50,312.00,296.20,306.00,,0,,844995.00
2023-11-21,300.00,300.90,288.00,300.40,,-1.83,,665441.00
2023-11-22,300.00,306.00,295.00,306.00,,1.86,,659752.00
2023-11-23,299.90,311.90,295.20,308.00,,0.65,,834037.90
2023-11-26,303.10,320.30,303.10,316.00,,2.6,,2520912.00
2023-11-27,316.00,347.60,313.00,347.60,,10,,8578989.30
2023-11-28,347.60,364.00,347.00,357.00,,2.7,,2298095.00
2023-11-29,357.00,350.00,337.60,341.00,,-4.48,,1388721.00
