Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-08-31,697.00,752.00,697.00,752.00,,9.94,,56898.00
2020-09-02,767.00,827.00,767.00,827.00,,9.97,,61352.00
2020-09-03,843.00,909.00,843.00,909.00,,9.92,,660684.00
2020-09-06,954.00,999.00,954.00,999.00,,9.9,,570794.00
2020-09-07,1048.00,1098.00,1048.00,1098.00,,9.91,,19530624.00
2020-09-08,1152.00,1207.00,1152.00,1207.00,,9.93,,17286296.00
2020-09-09,1267.00,1327.00,1243.00,1265.00,,4.81,,6161238.00
2020-09-10,1245.00,1256.00,1226.00,1237.00,,-2.21,,3328363.00
2020-09-13,1215.00,1215.00,1182.00,1187.00,,-4.04,,7844425.00
2020-09-14,1164.00,1180.00,1141.00,1156.00,,-2.61,,2998585.00
2020-09-15,1150.00,1150.00,1137.00,1138.00,,-1.56,,1869843.00
2020-09-16,1120.00,1173.00,1120.00,1142.00,,0.35,,1961859.00
2020-09-17,1164.00,1170.00,1135.00,1149.00,,0.61,,3938204.00
2020-09-20,1092.00,1135.00,1092.00,1133.00,,-1.39,,399573.00
2020-09-21,1135.00,1135.00,1108.00,1111.00,,-1.94,,3067926.00
2020-09-22,1111.00,1111.00,1084.00,1084.00,,-2.43,,3092655.00
2020-09-23,1075.00,1098.00,1075.00,1079.00,,-0.46,,2642472.00
2020-09-24,1100.00,1128.00,1085.00,1111.00,,2.97,,1820177.00
2020-09-27,1166.00,1166.00,1100.00,1110.00,,-0.09,,836496.00
2020-09-28,1091.00,1095.00,1085.00,1090.00,,-1.8,,1135646.00
2020-09-29,1085.00,1085.00,1070.00,1074.00,,-1.47,,1405718.00
2020-09-30,1055.00,1085.00,1055.00,1080.00,,0.56,,732680.00
2020-10-01,1060.00,1100.00,1060.00,1099.00,,1.76,,1200882.00
2020-10-04,1081.00,1203.00,1081.00,1175.00,,6.92,,979138.00
2020-10-05,1152.00,1152.00,1110.00,1128.00,,-4,,1230683.00
2020-10-06,1120.00,1121.00,1112.00,1115.00,,-1.15,,2823169.00
2020-10-07,1095.00,1181.00,1095.00,1149.00,,3.05,,3712950.00
2020-10-08,1127.00,1127.00,1100.00,1111.00,,-3.31,,1037530.00
2020-10-11,1100.00,1113.00,1100.00,1111.00,,0,,1796969.00
2020-10-12,1110.00,1115.00,1102.00,1110.00,,-0.09,,1465145.00
2020-10-13,1091.00,1110.00,1091.00,1095.00,,-1.35,,1514602.00
2020-10-14,1041.00,1147.00,1041.00,1100.00,,0.46,,421351.00
2020-10-15,1095.00,1098.00,1089.00,1094.00,,-0.55,,1064145.00
2020-10-18,1079.00,1085.00,1079.00,1081.00,,-1.19,,139386.00
2020-10-19,1072.00,1100.00,1072.00,1086.00,,0.46,,451099.00
2020-10-20,1090.00,1115.00,1090.00,1111.00,,2.3,,445510.00
2020-10-21,1100.00,1111.00,1100.00,1111.00,,0,,93929.00
2020-10-22,1091.00,1108.00,1091.00,1096.00,,-1.35,,691003.00
2020-10-29,1100.00,1112.00,1096.00,1101.00,,0.46,,1483095.00
2020-11-01,1100.00,1108.00,1091.00,1101.00,,0,,1027088.00
2020-11-02,1093.00,1133.00,1093.00,1130.00,,2.63,,1668765.00
2020-11-03,1145.00,1150.00,1117.00,1120.00,,-0.88,,1247519.00
2020-11-04,1120.00,1124.00,1113.00,1123.00,,0.27,,1165277.00
2020-11-05,1113.00,1122.00,1104.00,1122.00,,-0.09,,2124562.00
2020-11-08,1111.00,1120.00,1111.00,1115.00,,-0.62,,916354.00
2020-11-09,1115.00,1159.00,1115.00,1123.00,,0.72,,1711246.00
2020-11-10,1120.00,1130.00,1116.00,1126.00,,0.27,,1998255.00
2020-11-11,1126.00,1170.00,1117.00,1130.00,,0.36,,1398969.00
2020-11-12,1120.00,1130.00,1117.00,1125.00,,-0.44,,402024.00
