Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-11-09,312.00,312.00,312.00,312.00,,0,,3120.00
2015-11-10,318.00,343.00,318.00,343.00,,9.94,,56974.00
2015-11-29,349.00,376.00,349.00,376.00,,9.62,,18110.00
2015-11-30,383.00,383.00,383.00,383.00,,1.86,,3830.00
2015-12-01,383.00,404.00,390.00,404.00,,5.48,,11910.00
2015-12-02,412.00,420.00,412.00,420.00,,3.96,,8320.00
2015-12-03,428.00,436.00,428.00,436.00,,3.81,,12128.00
2015-12-07,444.00,479.00,444.00,479.00,,9.86,,35397.00
2015-12-08,502.00,526.00,502.00,526.00,,9.81,,167374.00
2015-12-09,536.00,578.00,536.00,578.00,,9.89,,74070.00
2015-12-10,589.00,635.00,589.00,635.00,,9.86,,56723.00
2015-12-13,647.00,698.00,647.00,698.00,,9.92,,33610.00
2015-12-14,711.00,767.00,711.00,767.00,,9.89,,62913.00
2015-12-15,782.00,843.00,782.00,843.00,,9.91,,544734.00
2015-12-16,859.00,927.00,859.00,927.00,,9.96,,3758702.00
2015-12-17,945.00,1019.00,945.00,1019.00,,9.92,,11244886.00
2015-12-21,980.00,985.00,900.00,951.00,,-2.96,,7457761.00
2015-12-21,1019.00,1044.00,967.00,980.00,,-3.83,,7457761.00
2015-12-22,953.00,1020.00,953.00,1020.00,,7.25,,6883939.00
2015-12-23,1020.00,1075.00,1000.00,1050.00,,2.94,,9389896.00
2015-12-24,1045.00,1155.00,1029.00,1155.00,,10,,8682538.00
2015-12-27,1150.00,1178.00,1110.00,1161.00,,0.52,,9417372.00
2015-12-28,1161.00,1175.00,1141.00,1153.00,,-0.69,,8220929.00
2015-12-29,1153.00,1170.00,1108.00,1170.00,,1.47,,9238237.00
2015-12-31,1150.00,1203.00,1084.00,1200.00,,2.56,,6434808.00
2016-01-03,1199.00,1225.00,1180.00,1225.00,,2.08,,8332539.00
2016-01-04,1225.00,1235.00,1172.00,1195.00,,-2.45,,3853176.00
2016-01-05,1200.00,1200.00,1170.00,1184.00,,-0.92,,4824598.00
2016-01-06,1190.00,1190.00,1105.00,1136.00,,-4.05,,4451058.00
2016-01-07,1120.00,1155.00,1120.00,1136.00,,0,,2159761.00
2016-01-10,1136.00,1175.00,1130.00,1175.00,,3.43,,7061038.00
2016-01-11,1152.00,1175.00,1130.00,1161.00,,-1.19,,6537069.00
2016-01-12,1140.00,1208.00,1100.00,1201.00,,3.45,,8902409.00
2016-01-13,1201.00,1250.00,1195.00,1228.00,,2.25,,12567083.00
2016-01-14,1215.00,1275.00,1200.00,1249.00,,1.71,,9768681.00
2016-01-31,1273.00,1373.00,1273.00,1373.00,,9.93,,132320.00
2016-02-01,1373.00,1505.00,1400.00,1503.00,,9.47,,1851800.00
2016-02-02,1500.00,1500.00,1475.00,1475.00,,-1.86,,1121125.00
2016-02-03,1475.00,1479.00,1450.00,1470.00,,-0.34,,486240.00
2016-02-04,1442.00,1442.00,1415.00,1440.00,,-2.04,,1161140.00
2016-02-07,1440.00,1468.00,1412.00,1412.00,,-1.94,,795650.00
2016-02-14,1439.00,1439.00,1439.00,1439.00,,1.91,,575600.00
2016-02-15,1411.00,1411.00,1330.00,1370.00,,-4.79,,3233035.00
2016-02-16,1370.00,1380.00,1360.00,1360.00,,-0.73,,1019800.00
2016-02-18,1360.00,1387.00,1387.00,1387.00,,1.99,,13870.00
2016-02-22,1315.00,1330.00,1315.00,1330.00,,-0.37,,462950.00
2016-02-23,1330.00,1305.00,1279.00,1279.00,,-3.83,,133385.00
2016-02-24,1255.00,1255.00,1230.00,1254.00,,-1.95,,477760.00
2016-02-25,1240.00,1240.00,1220.00,1240.00,,-1.12,,137546.00
2016-02-28,1240.00,1260.00,1230.00,1250.00,,0.81,,111930.00
2016-02-29,1250.00,1375.00,1275.00,1335.00,,6.8,,4028785.00
2016-03-01,1361.00,1371.00,1340.00,1340.00,,0.37,,1282262.00
2016-03-02,1340.00,1393.00,1320.00,1385.00,,3.96,,2187260.00
2016-03-06,1390.00,1420.00,1388.00,1419.00,,1.94,,800290.00
2016-03-10,1448.00,1560.00,1448.00,1559.00,,9.79,,7153242.00
2016-03-13,1590.00,1621.00,1549.00,1605.00,,2.95,,4131610.00
2016-03-14,1600.00,1600.00,1559.00,1559.00,,-2.87,,3372220.00
2016-03-15,1570.00,1570.00,1501.00,1509.00,,-3.72,,5626100.00
2016-03-16,1472.00,1500.00,1472.00,1500.00,,-0.07,,184644.00
2016-03-17,1505.00,1505.00,1475.00,1475.00,,-1.67,,703860.00
2016-03-20,1450.00,1490.00,1450.00,1461.00,,-0.95,,1967578.00
2016-03-21,1440.00,1468.00,1440.00,1465.00,,0.27,,455220.00
2016-03-23,1440.00,1440.00,1440.00,1440.00,,-1.71,,158400.00
2016-03-24,1440.00,1412.00,1385.00,1385.00,,-3.82,,157820.00
2016-03-27,1385.00,1361.00,1346.00,1346.00,,-2.82,,233554.00
2016-03-28,1346.00,1385.00,1320.00,1385.00,,2.9,,1347276.00
2016-03-30,1450.00,1450.00,1421.00,1421.00,,-2,,1782440.00
2016-03-30,1385.00,1485.00,1400.00,1450.00,,4.69,,1782440.00
2016-03-31,1421.00,1400.00,1393.00,1400.00,,-1.48,,1277770.00
2016-04-03,1400.00,1415.00,1375.00,1415.00,,1.07,,592790.00
2016-04-04,1415.00,1387.00,1370.00,1385.00,,-2.12,,1897660.00
2016-04-06,1370.00,1380.00,1370.00,1370.00,,0,,306533.00
2016-04-10,1370.00,1351.00,1342.00,1342.00,,-2.04,,669543.00
2016-04-11,1342.00,1350.00,1320.00,1350.00,,0.6,,914385.00
2016-04-12,1350.00,1350.00,1345.00,1345.00,,-0.37,,360187.00
2016-04-14,1345.00,1405.00,1371.00,1405.00,,4.46,,556205.00
2016-04-17,1415.00,1415.00,1390.00,1390.00,,-1.07,,487230.00
