Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-21,365.30,401.80,365.30,401.80,,0,,3101246.90
2023-12-24,409.80,441.90,409.80,441.90,,9.98,,4018795.40
2023-12-27,450.70,486.00,450.70,486.00,,9.98,,9216836.20
2023-12-28,495.70,534.60,495.70,534.60,,10,,25042686.90
2024-01-01,545.20,588.00,523.90,549.00,,2.69,,83056365.70
2024-01-02,555.00,570.00,530.20,540.40,,-1.57,,57993109.00
2024-01-03,545.00,545.00,530.00,542.00,,0.3,,32286910.00
2024-01-04,550.00,595.00,542.00,585.00,,7.93,,39629389.40
2024-01-07,596.70,607.00,555.50,559.00,,-4.44,,44214877.20
2024-01-08,559.00,595.40,548.00,586.00,,4.83,,29922558.50
2024-01-09,586.00,597.00,562.00,567.00,,-3.24,,25323808.00
2024-01-10,568.00,573.10,555.00,559.00,,-1.41,,15350013.50
2024-01-11,550.00,568.00,548.00,560.00,,0.18,,15215588.30
2024-01-14,570.00,608.00,570.00,582.00,,3.93,,53339525.30
2024-01-16,593.00,600.00,565.10,577.00,,-0.86,,36408299.00
2024-01-17,588.50,588.50,545.00,551.00,,-4.51,,33060117.20
2024-01-18,540.00,570.00,530.00,542.00,,-1.63,,33894048.20
2024-01-21,543.00,564.00,537.00,541.00,,-0.18,,22126059.20
2024-01-22,540.00,550.00,528.00,530.10,,-2.01,,19141408.20
2024-01-23,521.00,540.70,516.40,521.00,,-1.72,,16880358.30
2024-01-24,521.00,530.00,509.00,509.40,,-2.41,,14755293.60
2024-01-25,509.40,515.00,496.10,505.00,,-0.86,,14538667.70
2024-01-28,505.00,527.00,503.10,526.90,,4.34,,15952755.00
2024-01-29,515.00,537.00,515.00,530.20,,0.99,,16191686.00
2024-01-30,531.20,539.60,525.00,527.00,,-0.6,,20208188.20
2024-01-31,527.00,532.00,504.70,509.00,,-3.42,,19242817.20
2024-02-01,509.00,513.00,502.10,505.00,,-0.79,,13517139.20
2024-02-04,500.00,510.00,491.10,501.20,,-0.75,,9008960.20
2024-02-05,500.00,515.10,500.00,513.00,,2.35,,8857128.00
2024-02-06,513.00,525.00,505.00,524.00,,2.14,,12730037.70
2024-02-07,520.00,530.00,517.00,520.20,,-0.73,,8025812.20
2024-02-08,518.00,537.30,518.00,535.50,,2.94,,20238412.60
2024-02-11,535.50,543.50,521.50,525.10,,-1.94,,22682968.00
2024-02-12,525.00,576.00,525.00,566.00,,7.79,,59664673.30
2024-02-13,564.00,570.10,542.00,544.00,,-3.89,,29546652.70
2024-02-14,540.00,555.00,535.10,549.90,,1.08,,13236289.80
2024-02-15,549.90,562.00,536.20,537.00,,-2.35,,17116872.00
2024-02-18,526.70,540.00,516.10,518.50,,-3.45,,16979642.60
2024-02-20,515.00,544.60,515.00,540.00,,4.15,,16899884.80
2024-02-21,529.20,559.90,525.20,533.10,,-1.28,,10096132.00
2024-02-22,543.00,543.00,514.00,519.00,,-2.64,,20495984.10
2024-02-25,516.00,540.00,515.90,521.00,,0.39,,17196956.90
2024-02-26,515.10,535.00,515.10,524.90,,0.75,,8799513.80
2024-02-27,522.00,532.00,515.00,519.00,,-1.12,,5790799.50
2024-02-28,510.50,554.00,510.50,542.00,,4.43,,49731424.30
2024-02-29,548.90,548.90,519.10,529.00,,-2.4,,18318170.60
2024-03-03,520.00,538.90,511.20,528.00,,-0.19,,23552989.50
2024-03-04,538.00,571.00,538.00,571.00,,8.14,,4415480.80
2024-03-05,582.40,582.40,532.00,534.00,,-6.48,,29102130.90
2024-03-06,525.10,549.00,525.00,543.00,,1.69,,23787425.70
2024-03-07,543.00,553.00,530.30,536.00,,-1.29,,8671193.00
2024-03-10,540.00,545.00,533.00,533.00,,-0.56,,15718155.10
2024-03-12,533.00,540.00,530.00,536.10,,0.58,,14409627.00
2024-03-13,536.00,545.00,531.10,544.00,,1.47,,22705560.30
2024-03-14,544.00,549.90,524.40,534.70,,-1.71,,15421572.30
2024-03-17,543.00,543.00,524.00,525.00,,-1.81,,9643911.10
2024-03-18,524.00,528.00,522.00,524.00,,-0.19,,8253440.50
2024-03-19,523.00,534.40,515.00,518.40,,-1.07,,11476962.20
2024-03-20,518.40,523.90,515.00,517.00,,-0.27,,9933770.60
2024-03-21,526.90,526.90,513.20,513.20,,-0.74,,7767351.90
2024-03-25,511.00,517.80,504.00,512.00,,-0.23,,5132060.40
2024-03-26,510.00,523.00,510.00,522.90,,2.13,,7878796.00
2024-03-27,518.00,524.90,510.40,515.00,,-1.51,,6989081.20
2024-03-28,512.00,519.00,511.00,512.50,,-0.49,,6537674.30
2024-03-31,512.50,519.90,510.00,510.00,,-0.49,,8164004.30
2024-04-01,510.10,515.00,508.10,513.00,,0.59,,8710093.80
2024-04-02,510.00,513.50,502.80,505.00,,-1.56,,5959684.90
2024-04-03,507.00,515.00,502.00,502.80,,-0.44,,6565007.10
2024-04-04,502.00,509.80,499.00,502.90,,0.02,,9883525.80
2024-04-07,496.10,509.00,496.10,509.00,,1.21,,5448078.30
2024-04-09,509.00,516.00,508.00,508.00,,-0.2,,6783173.00
2024-04-10,508.00,515.00,505.00,507.00,,-0.2,,8975613.10
2024-04-14,500.00,510.00,499.00,502.00,,-0.99,,9513537.30
2024-04-15,501.00,505.10,498.20,499.60,,-0.48,,6610376.70
2024-04-16,500.00,500.00,490.00,490.00,,-1.92,,4147289.50
2024-04-18,485.00,490.00,468.00,475.00,,-3.06,,9907761.20
2024-04-21,475.10,487.00,475.00,483.00,,1.68,,7255317.80
2024-04-22,492.40,502.00,476.00,481.00,,-0.41,,5924819.60
2024-04-24,480.00,484.00,469.00,469.40,,-2.41,,3620815.50
2024-04-25,465.00,472.00,465.00,465.00,,-0.94,,3850123.60
