Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-01-19,831.00,831.00,831.00,831.00,,0,,847.60
2022-01-23,847.60,914.10,847.60,914.10,,10,,57561.50
2022-01-24,932.30,1005.50,932.30,1005.50,,10,,80454.40
2022-01-25,1025.60,1106.00,1025.60,1106.00,,10,,75174.20
2022-01-26,1128.10,1216.60,1128.10,1216.60,,10,,391331.00
2022-01-27,1240.90,1338.20,1240.90,1338.20,,10,,146156.20
2022-01-30,1364.90,1472.00,1364.90,1472.00,,10,,856407.00
2022-01-31,1501.40,1619.20,1501.40,1619.20,,10,,13392838.90
2022-02-01,1651.50,1781.10,1651.50,1781.10,,10,,7220856.40
2022-02-03,1816.70,1959.20,1816.70,1959.20,,10,,4643638.40
2022-02-06,1998.30,2090.00,1763.30,1763.30,,-10,,37916227.20
2022-02-07,1730.00,1830.00,1610.00,1720.00,,-2.46,,7122041.10
2022-02-08,1754.40,1866.60,1720.00,1764.00,,2.56,,8887466.40
2022-02-09,1750.00,1750.00,1706.00,1710.00,,-3.06,,3214863.90
2022-02-10,1677.00,1703.00,1666.00,1699.00,,-0.64,,2398521.40
2022-02-13,1665.10,1665.10,1569.00,1570.00,,-7.59,,4539446.10
2022-02-14,1601.00,1601.00,1565.10,1568.00,,-0.13,,1635714.00
2022-02-15,1568.00,1600.00,1562.00,1580.00,,0.77,,1287204.00
2022-02-16,1600.00,1600.00,1541.10,1580.00,,0,,1069884.00
2022-02-17,1556.00,1580.00,1550.00,1564.00,,-1.01,,1066011.00
2022-02-20,1564.00,1564.00,1501.40,1519.00,,-2.88,,1817057.60
2022-02-21,1490.00,1520.00,1490.00,1500.00,,-1.25,,2232840.80
2022-02-22,1530.00,1530.00,1500.00,1501.00,,0.07,,1121410.00
2022-02-23,1473.00,1500.00,1460.00,1489.00,,-0.8,,2101002.00
2022-02-24,1461.10,1490.00,1435.00,1440.00,,-3.29,,3205527.00
2022-02-27,1419.00,1460.20,1412.00,1460.20,,1.4,,671559.40
2022-02-28,1450.00,1450.00,1425.00,1428.00,,-2.21,,1236461.00
2022-03-02,1400.00,1430.00,1347.50,1375.00,,-3.71,,3325582.20
2022-03-06,1363.00,1401.90,1339.70,1366.00,,-0.65,,2892026.50
2022-03-07,1366.00,1476.00,1366.00,1395.10,,2.13,,1261619.00
2022-03-09,1395.10,1409.00,1372.00,1372.00,,-1.66,,526851.00
2022-03-10,1398.00,1417.50,1381.00,1381.00,,0.66,,561403.00
2022-03-13,1408.60,1499.00,1397.00,1485.00,,7.53,,1571037.80
2022-03-14,1514.70,1514.70,1464.00,1493.00,,0.54,,625573.40
2022-03-15,1490.00,1493.00,1465.00,1493.00,,0,,883407.00
2022-03-16,1463.20,1495.00,1441.30,1492.00,,-0.07,,1142785.00
2022-03-20,1462.20,1485.00,1438.60,1484.00,,-0.54,,413215.00
2022-03-21,1510.00,1510.00,1421.30,1485.00,,0.07,,147783.00
2022-03-22,1456.00,1494.00,1445.10,1494.00,,0.61,,443067.60
2022-03-23,1477.00,1477.00,1457.00,1457.00,,-2.48,,161073.00
2022-03-24,1429.00,1445.00,1429.00,1440.00,,-1.17,,955160.00
2022-03-27,1413.00,1420.00,1388.00,1389.00,,-3.54,,867885.00
2022-03-28,1390.00,1422.00,1381.10,1408.00,,1.37,,1408058.00
