2026-03-15 04:14:52 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:15:05 [WARNING] Connection error on attempt 1/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:20 [WARNING] Connection error on attempt 2/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [WARNING] Connection error on attempt 3/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Failed after 3 attempts: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Could not fetch today's data from sharesansar
2026-03-15 04:15:28 [INFO] [NABIL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:29 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:45 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] Connection error on attempt 3/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [ERROR] Failed after 3 attempts: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] [NABIL] No data found
2026-03-15 04:15:52 [INFO] [NBL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:54 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NBL
2026-03-15 04:15:58 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NBL
2026-03-15 04:18:56 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:19:00 [INFO] Fetched today's data for 335 symbols from sharesansar
2026-03-15 04:19:01 [INFO] [MEGA] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:02 [WARNING] [MEGA] No data found
2026-03-15 04:19:02 [INFO] [SRBL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:04 [WARNING] [SRBL] No data found
2026-03-15 04:19:04 [INFO] [CBL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:06 [WARNING] [CBL] No data found
2026-03-15 04:19:06 [INFO] [JBNL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:08 [WARNING] [JBNL] No data found
2026-03-15 04:19:08 [INFO] [BOKL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:10 [WARNING] [BOKL] No data found
2026-03-15 04:19:10 [INFO] [CCBL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:12 [WARNING] [CCBL] No data found
2026-03-15 04:19:12 [INFO] [RRHP] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:19:13 [WARNING] [RRHP] No data found
2026-03-15 04:19:13 [INFO] ============================================================
2026-03-15 04:19:13 [INFO] Done.  Updated: 48  |  Already up-to-date: 0  |  Failed: 7
2026-03-15 04:19:13 [WARNING] Failed: MEGA, SRBL, CBL, JBNL, BOKL, CCBL, RRHP
2026-03-15 04:27:44 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:27:50 [INFO] Fetched today's data for 335 symbols from sharesansar
2026-03-15 04:27:50 [INFO] [NABIL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NIMB] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SCB] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [HBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SBI] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [EBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NICA] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [MBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [KBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SANIMA] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NABBC] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NMB] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [PRVU] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [PCBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [CZBIL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [ADBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NBL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NHPC] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [BPCL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [CHCL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [AHPC] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SHPC] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [AKPL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [HPPL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [NHDL] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [UPPER] Already up-to-date, nothing to add
2026-03-15 04:27:50 [INFO] [SOHL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:27:52 [WARNING] [SOHL] No data found
2026-03-15 04:27:52 [INFO] [NICL] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [NLICL] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [PRIN] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [NLIC] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [LICN] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [DDBL] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [SKBBL] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [MLBBL] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [NMFBS] Already up-to-date, nothing to add
2026-03-15 04:27:52 [INFO] [GANAPATI] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:27:55 [WARNING] [GANAPATI] No data found
2026-03-15 04:27:55 [INFO] [GFCL] Already up-to-date, nothing to add
2026-03-15 04:27:55 [INFO] [CFCL] Already up-to-date, nothing to add
